holder_id,household_id,parcel_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s2q01,s2q01a,s2q02,s2q03,s2q04a_1,s2q04a_2,s2q04a_os,s2q04b_1,s2q04b_2,s2q04b_3,s2q04b_4,s2q05,s2q05_os,s2q06,s2q07_1,s2q07_2,s2q08,s2q09_1,s2q09_2,s2q10a,s2q10b,s2q10c,s2q11,s2q11_os,s2q12_1,s2q12_2,s2q12_os,s2q13,s2q14,s2q15a,s2q15b,s2q15c,s2q16,s2q16_os,s2q17
01010108880091006201,010101088800910062,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,800,,,,4. Luvisol,,2. Fair
01010108880091006201,010101088800910062,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,1200,,,,4. Luvisol,,2. Fair
01010108880091007001,010101088800910070,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,6,1. YES,1. TITLE DEED,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,8000,,,,4. Luvisol,,2. Fair
01010108880091007001,010101088800910070,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1000,,,,3. Vertisol.,,2. Fair
01010108880091008201,010101088800910082,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,2. NO,,,,,,,,4. Borrowed for Free,,,,,,,,,,,3. Full Year,,1. RELATIVE,,,,,,,,5. Mixed type,,2. Fair
01010108880091008201,010101088800910082,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,3. Vertisol.,,2. Fair
01010108880091008201,010101088800910082,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,2. NO,,,,,,,,3. Rent,,,,,,,,4000,0,,1. Main Season,,1. RELATIVE,2. FRIEND/NEIGHBOR,,,,,,,5. Mixed type,,2. Fair
01010108880091008301,010101088800910083,1,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,83,1,4. none ,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,1000,0,,3. Full Year,,1. RELATIVE,,,,,,,,4. Luvisol,,3. Poor
01010108880091009301,010101088800910093,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,2,,,,,,,,,4. No,8000,,,,4. Luvisol,,2. Fair
01010108880091009301,010101088800910093,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"1. Yes,all in all rented out",,0,1500,,4. Luvisol,,2. Fair
01010208880101001201,010102088801010012,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,12,1,2. livestock only ,**CONFIDENTIAL**,1,1,1. YES,8. OTHER (SPECIFY),,á‹¨áˆˆáŠáˆ,1,,,,3. Rent,,,,,,,,80,0,,3. Full Year,,3. VILLAGE HEADMAN,,,,,,,,"7. OTHER PARCEL USE (BARN, RESIDENTIAL, ETC.)",,
01010208880101003401,010102088801010034,1,010102088801010,1. RURAL,4968.359214830971,1. TIGRAY,01,02,8,88,010,10,34,1,4. none ,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,2. NO,,,,,,,,,,,4. No,700,,,,5. Mixed type,,3. Poor
01010208880101003401,010102088801010034,2,010102088801010,1. RURAL,4968.359214830971,1. TIGRAY,01,02,8,88,010,10,34,1,4. none ,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"1. Yes,all in all rented out",,0,1300,,3. Vertisol.,,2. Fair
01010208880101003501,010102088801010035,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,35,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,2000,,,,3. Vertisol.,,2. Fair
01010208880101004801,010102088801010048,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,48,1,1. crop production only,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,7. Purchased,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1200,,,,3. Vertisol.,,3. Poor
01010208880101006801,010102088801010068,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,3000,,,,5. Mixed type,,2. Fair
01010208880101006801,010102088801010068,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,600,2,,1. Main Season,,3. VILLAGE HEADMAN,,,,,,,,3. Vertisol.,,2. Fair
01010208880101006801,010102088801010068,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,0,1,,1. Main Season,,3. VILLAGE HEADMAN,,,,,,,,3. Vertisol.,,2. Fair
01010208880101006801,010102088801010068,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,1000,,,,5. Mixed type,,2. Fair
01010208880101006801,010102088801010068,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,0,1,,1. Main Season,,3. VILLAGE HEADMAN,,,,,,,,3. Vertisol.,,2. Fair
01010208880101006801,010102088801010068,6,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,0,2,,1. Main Season,,3. VILLAGE HEADMAN,,,,,,,,5. Mixed type,,2. Fair
01010208880101006801,010102088801010068,7,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,2000,,,,3. Vertisol.,,1. Good
01010208880101009001,010102088801010090,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,90,1,1. crop production only,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1000,,,,5. Mixed type,,3. Poor
01010208880101010401,010102088801010104,1,010102088801010,1. RURAL,4968.359214830971,1. TIGRAY,01,02,8,88,010,10,104,1,4. none ,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,720,0,,3. Full Year,,3. VILLAGE HEADMAN,,,,,,,,5. Mixed type,,3. Poor
01010208880101011301,010102088801010113,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,113,1,2. livestock only ,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1200,,,,"7. OTHER PARCEL USE (BARN, RESIDENTIAL, ETC.)",,
01010208880101011301,010102088801010113,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,113,1,2. livestock only ,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"1. Yes,all in all rented out",,1000,0,,2. Cambisol,,2. Fair
01010208880101013601,010102088801010136,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,136,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,3,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,3000,,,,3. Vertisol.,,2. Fair
01010208880101014801,010102088801010148,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,7,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,2. NO,,,,,,,,,,,4. No,3000,,,,3. Vertisol.,,2. Fair
01010208880101014801,010102088801010148,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,0,3,,1. Main Season,,3. VILLAGE HEADMAN,,,,,,,,5. Mixed type,,2. Fair
01010208880101014801,010102088801010148,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,2. NO,,,,,,,,3. Rent,,,,,,,,0,1,,1. Main Season,,3. VILLAGE HEADMAN,,,,,,,,5. Mixed type,,2. Fair
01010208880101014801,010102088801010148,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,2000,,,,3. Vertisol.,,2. Fair
01010208880101014802,010102088801010148,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,2,2. livestock only ,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,500,,,,5. Mixed type,,2. Fair
01010208880101016101,010102088801010161,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,2. NO,,,,,,,,2. Gift/Inherited,,2. NO,,,2. NO,,,,,,,,,,,4. No,2000,,,,5. Mixed type,,3. Poor
01010208880101016101,010102088801010161,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1000,,,,6. OTHER SOIL TYPE (SPECIFY),á‹µáŒ‹á‹¨áˆ›,3. Poor
01010208880101016101,010102088801010161,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,2. CERTIFICATE OF CUSTOMARY OWNERSHIP,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,300,,,,6. OTHER SOIL TYPE (SPECIFY),á‹µáŒ‹á‹«áˆ›,3. Poor
01010208880101017301,010102088801010173,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,4,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,4000,,,,3. Vertisol.,,2. Fair
01010208880101017301,010102088801010173,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1500,,,,3. Vertisol.,,2. Fair
01010208880101017301,010102088801010173,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,1500,,,,3. Vertisol.,,1. Good
01010208880101017301,010102088801010173,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,3. Rent,,,,,,,,0,1,,1. Main Season,,3. VILLAGE HEADMAN,,,,,,,,5. Mixed type,,2. Fair
01010208880101017301,010102088801010173,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,600,,,,3. Vertisol.,,1. Good
01010308880070900801,010103088800709008,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,5,1. YES,1. TITLE DEED,,,2,,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,5. Mixed type,,3. Poor
01010308880070900801,010103088800709008,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,2,,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,1000,,,,5. Mixed type,,3. Poor
01010308880070900801,010103088800709008,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,2,,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,1500,,,,1. Leptosol,,3. Poor
01010308880070900801,010103088800709008,4,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,2,1. YES,1. TITLE DEED,,,1,,,,2. Gift/Inherited,,1. YES,1,2,1. YES,1,2,,,,,,,,,4. No,5000,,,,5. Mixed type,,3. Poor
01010308880070901601,010103088800709016,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,2,3,2. NO,,,,,,,,2. Gift/Inherited,,2. NO,,,1. YES,1,6,,,,,,,,,4. No,3000,,,,5. Mixed type,,3. Poor
01010308880070901601,010103088800709016,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,2,1,1. YES,4. CERTIFICATE OF HEREDITARY ACQUISITION LISTED IN REGISTRY,,,2,,,,2. Gift/Inherited,,1. YES,2,,1. YES,2,,,,,,,,,,4. No,2000,,,,5. Mixed type,,3. Poor
01010308880070901601,010103088800709016,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,2,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,5. Mixed type,,3. Poor
01010308880070901601,010103088800709016,4,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,**CONFIDENTIAL**,2,1,2. NO,,,,,,,,2. Gift/Inherited,,1. YES,1,,2. NO,,,,,,,,,,,4. No,1000,,,,2. Cambisol,,3. Poor
01010308880070902401,010103088800709024,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,5,2. NO,,,,,,,,2. Gift/Inherited,,2. NO,,,2. NO,,,,,,,,,,,4. No,700,,,,3. Vertisol.,,3. Poor
01010308880070902401,010103088800709024,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,2. Gift/Inherited,,2. NO,,,2. NO,,,,,,,,,,,4. No,1000,,,,3. Vertisol.,,3. Poor
01010308880070902401,010103088800709024,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,4. CERTIFICATE OF HEREDITARY ACQUISITION LISTED IN REGISTRY,,,1,,,,2. Gift/Inherited,,1. YES,1,,1. YES,1,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,16,5. Mixed type,,3. Poor
01010308880070902401,010103088800709024,4,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,5,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,5. Mixed type,,3. Poor
01010308880070902401,010103088800709024,5,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,500,,,,1. Leptosol,,3. Poor
01010308880070902401,010103088800709024,6,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,3. Vertisol.,,1. Good
01010308880070902401,010103088800709024,7,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,3. Vertisol.,,1. Good
01010308880070902401,010103088800709024,8,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,1. TITLE DEED,,,1,,,,1. Granted by Local Leaders,,1. YES,1,,1. YES,1,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,3. Vertisol.,,1. Good
01010308880070903201,010103088800709032,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,7,1. YES,4. CERTIFICATE OF HEREDITARY ACQUISITION LISTED IN REGISTRY,,,1,,,,2. Gift/Inherited,,1. YES,1,,1. YES,1,,,,,,,,,,4. No,5000,,,,5. Mixed type,,3. Poor
01010308880070903201,010103088800709032,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,2. NO,,,,,,,,2. Gift/Inherited,,1. YES,1,,2. NO,,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,5. Mixed type,,3. Poor
01010308880070903201,010103088800709032,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,**CONFIDENTIAL**,1,1,1. YES,4. CERTIFICATE OF HEREDITARY ACQUISITION LISTED IN REGISTRY,,,1,,,,2. Gift/Inherited,,2. NO,,,2. NO,,,,,,,,,,,"2. Yes,all in all sharecropped out ",,,,50,5. Mixed type,,3. Poor
