ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs5q01_1,cs5q01_2,cs5q01_3,cs5q01_os,cs5q02,cs5q03,cs5q04,cs5q05_1,cs5q05_2,cs5q05_os,cs5q06,cs5q07,cs5q08_1,cs5q08_2,cs5q08_os,cs5q09,cs5q10,cs5q11
010309010100311,2. URBAN,1. TIGRAY,03,09,1,1,003,11,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu","6. Handicraft Production, Small-Scale Industry",,2. NO,,,,,,1. YES,1. Rural Areas,"5. Beer Brewing, Kachasu",9. Professional Occupations,,1. YES,39,31
010401088800209,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. Farming,,,,1. YES,5,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
010401088801804,1. RURAL,1. TIGRAY,04,01,8,88,018,04,1. Farming,,,,1. YES,2,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
010403088800201,1. RURAL,1. TIGRAY,04,03,8,88,002,01,1. Farming,,,,1. YES,3,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
010403088801801,1. RURAL,1. TIGRAY,04,03,8,88,018,01,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,10,3. Outside Ethiopia,11. Other (Specify),,teketrew yseralu,2. NO,,,,,2. NO,,
010405010100123,2. URBAN,1. TIGRAY,04,05,1,1,001,23,1. Farming,,,,1. YES,5,3. Outside Ethiopia,11. Other (Specify),,yebet west sera,2. NO,,,,,1. YES,75,25
010405088800102,1. RURAL,1. TIGRAY,04,05,8,88,001,02,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,2,2. Urban Centres,9. Professional Occupations,1. Farming,,2. NO,,,,,2. NO,,
010408010100204,2. URBAN,1. TIGRAY,04,08,1,1,002,04,4. Small-Scale Trade & Service Provision,,,,1. YES,2,3. Outside Ethiopia,9. Professional Occupations,,,2. NO,,,,,1. YES,80,20
010501088800902,1. RURAL,1. TIGRAY,05,01,8,88,009,02,1. Farming,,,,1. YES,10,1. Rural Areas,9. Professional Occupations,,,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
010502020100102,2. URBAN,1. TIGRAY,05,02,2,1,001,02,4. Small-Scale Trade & Service Provision,1. Farming,10. Civil Service,,1. YES,2,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,1. YES,1. Rural Areas,11. Other (Specify),,yegnbat sera,2. NO,,
010502088801410,1. RURAL,1. TIGRAY,05,02,8,88,014,10,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,5,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
010503088800803,1. RURAL,1. TIGRAY,05,03,8,88,008,03,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,1. Farming,4. Small-Scale Trade & Service Provision,,2. NO,,
010601010100215,2. URBAN,1. TIGRAY,06,01,1,1,002,15,10. Civil Service,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,1. YES,67,33
010602010100216,2. URBAN,1. TIGRAY,06,02,1,1,002,16,11. Other (Specify),10. Civil Service,4. Small-Scale Trade & Service Provision,ken serategna,2. NO,,,,,,2. NO,,,,,1. YES,58,42
010604010100137,2. URBAN,1. TIGRAY,06,04,1,1,001,37,10. Civil Service,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,1. YES,5,2. Urban Centres,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,1. YES,10,10
010605010100313,2. URBAN,1. TIGRAY,06,05,1,1,003,13,4. Small-Scale Trade & Service Provision,10. Civil Service,"6. Handicraft Production, Small-Scale Industry",,1. YES,30,2. Urban Centres,9. Professional Occupations,10. Civil Service,,1. YES,1. Rural Areas,11. Other (Specify),,yebat wust sira,1. YES,10,10
010606010100423,2. URBAN,1. TIGRAY,06,06,1,1,004,23,4. Small-Scale Trade & Service Provision,10. Civil Service,9. Professional Occupations,,1. YES,10,2. Urban Centres,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,2. Urban Centres,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,20,5
010701088802004,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
010702010100112,2. URBAN,1. TIGRAY,07,02,1,1,001,12,11. Other (Specify),,,anestgn neged,1. YES,2,2. Urban Centres,"6. Handicraft Production, Small-Scale Industry",,,2. NO,,,,,1. YES,5,3
010702088801409,1. RURAL,1. TIGRAY,07,02,8,88,014,09,1. Farming,10. Civil Service,"3. Firewood, Charcoal Selling",,1. YES,5,2. Urban Centres,9. Professional Occupations,10. Civil Service,,2. NO,,,,,2. NO,,
010703088801107,1. RURAL,1. TIGRAY,07,03,8,88,011,07,1. Farming,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,25,2. Urban Centres,11. Other (Specify),,yegulbet sira,2. NO,,,,,1. YES,75,0
010704088800402,1. RURAL,1. TIGRAY,07,04,8,88,004,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020101010100104,2. URBAN,2. AFAR,01,01,1,1,001,04,10. Civil Service,4. Small-Scale Trade & Service Provision,"3. Firewood, Charcoal Selling",,2. NO,,,,,,1. YES,2. Urban Centres,10. Civil Service,4. Small-Scale Trade & Service Provision,,2. NO,,
020101088800704,1. RURAL,2. AFAR,01,01,8,88,007,04,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020102010100103,2. URBAN,2. AFAR,01,02,1,1,001,03,10. Civil Service,,,,2. NO,,,,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,,,2. NO,,
020103088800401,1. RURAL,2. AFAR,01,03,8,88,004,01,1. Farming,,,,2. NO,,,,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
020103088801102,1. RURAL,2. AFAR,01,03,8,88,011,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020106010100102,2. URBAN,2. AFAR,01,06,1,1,001,02,4. Small-Scale Trade & Service Provision,8. Large-Scale Commercial Industry,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020106088801201,1. RURAL,2. AFAR,01,06,8,88,012,01,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020108088800804,1. RURAL,2. AFAR,01,08,8,88,008,04,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020201088800301,1. RURAL,2. AFAR,02,01,8,88,003,01,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020202020100102,2. URBAN,2. AFAR,02,02,2,1,001,02,1. Farming,,,,1. YES,5,2. Urban Centres,10. Civil Service,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
020202088800202,1. RURAL,2. AFAR,02,02,8,88,002,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020203010100206,2. URBAN,2. AFAR,02,03,1,1,002,06,1. Farming,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,22,2. Urban Centres,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,2. Urban Centres,10. Civil Service,1. Farming,,1. YES,15,10
020203088800202,1. RURAL,2. AFAR,02,03,8,88,002,02,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,10,3. Outside Ethiopia,4. Small-Scale Trade & Service Provision,11. Other (Specify),Yegleseb Sera,2. NO,,,,,2. NO,,
020203088800905,1. RURAL,2. AFAR,02,03,8,88,009,05,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020205088800207,1. RURAL,2. AFAR,02,05,8,88,002,07,1. Farming,10. Civil Service,,,1. YES,15,3. Outside Ethiopia,9. Professional Occupations,11. Other (Specify),Yegleseb sera,2. NO,,,,,1. YES,20,80
020205088800715,1. RURAL,2. AFAR,02,05,8,88,007,15,1. Farming,,,,1. YES,2,3. Outside Ethiopia,9. Professional Occupations,,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,,,2. NO,,
020206088800113,1. RURAL,2. AFAR,02,06,8,88,001,13,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,5,2. Urban Centres,9. Professional Occupations,10. Civil Service,,1. YES,1. Rural Areas,9. Professional Occupations,1. Farming,,1. YES,48,2
020206088800803,1. RURAL,2. AFAR,02,06,8,88,008,03,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020206088801304,1. RURAL,2. AFAR,02,06,8,88,013,04,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020207010100104,2. URBAN,2. AFAR,02,07,1,1,001,04,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,1. YES,1. Rural Areas,11. Other (Specify),,yechew mamret sira,2. NO,,
020301020100111,2. URBAN,2. AFAR,03,01,2,1,001,11,1. Farming,,,,1. YES,15,2. Urban Centres,1. Farming,10. Civil Service,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
020301088800303,1. RURAL,2. AFAR,03,01,8,88,003,03,1. Farming,"3. Firewood, Charcoal Selling",,,2. NO,,,,,,2. NO,,,,,2. NO,,
020302088800306,1. RURAL,2. AFAR,03,02,8,88,003,06,1. Farming,,,,1. YES,5,1. Rural Areas,9. Professional Occupations,10. Civil Service,,1. YES,1. Rural Areas,1. Farming,9. Professional Occupations,,2. NO,,
020303020100103,2. URBAN,2. AFAR,03,03,2,1,001,03,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020303088800501,1. RURAL,2. AFAR,03,03,8,88,005,01,1. Farming,,,,1. YES,5,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,2. NO,,
020304088800703,1. RURAL,2. AFAR,03,04,8,88,007,03,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020305010100306,2. URBAN,2. AFAR,03,05,1,1,003,06,4. Small-Scale Trade & Service Provision,10. Civil Service,9. Professional Occupations,,1. YES,10,2. Urban Centres,10. Civil Service,9. Professional Occupations,,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,10. Civil Service,,2. NO,,
020305010100601,2. URBAN,2. AFAR,03,05,1,1,006,01,4. Small-Scale Trade & Service Provision,,,,2. NO,,,,,,1. YES,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,
020306088800903,1. RURAL,2. AFAR,03,06,8,88,009,03,1. Farming,,,,1. YES,3,2. Urban Centres,4. Small-Scale Trade & Service Provision,,,2. NO,,,,,2. NO,,
020401088800602,1. RURAL,2. AFAR,04,01,8,88,006,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020403010100102,2. URBAN,2. AFAR,04,03,1,1,001,02,4. Small-Scale Trade & Service Provision,9. Professional Occupations,10. Civil Service,,1. YES,5,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,1. YES,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,
020403088800302,1. RURAL,2. AFAR,04,03,8,88,003,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020404088800501,1. RURAL,2. AFAR,04,04,8,88,005,01,1. Farming,,,,1. YES,3,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
020405088800405,1. RURAL,2. AFAR,04,05,8,88,004,05,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020501088800601,1. RURAL,2. AFAR,05,01,8,88,006,01,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020502088800303,1. RURAL,2. AFAR,05,02,8,88,003,03,1. Farming,,,,1. YES,10,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
020502088801101,1. RURAL,2. AFAR,05,02,8,88,011,01,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020503010100101,2. URBAN,2. AFAR,05,03,1,1,001,01,1. Farming,4. Small-Scale Trade & Service Provision,10. Civil Service,,2. NO,,,,,,1. YES,1. Rural Areas,10. Civil Service,4. Small-Scale Trade & Service Provision,,2. NO,,
020504088800505,1. RURAL,2. AFAR,05,04,8,88,005,05,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020504088801102,1. RURAL,2. AFAR,05,04,8,88,011,02,1. Farming,,,,2. NO,,,,,,2. NO,,,,,2. NO,,
020601010100306,2. URBAN,2. AFAR,06,01,1,1,003,06,4. Small-Scale Trade & Service Provision,10. Civil Service,,,2. NO,,,,,,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
020601010100330,2. URBAN,2. AFAR,06,01,1,1,003,30,4. Small-Scale Trade & Service Provision,10. Civil Service,,,2. NO,,,,,,1. YES,1. Rural Areas,9. Professional Occupations,,,2. NO,,
030103088803101,1. RURAL,3. AMHARA,01,03,8,88,031,01,1. Farming,,,,1. YES,20,1. Rural Areas,1. Farming,9. Professional Occupations,,2. NO,,,,,1. YES,68,71
030106088801805,1. RURAL,3. AMHARA,01,06,8,88,018,05,1. Farming,,,,1. YES,10,2. Urban Centres,11. Other (Specify),,Yeken sira,2. NO,,,,,2. NO,,
030202088802410,1. RURAL,3. AMHARA,02,02,8,88,024,10,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,2,2. Urban Centres,11. Other (Specify),,Yeken Sira Lemesirat,2. NO,,,,,2. NO,,
030206010100105,2. URBAN,3. AMHARA,02,06,1,1,001,05,1. Farming,10. Civil Service,4. Small-Scale Trade & Service Provision,,1. YES,20,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
030206088800908,1. RURAL,3. AMHARA,02,06,8,88,009,08,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,5,2. Urban Centres,11. Other (Specify),9. Professional Occupations,yeiken  sera,2. NO,,,,,2. NO,,
030209088803514,1. RURAL,3. AMHARA,02,09,8,88,035,14,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,20,2. Urban Centres,4. Small-Scale Trade & Service Provision,11. Other (Specify),Yeken Sira Lemesirat,2. NO,,,,,2. NO,,
030214020100104,2. URBAN,3. AMHARA,02,14,2,1,001,04,4. Small-Scale Trade & Service Provision,1. Farming,10. Civil Service,,1. YES,20,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,1. YES,2,0
030303088800803,1. RURAL,3. AMHARA,03,03,8,88,008,03,1. Farming,"6. Handicraft Production, Small-Scale Industry",4. Small-Scale Trade & Service Provision,,1. YES,5,2. Urban Centres,11. Other (Specify),,Ye  Gulebet  Sera,2. NO,,,,,2. NO,,
030307088802601,1. RURAL,3. AMHARA,03,07,8,88,026,01,1. Farming,4. Small-Scale Trade & Service Provision,"3. Firewood, Charcoal Selling",,1. YES,5,2. Urban Centres,11. Other (Specify),,Ye  Gulebet  Sera,2. NO,,,,,2. NO,,
030309010100310,2. URBAN,3. AMHARA,03,09,1,1,003,10,4. Small-Scale Trade & Service Provision,10. Civil Service,1. Farming,,2. NO,,,,,,1. YES,1. Rural Areas,11. Other (Specify),,yegulbet sira,2. NO,,
030312088800504,1. RURAL,3. AMHARA,03,12,8,88,005,04,1. Farming,4. Small-Scale Trade & Service Provision,"6. Handicraft Production, Small-Scale Industry",,1. YES,3,2. Urban Centres,11. Other (Specify),,yegulebet Sera,2. NO,,,,,2. NO,,
030401088801512,1. RURAL,3. AMHARA,04,01,8,88,015,12,1. Farming,,,,1. YES,1,1. Rural Areas,1. Farming,,,2. NO,,,,,2. NO,,
030404088801907,1. RURAL,3. AMHARA,04,04,8,88,019,07,1. Farming,4. Small-Scale Trade & Service Provision,,,1. YES,5,3. Outside Ethiopia,9. Professional Occupations,10. Civil Service,,2. NO,,,,,2. NO,,
030409010100102,2. URBAN,3. AMHARA,04,09,1,1,001,02,1. Farming,4. Small-Scale Trade & Service Provision,10. Civil Service,,1. YES,15,3. Outside Ethiopia,11. Other (Specify),,legileseb teketiro lemesrat,1. YES,1. Rural Areas,4. Small-Scale Trade & Service Provision,,,1. YES,1,1
030409088800307,1. RURAL,3. AMHARA,04,09,8,88,003,07,1. Farming,,,,1. YES,5,2. Urban Centres,9. Professional Occupations,,,2. NO,,,,,2. NO,,
030412088800503,1. RURAL,3. AMHARA,04,12,8,88,005,03,1. Farming,,,,1. YES,2,3. Outside Ethiopia,11. Other (Specify),,Yebet wust sira,2. NO,,,,,2. NO,,
030416088801301,1. RURAL,3. AMHARA,04,16,8,88,013,01,1. Farming,,,,1. YES,3,3. Outside Ethiopia,11. Other (Specify),,Yebet wust sira,2. NO,,,,,2. NO,,
030421010100402,2. URBAN,3. AMHARA,04,21,1,1,004,02,1. Farming,10. Civil Service,,,1. YES,10,3. Outside Ethiopia,11. Other (Specify),,bebt westsera,1. YES,1. Rural Areas,9. Professional Occupations,,,1. YES,1,20
030505088800505,1. RURAL,3. AMHARA,05,05,8,88,005,05,1. Farming,"5. Beer Brewing, Kachasu","6. Handicraft Production, Small-Scale Industry",,1. YES,12,2. Urban Centres,9. Professional Occupations,1. Farming,,2. NO,,,,,2. NO,,
030512088800206,1. RURAL,3. AMHARA,05,12,8,88,002,06,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,5,1. Rural Areas,1. Farming,9. Professional Occupations,,2. NO,,,,,1. YES,5,5
030519088801304,1. RURAL,3. AMHARA,05,19,8,88,013,04,1. Farming,"3. Firewood, Charcoal Selling","6. Handicraft Production, Small-Scale Industry",,1. YES,25,2. Urban Centres,1. Farming,9. Professional Occupations,,1. YES,2. Urban Centres,1. Farming,9. Professional Occupations,,2. NO,,
030526010100201,2. URBAN,3. AMHARA,05,26,1,1,002,01,4. Small-Scale Trade & Service Provision,10. Civil Service,"5. Beer Brewing, Kachasu",,1. YES,1,2. Urban Centres,9. Professional Occupations,"6. Handicraft Production, Small-Scale Industry",,1. YES,1. Rural Areas,9. Professional Occupations,"5. Beer Brewing, Kachasu",,1. YES,3,5
030602088802210,1. RURAL,3. AMHARA,06,02,8,88,022,10,1. Farming,"5. Beer Brewing, Kachasu",,,1. YES,20,1. Rural Areas,1. Farming,,,1. YES,1. Rural Areas,1. Farming,,,2. NO,,
030606088800202,1. RURAL,3. AMHARA,06,06,8,88,002,02,1. Farming,"3. Firewood, Charcoal Selling",4. Small-Scale Trade & Service Provision,,1. YES,30,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,,,,1. YES,1,1
030610010100110,2. URBAN,3. AMHARA,06,10,1,1,001,10,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,1. YES,1,2. Urban Centres,1. Farming,"6. Handicraft Production, Small-Scale Industry",,1. YES,1. Rural Areas,1. Farming,4. Small-Scale Trade & Service Provision,,1. YES,2,2
030610088800708,1. RURAL,3. AMHARA,06,10,8,88,007,08,1. Farming,"3. Firewood, Charcoal Selling","5. Beer Brewing, Kachasu",,1. YES,40,2. Urban Centres,4. Small-Scale Trade & Service Provision,9. Professional Occupations,,2. NO,,,,,2. NO,,
030614088801003,1. RURAL,3. AMHARA,06,14,8,88,010,03,1. Farming,,,,1. YES,10,2. Urban Centres,1. Farming,9. Professional Occupations,,2. NO,,,,,2. NO,,
030616010100207,2. URBAN,3. AMHARA,06,16,1,1,002,07,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu","6. Handicraft Production, Small-Scale Industry",,1. YES,2,2. Urban Centres,"6. Handicraft Production, Small-Scale Industry","5. Beer Brewing, Kachasu",,1. YES,1. Rural Areas,"6. Handicraft Production, Small-Scale Industry",4. Small-Scale Trade & Service Provision,,1. YES,5,2
030701088800919,1. RURAL,3. AMHARA,07,01,8,88,009,19,1. Farming,2. Fishing,4. Small-Scale Trade & Service Provision,,1. YES,10,1. Rural Areas,1. Farming,9. Professional Occupations,,2. NO,,,,,1. YES,2,5
030703088802911,1. RURAL,3. AMHARA,07,03,8,88,029,11,1. Farming,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu",,2. NO,,,,,,2. NO,,,,,2. NO,,
030706010100103,2. URBAN,3. AMHARA,07,06,1,1,001,03,4. Small-Scale Trade & Service Provision,"5. Beer Brewing, Kachasu","6. Handicraft Production, Small-Scale Industry",,1. YES,3,2. Urban Centres,4. Small-Scale Trade & Service Provision,1. Farming,,2. NO,,,,,1. YES,30,35
