household_id,loan_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,s15q02b,s15q02b_os,s15q03_1,s15q03_2,s15q04,s15q04_os,s15q05,s15q06a,s15q06b,s15q07,s15q08,s15q09a,s15q09b,s15q10a,s15q10b,s15q10c
010308010100402013,1,010308010100402,2. URBAN,1301.509614035088,1. TIGRAY,03,08,1,1,004,02,13,7. MICROFINANCE INSTITUTION,,1,2,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,6. FEBRUARY,2011,3. MONTHLY,2. NO,8. APRIL,2012,20000,17000,37000
010308010100402022,1,010308010100402,2. URBAN,1301.509614035088,1. TIGRAY,03,08,1,1,004,02,22,1. RELATIVE,,1,,10. FOOD/NON-FOOD EXPENDITURE,,,9. MAY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,200,0,200
010308010100402094,1,010308010100402,2. URBAN,1301.509614035088,1. TIGRAY,03,08,1,1,004,02,94,1. RELATIVE,,1,,9. OTHER (SPECIFY),lemenkeshakesha,,2. OCTOBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,200,0,200
010308010100402103,1,010308010100402,2. URBAN,1301.509614035088,1. TIGRAY,03,08,1,1,004,02,103,1. RELATIVE,,1,,10. FOOD/NON-FOOD EXPENDITURE,,,10. JUNE,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,10. JUNE,2011,200,0,200
010308010100402112,1,010308010100402,2. URBAN,1301.509614035088,1. TIGRAY,03,08,1,1,004,02,112,1. RELATIVE,,1,2,8. WORKING CAPITAL FOR NON-FARM ENTERPRISE,,1,2. OCTOBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,30000,0,30000
010308010100402130,1,010308010100402,2. URBAN,1301.509614035088,1. TIGRAY,03,08,1,1,004,02,130,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,6. FEBRUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,300,0,300
010309010100311239,1,010309010100311,2. URBAN,2118.4648466085,1. TIGRAY,03,09,1,1,003,11,239,2. NEIGHBOR,,2,,8. WORKING CAPITAL FOR NON-FARM ENTERPRISE,,1,2. OCTOBER,2011,6. ANNUALLY,1. YES,,,150,0,150
010401088800209079,1,010401088800209,1. RURAL,2282.010323809524,1. TIGRAY,04,01,8,88,002,09,79,1. RELATIVE,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,7. MARCH,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,250,0,250
010401088800209093,1,010401088800209,1. RURAL,2282.010323809524,1. TIGRAY,04,01,8,88,002,09,93,1. RELATIVE,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,1. SEPTEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,500,0,500
010401088800209135,1,010401088800209,1. RURAL,2282.010323809524,1. TIGRAY,04,01,8,88,002,09,135,2. NEIGHBOR,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,1. SEPTEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,500,0,500
010403088801801072,1,010403088801801,1. RURAL,2703.57226519337,1. TIGRAY,04,03,8,88,018,01,72,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,1. SEPTEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,500,0,500
010403088801801096,1,010403088801801,1. RURAL,1797.942146803473,1. TIGRAY,04,03,8,88,018,01,96,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,12. AUGUST,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,300,8,308
010403088801801143,1,010403088801801,1. RURAL,2703.57226519337,1. TIGRAY,04,03,8,88,018,01,143,1. RELATIVE,,2,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,12. AUGUST,2010,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,300,0,300
010403088801801163,1,010403088801801,1. RURAL,2703.57226519337,1. TIGRAY,04,03,8,88,018,01,163,1. RELATIVE,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,6. FEBRUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,5000,0,5000
010403088801801183,1,010403088801801,1. RURAL,2703.57226519337,1. TIGRAY,04,03,8,88,018,01,183,1. RELATIVE,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,12. AUGUST,2010,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,400,0,400
010403088801801224,1,010403088801801,1. RURAL,2703.57226519337,1. TIGRAY,04,03,8,88,018,01,224,1. RELATIVE,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,10. JUNE,2010,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,500,0,500
010408010100204109,1,010408010100204,2. URBAN,1431.961797175867,1. TIGRAY,04,08,1,1,002,04,109,7. MICROFINANCE INSTITUTION,,2,,12. HOUSE CONSTRUCTION/MAINTENANCES,,,5. JANUARY,2011,3. MONTHLY,2. NO,10. JUNE,2011,1000000,0,1000000
010501088800902107,1,010501088800902,1. RURAL,2267.725439153439,1. TIGRAY,05,01,8,88,009,02,107,10. SACCOS,,1,,3. PURCHASE INPUTS FOR OTHER CROPS,,,5. JANUARY,2011,3. MONTHLY,2. NO,5. JANUARY,2014,10000,17,10017
010502020100102058,1,010502020100102,2. URBAN,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,58,1. RELATIVE,,1,,6. EXPANDING BUSINESS,,1,9. MAY,200,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,200,0,200
010502020100102069,1,010502020100102,2. URBAN,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,69,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,10. JUNE,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,9. MAY,2011,250,0,250
010502020100102102,1,010502020100102,2. URBAN,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,102,1. RELATIVE,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,8. APRIL,2011,2. WEEKLY,1. YES,,,250,0,250
010502020100102135,1,010502020100102,2. URBAN,1928.977663671374,1. TIGRAY,05,02,2,1,001,02,135,2. NEIGHBOR,,1,,6. EXPANDING BUSINESS,,1,2. OCTOBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,12. AUGUST,2011,2600,0,2600
010503088800803012,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,12,1. RELATIVE,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,11. JULY,2010,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,1000,0,1000
010503088800803025,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,25,7. MICROFINANCE INSTITUTION,,1,,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,9. MAY,2010,5. EVERY SIX MONTHS,2. NO,3. NOVEMBER,2012,4800,1200,6000
010503088800803090,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,90,1. RELATIVE,,1,2,11. HEALTH & EDUCATION EXPENDITURE,,,10. JUNE,2010,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,2000,0,2000
010503088800803132,1,010503088800803,1. RURAL,2624.415552995392,1. TIGRAY,05,03,8,88,008,03,132,1. RELATIVE,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,10. JUNE,2010,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,3000,500,3500
010601010100215114,1,010601010100215,2. URBAN,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,114,5. EMPLOYER,,1,2,12. HOUSE CONSTRUCTION/MAINTENANCES,,,7. MARCH,2011,3. MONTHLY,2. NO,7. MARCH,2014,18635,1863,20498
010601010100215136,1,010601010100215,2. URBAN,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,136,1. RELATIVE,,1,2,10. FOOD/NON-FOOD EXPENDITURE,,,5. JANUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,250,0,250
010601010100215312,1,010601010100215,2. URBAN,2323.239910202045,1. TIGRAY,06,01,1,1,002,15,312,8. BANK (COMMERCIAL),,1,2,12. HOUSE CONSTRUCTION/MAINTENANCES,,,4. DECEMBER,2011,3. MONTHLY,2. NO,4. DECEMBER,2026,550000,50000,600000
010602010100216018,1,010602010100216,2. URBAN,1637.836773752563,1. TIGRAY,06,02,1,1,002,16,18,7. MICROFINANCE INSTITUTION,,1,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,6. FEBRUARY,2011,3. MONTHLY,2. NO,6. FEBRUARY,2015,40000,6800,46800
010602010100216029,1,010602010100216,2. URBAN,1637.836773752563,1. TIGRAY,06,02,1,1,002,16,29,7. MICROFINANCE INSTITUTION,,1,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,9. MAY,2011,3. MONTHLY,2. NO,9. MAY,2016,40000,3200,43200
010602010100216150,1,010602010100216,2. URBAN,1637.836773752563,1. TIGRAY,06,02,1,1,002,16,150,7. MICROFINANCE INSTITUTION,,1,,12. HOUSE CONSTRUCTION/MAINTENANCES,,,8. APRIL,2011,3. MONTHLY,2. NO,8. APRIL,2026,200000,36000,236000
010604010100137080,1,010604010100137,2. URBAN,1500.507772743116,1. TIGRAY,06,04,1,1,001,37,80,1. RELATIVE,,3,,4. PURCHASE HOUSE/LEASE LAND FOR BUSINESS,,,5. JANUARY,2011,3. MONTHLY,2. NO,2. OCTOBER,2013,17000,20400,37400
010604010100137160,1,010604010100137,2. URBAN,1500.507772743116,1. TIGRAY,06,04,1,1,001,37,160,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,3. NOVEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,1. SEPTEMBER,2012,45000,0,45000
010605010100313130,1,010605010100313,2. URBAN,2333.177856558495,1. TIGRAY,06,05,1,1,003,13,130,10. SACCOS,,1,,12. HOUSE CONSTRUCTION/MAINTENANCES,,,6. FEBRUARY,2011,3. MONTHLY,2. NO,6. FEBRUARY,2012,70000,2000,72000
010606010100423087,1,010606010100423,2. URBAN,1922.633249791144,1. TIGRAY,06,06,1,1,004,23,87,1. RELATIVE,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,10. JUNE,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,11. JULY,2011,50,0,50
010606010100423126,1,010606010100423,2. URBAN,1922.633249791144,1. TIGRAY,06,06,1,1,004,23,126,1. RELATIVE,,1,,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,9. MAY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,150,0,150
010701088802004010,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,10,7. MICROFINANCE INSTITUTION,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,4. DECEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,10000,0,10000
010701088802004034,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,34,10. SACCOS,,1,,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,3. NOVEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,9. MAY,2012,15000,0,15000
010701088802004070,1,010701088802004,1. RURAL,3145.225496598639,1. TIGRAY,07,01,8,88,020,04,70,7. MICROFINANCE INSTITUTION,,1,2,1. PURCHASE HOUSE/LEASE LAND FOR FARMING,,,8. APRIL,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,10. JUNE,2012,10000,0,10000
010702010100112073,1,010702010100112,2. URBAN,1372.232358674464,1. TIGRAY,07,02,1,1,001,12,73,10. SACCOS,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,9. MAY,2010,3. MONTHLY,2. NO,11. JULY,2011,3000,300,3300
010703088801107024,1,010703088801107,1. RURAL,1574.649331797235,1. TIGRAY,07,03,8,88,011,07,24,2. NEIGHBOR,,1,,9. OTHER (SPECIFY),Funeral service,,4. DECEMBER,2011,4. EVERY THREE MONTHS,2. NO,4. DECEMBER,2012,500,0,500
010703088801107086,1,010703088801107,1. RURAL,1574.649331797235,1. TIGRAY,07,03,8,88,011,07,86,1. RELATIVE,,1,3,6. EXPANDING BUSINESS,,1,9. MAY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,3000,0,3000
020101088800704023,1,020101088800704,1. RURAL,251.3760327756914,2. AFAR,01,01,8,88,007,04,23,3. GROCERY/LOCAL MERCHANT,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,10. JUNE,2010,2. WEEKLY,1. YES,,,500,0,500
020103010100203269,1,020103010100203,2. URBAN,368.5291324200913,2. AFAR,01,03,1,1,002,03,269,1. RELATIVE,,1,,6. EXPANDING BUSINESS,,1,9. MAY,2011,2. WEEKLY,2. NO,11. JULY,2011,2000,0,2000
020201088800301009,1,020201088800301,1. RURAL,367.815941209723,2. AFAR,02,01,8,88,003,01,9,3. GROCERY/LOCAL MERCHANT,,1,,11. HEALTH & EDUCATION EXPENDITURE,,,6. FEBRUARY,2011,6. ANNUALLY,2. NO,12. AUGUST,2011,2500,0,2500
020202020100102062,1,020202020100102,2. URBAN,178.0157264957265,2. AFAR,02,02,2,1,001,02,62,2. NEIGHBOR,,1,2,2. PURCHASE AGRICULTURAL INPUTS FOR FOOD CROP,,,10. JUNE,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,12. AUGUST,2011,1000,0,1000
020202088800202047,1,020202088800202,1. RURAL,512.5809776430465,2. AFAR,02,02,8,88,002,02,47,2. NEIGHBOR,,1,,10. FOOD/NON-FOOD EXPENDITURE,,,8. APRIL,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,3000,0,3000
020203010100206068,1,020203010100206,2. URBAN,410.8199066293184,2. AFAR,02,03,1,1,002,06,68,1. RELATIVE,,1,,11. HEALTH & EDUCATION EXPENDITURE,,,6. FEBRUARY,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,2000,0,2000
020203010100206101,1,020203010100206,2. URBAN,410.8199066293184,2. AFAR,02,03,1,1,002,06,101,1. RELATIVE,,1,,12. HOUSE CONSTRUCTION/MAINTENANCES,,,3. NOVEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,1. YES,,,5000,0,5000
020203010100206145,1,020203010100206,2. URBAN,410.8199066293184,2. AFAR,02,03,1,1,002,06,145,2. NEIGHBOR,,1,2,9. OTHER (SPECIFY),Settling court order,,4. DECEMBER,2011,7. 1 TIME LUMP SUM/ONLY WHEN I GET CASH,2. NO,4. DECEMBER,2013,20000,0,20000
