"household_id","ea_id","saq14","pw_w4","saq01","saq02","saq03","saq04","saq05","saq06","saq07","saq08","saq09","saq11","saq12","saq13","saq17","saq18","InterviewStart","saq21"
"010102088801010035","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",35,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-29T14:43:20","**CONFIDENTIAL**"
"010102088801010048","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",48,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-28T14:07:07","**CONFIDENTIAL**"
"010102088801010068","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",68,9,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-22T10:44:11","**CONFIDENTIAL**"
"010102088801010090","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",90,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-17T15:02:14","**CONFIDENTIAL**"
"010102088801010104","010102088801010",1,4968.35921483097,1,"01","02",8,88,"010","10",104,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-28T12:30:22","**CONFIDENTIAL**"
"010102088801010113","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",113,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-28T11:26:43","**CONFIDENTIAL**"
"010102088801010136","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",136,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-22T18:26:30","**CONFIDENTIAL**"
"010102088801010148","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",148,8,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-22T19:45:52","**CONFIDENTIAL**"
"010102088801010161","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",161,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-12T09:04:52","**CONFIDENTIAL**"
"010102088801010173","010102088801010",1,2821.53733187932,1,"01","02",8,88,"010","10",173,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-23T17:44:02","**CONFIDENTIAL**"
"010103088800709008","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",8,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-05T06:15:52","**CONFIDENTIAL**"
"010103088800709016","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",16,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-06T18:47:02","**CONFIDENTIAL**"
"010103088800709024","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",24,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-01T11:24:03","**CONFIDENTIAL**"
"010103088800709032","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",32,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-16T20:24:04","**CONFIDENTIAL**"
"010103088800709040","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",40,7,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-25T12:04:37","**CONFIDENTIAL**"
"010103088800709048","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",48,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-12T10:38:45","**CONFIDENTIAL**"
"010103088800709056","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",56,9,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-17T16:13:53","**CONFIDENTIAL**"
"010103088800709064","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",64,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-21T09:15:16","**CONFIDENTIAL**"
"010103088800709072","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",72,8,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-24T09:06:29","**CONFIDENTIAL**"
"010103088800709080","010103088800709",1,1916.60414519906,1,"01","03",8,88,"007","09",80,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-16T13:34:52","**CONFIDENTIAL**"
"010104010100101012","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",12,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-12T08:05:36","**CONFIDENTIAL**"
"010104010100101028","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",28,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-14T15:52:30","**CONFIDENTIAL**"
"010104010100101044","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",44,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-16T09:35:49","**CONFIDENTIAL**"
"010104010100101060","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",60,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-13T08:06:48","**CONFIDENTIAL**"
"010104010100101076","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",76,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-17T17:48:48","**CONFIDENTIAL**"
"010104010100101092","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",92,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-13T11:16:33","**CONFIDENTIAL**"
"010104010100101108","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",108,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-13T09:10:33","**CONFIDENTIAL**"
"010104010100101124","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",124,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-18T08:28:29","**CONFIDENTIAL**"
"010104010100101140","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",140,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-11T17:32:06","**CONFIDENTIAL**"
"010104010100101156","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",156,7,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-12T09:46:24","**CONFIDENTIAL**"
"010104010100101172","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",172,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-16T08:26:54","**CONFIDENTIAL**"
"010104010100101188","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",188,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-18T11:56:32","**CONFIDENTIAL**"
"010104010100101204","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",204,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-11T08:21:11","**CONFIDENTIAL**"
"010104010100101220","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",220,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-13T10:06:52","**CONFIDENTIAL**"
"010104010100101236","010104010100101",2,2407.01259885465,1,"01","04",1,1,"001","01",236,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-16T10:02:16","**CONFIDENTIAL**"
"010104088800405010","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",10,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-03T09:47:33","**CONFIDENTIAL**"
"010104088800405019","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",19,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-04T09:41:36","**CONFIDENTIAL**"
"010104088800405028","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",28,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-07T08:26:25","**CONFIDENTIAL**"
"010104088800405030","010104088800405",1,5014.69833159541,1,"01","04",8,88,"004","05",30,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-06T08:19:43","**CONFIDENTIAL**"
"010104088800405043","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",43,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-05T20:41:33","**CONFIDENTIAL**"
"010104088800405056","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",56,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-06T18:02:30","**CONFIDENTIAL**"
"010104088800405069","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",69,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-04T12:35:14","**CONFIDENTIAL**"
"010104088800405080","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",80,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-06T06:51:53","**CONFIDENTIAL**"
"010104088800405091","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",91,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-03T19:30:19","**CONFIDENTIAL**"
"010104088800405098","010104088800405",1,5014.69833159541,1,"01","04",8,88,"004","05",98,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-03T10:33:24","**CONFIDENTIAL**"
"010104088800405106","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",106,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-06T09:25:56","**CONFIDENTIAL**"
"010104088800405133","010104088800405",1,1548.39808133472,1,"01","04",8,88,"004","05",133,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-03T15:09:12","**CONFIDENTIAL**"
"010105088800712018","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",18,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-11T07:39:30","**CONFIDENTIAL**"
"010105088800712045","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",45,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-09T07:09:28","**CONFIDENTIAL**"
"010105088800712049","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",49,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-10T11:47:12","**CONFIDENTIAL**"
"010105088800712050","010105088800712",1,14542.0513975155,1,"01","05",8,88,"007","12",50,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-10T17:48:35","**CONFIDENTIAL**"
"010105088800712054","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",54,10,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-08T13:40:15","**CONFIDENTIAL**"
"010105088800712061","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",61,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-10T10:50:10","**CONFIDENTIAL**"
"010105088800712072","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",72,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-09T12:45:22","**CONFIDENTIAL**"
"010105088800712074","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",74,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-09T15:57:33","**CONFIDENTIAL**"
"010105088800712079","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",79,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-11T15:24:34","**CONFIDENTIAL**"
"010105088800712096","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",96,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-07T14:25:14","**CONFIDENTIAL**"
"010105088800712112","010105088800712",1,707.451149068323,1,"01","05",8,88,"007","12",112,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-08T06:25:20","**CONFIDENTIAL**"
"010105088800712121","010105088800712",1,14542.0513975155,1,"01","05",8,88,"007","12",121,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-07T09:56:12","**CONFIDENTIAL**"
"010105088802215009","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",9,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-07T08:41:08","**CONFIDENTIAL**"
"010105088802215025","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",25,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-08T11:37:29","**CONFIDENTIAL**"
"010105088802215055","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",55,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-05T13:36:44","**CONFIDENTIAL**"
"010105088802215070","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",70,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-07T13:27:18","**CONFIDENTIAL**"
"010105088802215086","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",86,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-10T09:30:46","**CONFIDENTIAL**"
"010105088802215091","010105088802215",1,4079.43340659341,1,"01","05",8,88,"022","15",91,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-08T09:36:11","**CONFIDENTIAL**"
"010105088802215104","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",104,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-11T17:07:20","**CONFIDENTIAL**"
"010105088802215120","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",120,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-09T13:16:22","**CONFIDENTIAL**"
"010105088802215146","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",146,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-06T15:20:33","**CONFIDENTIAL**"
"010105088802215162","010105088802215",1,4079.43340659341,1,"01","05",8,88,"022","15",162,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-05T09:30:01","**CONFIDENTIAL**"
"010105088802215167","010105088802215",1,3111.08305250305,1,"01","05",8,88,"022","15",167,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-06T09:16:50","**CONFIDENTIAL**"
"010106088801204010","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",10,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-12T20:34:49","**CONFIDENTIAL**"
"010106088801204020","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",20,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-23T17:57:01","**CONFIDENTIAL**"
"010106088801204030","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",30,8,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-12T20:39:02","**CONFIDENTIAL**"
"010106088801204040","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",40,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-27T07:13:20","**CONFIDENTIAL**"
"010106088801204050","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",50,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-26T13:39:12","**CONFIDENTIAL**"
"010106088801204060","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",60,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-27T14:36:26","**CONFIDENTIAL**"
"010106088801204070","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",70,6,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-02T07:59:31","**CONFIDENTIAL**"
"010106088801204080","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",80,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-07-02T11:12:47","**CONFIDENTIAL**"
"010106088801204090","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",90,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-28T13:13:00","**CONFIDENTIAL**"
"010106088801204100","010106088801204",1,3321.88895470383,1,"01","06",8,88,"012","04",100,8,"**CONFIDENTIAL**","**CONFIDENTIAL**",1,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-28T12:31:34","**CONFIDENTIAL**"
"010107010100213002","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",2,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-27T15:03:16","**CONFIDENTIAL**"
"010107010100213010","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",10,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-09T16:29:23","**CONFIDENTIAL**"
"010107010100213018","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",18,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-23T10:05:47","**CONFIDENTIAL**"
"010107010100213026","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",26,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-20T14:17:42","**CONFIDENTIAL**"
"010107010100213034","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",34,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-06T14:16:51","**CONFIDENTIAL**"
"010107010100213042","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",42,1,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-13T06:22:36","**CONFIDENTIAL**"
"010107010100213050","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",50,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-24T11:05:24","**CONFIDENTIAL**"
"010107010100213058","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",58,5,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-29T21:54:11","**CONFIDENTIAL**"
"010107010100213066","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",66,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-13T12:03:19","**CONFIDENTIAL**"
"010107010100213074","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",74,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-07T07:36:19","**CONFIDENTIAL**"
"010107010100213082","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",82,3,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-11T09:20:42","**CONFIDENTIAL**"
"010107010100213090","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",90,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-14T17:16:05","**CONFIDENTIAL**"
"010107010100213098","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",98,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-15T12:04:31","**CONFIDENTIAL**"
"010107010100213106","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",106,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-16T08:55:35","**CONFIDENTIAL**"
"010107010100213114","010107010100213",2,1490.52825166364,1,"01","07",1,1,"002","13",114,2,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-12T13:57:55","**CONFIDENTIAL**"
"010108010100218003","010108010100218",2,1330.0098245614,1,"01","08",1,1,"002","18",3,4,"**CONFIDENTIAL**","**CONFIDENTIAL**",2,"**CONFIDENTIAL**","**CONFIDENTIAL**","2019-06-10T09:15:49","**CONFIDENTIAL**"
