household_id,phw5,cs4_sector,cs1_region,cs2_zoneid,cs3_woredaid,cs3c_subcityid,cs3b_kebeleid,ea_id,key,cs_startdate,cs_submissiondate,cs3c_cityid,cs5_eaid,cs6_hhid,cs7_hhh_id,cs7a_hhh_gender,cs7a_hhh_age,cs12_round,ii1_attempt,ii4_resp_same,ii4_resp_id,ii4_resp_gender,ii4_resp_age,ii4_resp_relhhh,bi_same_hhh,ac1_atb_med,ac2_atb_med_why,ac2_atb_med_why_other,ac1_atb_teff,ac2_atb_teff_why,ac2_atb_teff_why_other,ac1_atb_wheat,ac2_atb_wheat_why,ac2_atb_wheat_why_other,ac1_atb_maize,ac2_atb_maize_why,ac2_atb_maize_why_other,ac1_atb_oil,ac2_atb_oil_why,ac2_atb_oil_why_other,ac3a_pri_sch_child,ac4a_pri_child,ac5a_pri_edu_type,ac5a_pri_edu_type_1,ac5a_pri_edu_type_2,ac5a_pri_edu_type_3,ac5a_pri_edu_type_4,ac5a_pri_edu_type_5,ac5a_pri_edu_type__96,ac5a_pri_edu_type__98,ac5a_pri_edu_type__99,ac5a_pri_edu_type_other,ac3b_sec_sch_child,ac4b_sec_child,ac5b_sec_edu_type,ac5b_sec_edu_type_1,ac5b_sec_edu_type_2,ac5b_sec_edu_type_3,ac5b_sec_edu_type_4,ac5b_sec_edu_type_5,ac5b_sec_edu_type__96,ac5b_sec_edu_type__98,ac5b_sec_edu_type__99,ac5b_sec_edu_type_other,ac6_med,ac7_med_access,ac8_med_access_reas,ac8_med_access_reas_other,ac9_bank,em1_work_cur,em6_work_cur_act,em6_work_cur_act_other,em7_work_cur_status,em7_work_cur_status_other,em8_work_cur_same,em9_work_change_why,em9_work_change_why_other,em2_work_pre,em3_work_no_why,em3_work_no_why_other,em4_work_pre_act,em4_work_pre_act_other,em5_work_pre_status,em5_work_pre_status_other,em12_work_cur_able,em13_work_cur_notable_paid,em14_work_cur_notable_why,em14_work_cur_notable_why_other,em15_bus,em15a_bus_prev,em15b_bus_prev_closed,em15b_bus_prev_closed_other,em15c_bus_new,em16_bus_sector,em16_bus_sector_other,em17_bus_inc,em18_bus_inc_low_amt,em19_bus_inc_low_why,em19_bus_inc_low_why_1,em19_bus_inc_low_why_2,em19_bus_inc_low_why_3,em19_bus_inc_low_why_4,em19_bus_inc_low_why_5,em19_bus_inc_low_why_6,em19_bus_inc_low_why_7,em19_bus_inc_low_why__98,em19_bus_inc_low_why__99,em19_bus_inc_low_why__96,em19_bus_inc_low_why_other,em20_farm,em21_farm_norm,em22_farm_norm_why,em22_farm_norm_why_1,em22_farm_norm_why_2,em22_farm_norm_why_3,em22_farm_norm_why_4,em22_farm_norm_why_5,em22_farm_norm_why_6,em22_farm_norm_why_7,em22_farm_norm_why__98,em22_farm_norm_why__99,em22_farm_norm_why__96,em22_farm_norm_why_other,em23_we,em24_we_layoff,em25_we_layoff_covid,lc1_farm,lc2_farm_chg,lc1_bus,lc2_bus_chg,lc1_we,lc2_we_chg,lc1_rem_dom,lc2_rem_dom_chg,lc1_rem_for,lc2_rem_for_chg,lc1_isp,lc2_isp_chg,lc1_pen,lc2_pen_chg,lc1_gov,lc2_gov_chg,lc1_ngo,lc2_ngo_chg,lc1_other,lc1_other_source,lc2_other_chg,lc3_total_chg,lc4_total_chg_cope,lc4_total_chg_cope_0,lc4_total_chg_cope_1,lc4_total_chg_cope_2,lc4_total_chg_cope_3,lc4_total_chg_cope_4,lc4_total_chg_cope_5,lc4_total_chg_cope_6,lc4_total_chg_cope_7,lc4_total_chg_cope_8,lc4_total_chg_cope_9,lc4_total_chg_cope_10,lc4_total_chg_cope_11,lc4_total_chg_cope_12,lc4_total_chg_cope_13,lc4_total_chg_cope_14,lc4_total_chg_cope_15,lc4_total_chg_cope__98,lc4_total_chg_cope__99,lc4_total_chg_cope__96,lc4_total_chg_cope_other,fi1_enough,fi2_healthy,fi3_fewkinds,fi4_skipmeal,fi5_ateless,fi6_noteatfullday,fi7_outoffood,fi8_hungrynoteat,as1_assist_type,as1_assist_type_0,as1_assist_type_1,as1_assist_type_2,as1_assist_type_3,as1_assist_type__98,as1_assist_type__99,as1_assist_type__96,as1_assist_type_other,as3_food_value,as2_food_psnp,as4_food_source,as4_food_source_other,as3_forwork_value_food,as3_forwork_value_cash,as2_forwork_psnp,as4_forwork_source,as4_forwork_source_other,as3_cash_value,as2_cash_psnp,as4_cash_source,as4_cash_source_other,as3_other_value,as2_other_psnp,as4_other_source,as4_other_source_other,as5_assist_fair,as6_assist_tension,ag1_crops,ag2_crops_able,ag3_crops_reas,ag3_crops_reas_1,ag3_crops_reas_2,ag3_crops_reas_3,ag3_crops_reas_4,ag3_crops_reas_5,ag3_crops_reas_6,ag3_crops_reas_7,ag3_crops_reas_8,ag3_crops_reas_9,ag3_crops_reas__96,ag3_crops_reas__98,ag3_crops_reas__99,ag3_crops_reas_other,ag4_crops_reas_fert,ag4_crops_reas_fert_other,ag5_crops_reas_seeds,ag5_crops_reas_seeds_other,ls1_livestock,ls2_type,ls2_type_1,ls2_type_2,ls2_type_3,ls2_type_4,ls2_type_5,ls2_type_6,ls2_type__96,ls2_type_other,ls3_covid,ls4_covid_impact,ls4_covid_impact_1,ls4_covid_impact_2,ls4_covid_impact_3,ls4_covid_impact_4,ls4_covid_impact__96,ls4_covid_impact_other,ls5_usual,ls6_revenue_chg,ls7_since_covid,ls8_because_covid,ls9_sell_able,ls10_sell_cond,ls11_sell_price,ls12_sell_notable,ls12_sell_notable_1,ls12_sell_notable_2,ls12_sell_notable_3,ls12_sell_notable_4,ls12_sell_notable_5,ls12_sell_notable_6,ls12_sell_notable__96,ls12_sell_notable_other,ir1_endearly,ir1_whyendearly,ir1_whyendearly_other,ir_lang,ir_understand,ir_confident
020103010100203143,526.7340087890625,Urban,Afar,1,3,1,2,020103010100203,uuid:ecda3b97-4cd0-4bb2-9125-246dc5c26a8e,2020-08-30T23:50:13Z,2020-08-30T19:36:51Z,1,3,143,1,Male,28,Round 5,4,1,1,Male,28,Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Yes,,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Education and Health,,Employee (Government),,Yes,,,Yes,,,Education and Health,,Employee (Government),,Yes,,,,Yes,Yes,,,,Wholesale and retail trade,,Less than usual,Decreased by more than half of the usual income,4,No,No,No,Yes,No,No,No,No,No,No,,No,,,,,,,,,,,,,,Yes,No,,No,,No,,Yes,Increased,No,,No,,No,,No,,No,,No,,No,,,Reduced,11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020103010100203197,526.7340087890625,Urban,Afar,1,3,1,2,020103010100203,uuid:552c9466-a2cc-4ccb-8991-89d6f6ed224e,2020-08-29T22:37:28Z,2020-08-30T06:51:22Z,1,3,197,1,Male,48,Round 5,6,1,1,Male,48,Head,Yes,Yes,,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,"Yes, and successfully received the service",Yes,Public administration (government),,Employee (Government),,Yes,,,Yes,,,Public administration (government),,Employee (Government),,Yes,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,,No,,Yes,Increased,No,,No,,No,,No,,No,,No,,No,,,Increased,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020103010100203215,647.06024169921875,Urban,Afar,1,3,1,2,020103010100203,uuid:ed39f085-bc40-40ee-b931-18ce66e673c8,2020-09-04T17:42:42Z,2020-09-04T18:48:34Z,1,3,215,1,Male,58,Round 5,3,1,1,Male,58,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Construction,,Employee (Domestic),,Yes,,,Yes,,,Construction,,Employee (Domestic),,Yes,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,Yes,No,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020103010100203251,526.7340087890625,Urban,Afar,1,3,1,2,020103010100203,uuid:13c1c8c6-1e88-49a5-aa08-2149f0f14fb4,2020-09-07T18:27:39Z,2020-09-07T19:41:49Z,1,3,251,1,Male,33,Round 5,8,1,2,Female,26,Spouse,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",Yes,Education and Health,,Employee (Government),,Yes,,,Yes,,,Education and Health,,Employee (Government),,Yes,,,,Yes,Yes,,,,"Transport services (taxi, bus, bajaj, truck, etc.)",,The same as usual,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,No,,No,,Yes,Stayed the same,Yes,Increased,No,,No,,Yes,Reduced,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020103010100203269,751.56988525390625,Urban,Afar,1,3,1,2,020103010100203,uuid:46ee5492-77fc-4ef6-a1b9-01a8c31e5c71,2020-09-04T12:08:39Z,2020-09-04T18:27:57Z,1,3,269,1,Female,72,Round 5,3,1,1,Female,72,Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,No,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Yes,,,"Yes, and successfully received the service",Yes,Public administration (government),,Employee (Government),,Yes,,,Yes,,,Public administration (government),,Employee (Government),,No,"Yes, full normal payment",Ill,,No,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,No,,No,,No,,Yes,Increased,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,,Increased,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,2,No,Yes,No,No,No,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020103088800401017,2269.482666015625,Rural,Afar,1,3,88,4,020103088800401,uuid:815a7fec-2d7c-4018-92cc-339a784a5970,2020-08-24T21:50:10Z,2020-08-24T17:23:26Z,8,1,17,1,Male,45,Round 5,3,1,1,Male,45,Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,Yes,3,No,No,Yes,No,No,No,No,No,,No,,,,,,,,,,,,No,,,,No,Yes,Agriculture,,Self-Employed,,Yes,,,Yes,,,Agriculture,,Self-Employed,,,,,,No,No,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,2,No,Yes,No,No,No,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,Normal,About the same,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020103088800401036,1871.892822265625,Rural,Afar,1,3,88,4,020103088800401,uuid:d7b5908b-458e-4a63-b1d1-6d4d81b38f90,2020-08-24T21:13:15Z,2020-08-24T17:23:14Z,8,1,36,1,Female,65,Round 5,4,1,2,Female,20,Son/Daughter,Yes,Not Applicable (did not need to buy medicine),,,No,Increase in price,,No,Increase in price,,Yes,,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Wholesale and retail trade,,Self-Employed,,Yes,,,Yes,,,Wholesale and retail trade,,Self-Employed,,,,,,Yes,Yes,,,No,Wholesale and retail trade,,Less than usual,Decreased by more than half of the usual income,4 5,No,No,No,Yes,Yes,No,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Reduced,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,Yes,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,2,No,Yes,No,No,No,No,No,,Yes,1,Yes,No,No,No,No,,No,,Yes,Usual Sale,Yes,Normal,Lower,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020103088800401044,2690.473388671875,Rural,Afar,1,3,88,4,020103088800401,uuid:417639f9-8975-4816-af1e-dda15bc61a12,2020-08-26T21:28:52Z,2020-08-26T16:30:43Z,8,1,44,1,Female,53,Round 5,7,1,1,Female,53,Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,No,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,2,No,Yes,No,No,No,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,Normal,Lower,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020106010100102007,506.5469970703125,Urban,Afar,1,6,1,1,020106010100102,uuid:03d0a1cf-254a-404e-8f76-b8fdb6903d47,2020-09-06T17:46:54Z,2020-09-06T18:42:47Z,1,2,7,1,Male,40,Round 5,7,1,1,Male,40,Head,Yes,Yes,,,Yes,,,Yes,,,Yes,,,No,Increase in price,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,"Transport services (taxi, bus, bajaj, truck, etc.)",,Casual Worker,,Yes,,,Yes,,,"Transport services (taxi, bus, bajaj, truck, etc.)",,Casual Worker,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,Yes,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020106010100102017,613.0885009765625,Urban,Afar,1,6,1,1,020106010100102,uuid:94ac3d8a-fb66-4a0b-8520-ac138c9f8839,2020-09-03T17:58:20Z,2020-09-03T19:43:14Z,1,2,17,1,Female,53,Round 5,5,1,1,Female,53,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,No,Increase in price,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020106010100102037,391.1992492675781,Urban,Afar,1,6,1,1,020106010100102,uuid:110a6e1f-08bd-46fc-9179-dfbdf4545a84,2020-09-03T18:14:57Z,2020-09-03T19:43:25Z,1,2,37,1,Male,25,Round 5,5,1,1,Male,25,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",Yes,Education and Health,,Employee (Government),,Yes,,,Yes,,,Education and Health,,Employee (Government),,Yes,,,,Yes,Yes,,,,Wholesale and retail trade,,Less than usual,Decreased by about half (50%) of the usual income,4,No,No,No,Yes,No,No,No,No,No,No,,Yes,Yes,,,,,,,,,,,,,No,,,No,,Yes,Reduced,Yes,Increased,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,2,No,Yes,No,No,No,No,No,,No,,,,,,,,No,,No,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020106010100102057,436.1090393066406,Urban,Afar,1,6,1,1,020106010100102,uuid:8c75ca22-ddb3-450d-94f2-44e54d16fdf2,2020-09-01T00:23:15Z,2020-08-31T18:52:38Z,1,2,57,1,Female,20,Round 5,5,1,1,Female,20,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Total (100%) loss,11,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020106010100102067,613.0885009765625,Urban,Afar,1,6,1,1,020106010100102,uuid:b48cadc7-7e45-4812-91d7-f15d750901af,2020-09-09T17:12:36Z,2020-09-09T19:36:15Z,1,2,67,1,Female,35,Round 5,8,1,1,Female,35,Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Yes,,,Yes,,,Yes,,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",Yes,Public administration (government),,Employee (Government),,Yes,,,Yes,,,Public administration (government),,Employee (Government),,Yes,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,Yes,No,,No,,No,,Yes,Increased,No,,No,,No,,No,,No,,No,,No,,,Increased,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,No,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,1 25t5,Yes,Yes,Yes,No,Yes,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,Worse than normal,Lower,,,,,,,,,,No,,,Afar,Displayed no problems speaking or understanding the language,Very confident
020106010100102137,613.0885009765625,Urban,Afar,1,6,1,1,020106010100102,uuid:ca4ae099-7c55-4094-9545-a166a1f342af,2020-09-02T18:17:04Z,2020-09-02T20:58:19Z,1,2,137,1,Female,25,Round 5,6,1,1,Female,25,Head,Yes,Yes,,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,6,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident
020106088801201012,10886.85546875,Rural,Afar,1,6,88,12,020106088801201,uuid:d4b8a9a3-f7c4-455b-a095-01751e7b47f6,2020-09-03T09:24:40Z,2020-09-03T13:38:39Z,8,1,12,1,Male,39,Round 5,7,1,1,Male,39,Head,Yes,Yes,,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,No,Yes,Agriculture,,Self-Employed,,Yes,,,Yes,,,Agriculture,,Self-Employed,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,2 4 5,No,Yes,No,Yes,Yes,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,Normal,Lower,,,,,,,,,,No,,,Afar,Displayed no problems speaking or understanding the language,Very confident
020106088801201024,6449.7646484375,Rural,Afar,1,6,88,12,020106088801201,uuid:72f3f9e6-2f82-420e-b31d-86fbbcfdf433,2020-09-03T09:42:59Z,2020-09-03T13:38:15Z,8,1,24,1,Male,47,Round 5,7,1,1,Male,47,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Yes,,,Not Applicable (did not need to buy edible oil),,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Agriculture,,Self-Employed,,Yes,,,Yes,,,Agriculture,,Self-Employed,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,2,No,Yes,No,No,No,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,Normal,Lower,,,,,,,,,,No,,,Afar,Displayed no problems speaking or understanding the language,Very confident
020106088801201036,10886.85546875,Rural,Afar,1,6,88,12,020106088801201,uuid:a19081de-62be-4acc-ab2a-a62e6cf18d84,2020-08-25T21:28:38Z,2020-08-25T19:51:49Z,8,1,36,1,Male,35,Round 5,4,1,1,Male,35,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Not Applicable (did not need to buy edible oil),,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Agriculture,,Self-Employed,,Yes,,,Yes,,,Agriculture,,Self-Employed,,,,,,No,No,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,2 4,No,Yes,No,Yes,No,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,Worse than normal,Lower,,,,,,,,,,No,,,Afar,Displayed no problems speaking or understanding the language,Very confident
020108088800804012,835.21649169921875,Rural,Afar,1,8,88,8,020108088800804,uuid:55f01c0a-2147-4bd0-a519-03b632bb09b4,2020-08-30T01:01:32Z,2020-08-30T07:12:33Z,8,4,12,1,Male,56,Round 5,7,1,1,Male,56,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Agriculture,,Self-Employed,,Yes,,,Yes,,,Agriculture,,Self-Employed,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,1,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,1 2 5,Yes,Yes,No,No,Yes,No,No,,No,,,,,,,,No,,Yes,Usual Sale,Yes,Normal,Lower,,,,,,,,,,No,,,Afar,Displayed no problems speaking or understanding the language,Very confident
