key,household_id,ea_id,cs_startdate,cs_submissiondate,cs1_region,cs2_zoneid,cs3_woredaid,cs3c_cityid,cs3c_subcityid,cs3b_kebeleid,cs4_sector,cs5_eaid,cs6_hhid,cs7_hhh_id,cs7a_hhh_gender,cs7a_hhh_age,cs12_round,ii1_attempt,ii4_resp_same,ii4_resp_id,ii4_resp_gender,ii4_resp_age,ii4_resp_relhhh,bi_same_hhh,ac1_atb_med,ac2_atb_med_why,ac2_atb_med_why_other,ac1_atb_teff,ac2_atb_teff_why,ac2_atb_teff_why_other,ac1_atb_wheat,ac2_atb_wheat_why,ac2_atb_wheat_why_other,ac1_atb_maize,ac2_atb_maize_why,ac2_atb_maize_why_other,ac1_atb_oil,ac2_atb_oil_why,ac2_atb_oil_why_other,ac3a_pri_sch_child,ac4a_pri_child,ac5a_pri_edu_type,ac5a_pri_edu_type_1,ac5a_pri_edu_type_2,ac5a_pri_edu_type_3,ac5a_pri_edu_type_4,ac5a_pri_edu_type_5,ac5a_pri_edu_type__96,ac5a_pri_edu_type__98,ac5a_pri_edu_type__99,ac5a_pri_edu_type_other,ac3b_sec_sch_child,ac4b_sec_child,ac5b_sec_edu_type,ac5b_sec_edu_type_1,ac5b_sec_edu_type_2,ac5b_sec_edu_type_3,ac5b_sec_edu_type_4,ac5b_sec_edu_type_5,ac5b_sec_edu_type__96,ac5b_sec_edu_type__98,ac5b_sec_edu_type__99,ac5b_sec_edu_type_other,ac6_med,ac7_med_access,ac8_med_access_reas,ac8_med_access_reas_other,ac9_bank,em1_work_cur,em6_work_cur_act,em6_work_cur_act_other,em7_work_cur_status,em7_work_cur_status_other,em8_work_cur_same,em9_work_change_why,em9_work_change_why_other,em2_work_pre,em3_work_no_why,em3_work_no_why_other,em4_work_pre_act,em4_work_pre_act_other,em5_work_pre_status,em5_work_pre_status_other,em15_bus,em15a_bus_prev,em15b_bus_prev_closed,em15b_bus_prev_closed_other,em15c_bus_new,em16_bus_sector,em16_bus_sector_other,em17_bus_inc,em18_bus_inc_low_amt,em19_bus_inc_low_why,em19_bus_inc_low_why_1,em19_bus_inc_low_why_2,em19_bus_inc_low_why_3,em19_bus_inc_low_why_4,em19_bus_inc_low_why_5,em19_bus_inc_low_why_6,em19_bus_inc_low_why_7,em19_bus_inc_low_why__98,em19_bus_inc_low_why__99,em19_bus_inc_low_why__96,em19_bus_inc_low_why_other,em20_farm,em21_farm_norm,em22_farm_norm_why,em22_farm_norm_why_1,em22_farm_norm_why_2,em22_farm_norm_why_3,em22_farm_norm_why_4,em22_farm_norm_why_5,em22_farm_norm_why_6,em22_farm_norm_why_7,em22_farm_norm_why__98,em22_farm_norm_why__99,em22_farm_norm_why__96,em22_farm_norm_why_other,em23_we,em24_we_layoff,em25_we_layoff_covid,lc1_farm,lc2_farm_chg,lc1_bus,lc2_bus_chg,lc1_we,lc2_we_chg,lc1_rem_dom,lc2_rem_dom_chg,lc1_rem_for,lc2_rem_for_chg,lc1_isp,lc2_isp_chg,lc1_pen,lc2_pen_chg,lc1_gov,lc2_gov_chg,lc1_ngo,lc2_ngo_chg,lc1_other,lc1_other_source,lc2_other_chg,lc3_total_chg,lc4_total_chg_cope,lc4_total_chg_cope_0,lc4_total_chg_cope_1,lc4_total_chg_cope_2,lc4_total_chg_cope_3,lc4_total_chg_cope_4,lc4_total_chg_cope_5,lc4_total_chg_cope_6,lc4_total_chg_cope_7,lc4_total_chg_cope_8,lc4_total_chg_cope_9,lc4_total_chg_cope_10,lc4_total_chg_cope_11,lc4_total_chg_cope_12,lc4_total_chg_cope_13,lc4_total_chg_cope_14,lc4_total_chg_cope_15,lc4_total_chg_cope__98,lc4_total_chg_cope__99,lc4_total_chg_cope__96,lc4_total_chg_cope_other,fi1_enough,fi2_healthy,fi3_fewkinds,fi4_skipmeal,fi5_ateless,fi6_noteatfullday,fi7_outoffood,fi8_hungrynoteat,as1_assist_type,as1_assist_type_0,as1_assist_type_1,as1_assist_type_2,as1_assist_type_3,as1_assist_type__98,as1_assist_type__99,as1_assist_type__96,as1_assist_type_other,as3_food_value,as2_food_psnp,as4_food_source,as4_food_source_other,as3_forwork_value_food,as3_forwork_value_cash,as2_forwork_psnp,as4_forwork_source,as4_forwork_source_other,as3_cash_value,as2_cash_psnp,as4_cash_source,as4_cash_source_other,as3_other_value,as2_other_psnp,as4_other_source,as4_other_source_other,as5_assist_fair,as6_assist_tension,ag1_crops,ag2_crops_able,ag3_crops_reas,ag3_crops_reas_1,ag3_crops_reas_2,ag3_crops_reas_3,ag3_crops_reas_4,ag3_crops_reas_5,ag3_crops_reas_6,ag3_crops_reas_7,ag3_crops_reas_8,ag3_crops_reas_9,ag3_crops_reas__96,ag3_crops_reas__98,ag3_crops_reas__99,ag3_crops_reas_other,ag4_crops_reas_fert,ag4_crops_reas_fert_other,ag5_crops_reas_seeds,ag5_crops_reas_seeds_other,ag6_ext_need,ag7_ext_receive,ag8_travel_norm,ag9_travel_curr,lo1_keb,lo2_farm,lo3_impact,lo3_impact_1,lo3_impact_2,lo3_impact_3,lo3_impact_4,lo3_impact__99,lo4_destr,lo5_sprayed,wa1_water_drink,wa2_water_drink_why,wa2_water_drink_why_other,wa3_water_wash,wa4_water_wash_why,wa4_water_wash_why_other,wa5_soap_wash,wa6_soap_wash_why,wa6_soap_wash_why_other,ir1_endearly,ir1_whyendearly,ir1_whyendearly_other,ir_lang,ir_understand,ir_confident,phw4,_merge
uuid:b25edeca-744b-4fc1-8d3d-53a98a402fd9,031506010100103086,031506010100103,2020-08-05T11:23:51Z,2020-08-05T11:42:23Z,Amhara,15,6,1,1,1,Urban,3,86,1,Male,30,Round 4,1,Yes,1,Male,30,Head,Yes,Yes,,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Yes,,,"Yes, and successfully received the service",Yes,Public administration (government),,Employee (Government),,Yes,,,Yes,,,Public administration (government),,Employee (Government),,Yes,,,,Yes,Agriculture,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,Yes,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,6920.70703125,3
uuid:6bb7a672-08b1-4879-9104-fa1f6f79a014,031506010100103118,031506010100103,2020-08-05T11:46:42Z,2020-08-05T12:06:47Z,Amhara,15,6,1,1,1,Urban,3,118,1,Female,26,Round 4,1,Yes,1,Female,26,Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",Yes,Public administration (government),,Employee (Government),,Yes,,,Yes,,,Public administration (government),,Employee (Government),,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,Yes,No,,No,,No,,Yes,Increased,No,,No,,No,,No,,No,,No,,No,,,Increased,,,,,,,,,,,,,,,,,,,,,,No,No,Yes,Yes,Yes,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,No,Water supply reduced,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,8382.7138671875,3
uuid:f8cecf1c-0741-4c75-9b47-e8fdf29e3a87,031506010100103134,031506010100103,2020-08-05T12:08:00Z,2020-08-05T12:26:29Z,Amhara,15,6,1,1,1,Urban,3,134,1,Male,27,Round 4,1,Yes,1,Male,27,Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,Yes,No,,,,,,,,,,,No,,,,"Yes, and successfully received the service",Yes,Public administration (government),,Employee (Government),,Yes,,,Yes,,,Public administration (government),,Employee (Government),,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,No,Water supply reduced,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,6920.70703125,3
uuid:ff8b4926-f7ed-4f69-8c0a-4df5039bc483,031506010100103166,031506010100103,2020-08-05T12:27:55Z,2020-08-05T12:47:02Z,Amhara,15,6,1,1,1,Urban,3,166,1,Male,33,Round 4,1,Yes,1,Male,33,Head,Yes,Yes,,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",Yes,Agriculture,,Self-Employed,,Yes,,,Yes,,,Agriculture,,Self-Employed,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,No,No,Yes,No,No,,,,,,,,,,No,Water supply reduced,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,9656.1015625,3
uuid:9318f999-a298-415b-a604-6f820ce19ebd,031603088801008006,031603088801008,2020-07-28T06:10:37Z,2020-07-28T18:44:44Z,Amhara,16,3,8,88,10,Rural,8,6,1,Male,31,Round 4,2,Yes,1,Male,31,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,,,,,,,,No,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,44533.375,3
uuid:371bab20-5813-4d1e-8fcf-9658f3fd1693,031603088801008016,031603088801008,2020-08-06T06:43:08Z,2020-08-07T13:36:18Z,Amhara,16,3,8,88,10,Rural,8,16,1,Male,55,Round 4,1,Yes,1,Male,55,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,No,,,,,,,,No,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,25959.818359375,3
uuid:4ab6dbd8-c773-40f3-bfd2-60f2adacea08,031603088801008026,031603088801008,2020-08-19T12:54:26Z,2020-08-19T19:18:59Z,Amhara,16,3,8,88,10,Rural,8,26,1,Male,37,Round 4,3,Yes,2,Female,23,Spouse,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Other services (specify),Priest/Religious Role,Other (specify),Religious Organisation,,,,No,,,,,,,No,,,,,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,31086.228515625,3
uuid:89b38ad0-cc77-4a64-a73d-a7ccc5157664,031603088801008036,031603088801008,2020-07-29T06:57:10Z,2020-07-29T21:32:31Z,Amhara,16,3,8,88,10,Rural,8,36,1,Male,37,Round 4,3,Yes,2,Female,32,Spouse,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,,,,,,,,No,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,31086.228515625,3
uuid:2bf72db8-6725-431f-9913-d4dc0a8978b7,031603088801008046,031603088801008,2020-07-30T10:29:24Z,2020-07-30T19:43:53Z,Amhara,16,3,8,88,10,Rural,8,46,1,Male,40,Round 4,2,Yes,1,Male,40,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Agriculture,,Employee (Private Sector),,Yes,,,Yes,,,Agriculture,,Employee (Private Sector),,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,,,,,,,,No,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,31086.228515625,3
uuid:d0eecf78-8802-47b6-b575-9f75bfc0b6bd,031603088801008086,031603088801008,2020-07-28T11:10:53Z,2020-07-28T19:08:40Z,Amhara,16,3,8,88,10,Rural,8,86,1,Male,32,Round 4,3,Yes,1,Male,32,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,,,,,,,,No,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,22206.212890625,3
uuid:fbb7e48c-a6b4-41c8-9e94-084271889678,031604088800605066,031604088800605,2020-08-01T02:41:05Z,2020-08-03T17:38:14Z,Amhara,16,4,8,88,6,Rural,5,66,1,Male,38,Round 4,1,Yes,1,Male,38,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Wholesale and retail trade,,Employer,,Yes,,,Yes,,,Wholesale and retail trade,,Employer,,Yes,Yes,,,,Wholesale and retail trade,,The same as usual,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,Yes,Yes,,,,,,,,,,,,,,,,,,,Yes,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,25509.427734375,3
uuid:67b0ca02-ecdb-45a1-8cfb-b05a5fd4cfdb,031605010100105008,031605010100105,2020-08-05T18:17:57Z,2020-08-05T20:13:56Z,Amhara,16,5,1,1,1,Urban,5,8,2,Female,30,Round 4,1,Yes,2,Female,30,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,No,Decrease in regular income,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,"Yes, and successfully received the service",No,,,,,,,,No,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,11133.8828125,3
uuid:5e753ea5-21ff-4174-a91d-1be7bf787b3d,031605010100105020,031605010100105,2020-08-06T09:23:33Z,2020-08-06T15:13:56Z,Amhara,16,5,1,1,1,Urban,5,20,1,Female,35,Round 4,1,Yes,1,Female,35,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Yes,,,No,Yes,Education and Health,,Employee (Parastatal/Public Enterprise),,No,Casual laborer/I do whatever job that is available,,Yes,,,Public administration (government),,Employee (Government),,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,Yes,Stayed the same,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,Yes,Yes,No,Yes,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,11133.8828125,3
uuid:b4e9927d-5d35-4242-b513-e9c99a4e0495,031605010100105032,031605010100105,2020-08-05T18:46:32Z,2020-08-05T20:14:07Z,Amhara,16,5,1,1,1,Urban,5,32,1,Male,44,Round 4,1,Yes,1,Male,44,Head,Yes,Yes,,,No,Decrease in regular income,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,No,Decrease in regular income,,No,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Yes,,,"Yes, and successfully received the service",Yes,"Personal services (beauty salons, hairdressers, barbers, etc.)",,Casual Worker,,Yes,,,Yes,,,"Personal services (beauty salons, hairdressers, barbers, etc.)",,Casual Worker,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,,Reduced,9 11,No,No,No,No,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,,No,Yes,Yes,No,Yes,No,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,No,Water supply reduced,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,7803.5458984375,3
uuid:4eea9059-4fc9-4ae6-a51c-a19d15992ce6,031605010100105056,031605010100105,2020-08-10T08:50:05Z,2020-08-10T09:41:33Z,Amhara,16,5,1,1,1,Urban,5,56,1,Male,34,Round 4,1,Yes,1,Male,34,Head,Yes,Yes,,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,No,Decrease in regular income,,No,Decrease in regular income,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Construction,,Casual Worker,,Yes,,,Yes,,,Construction,,Casual Worker,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Community does not receive assistance,,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,11133.8828125,3
uuid:ff662ef6-6ab2-471f-ac61-99e263c7dafa,031605010100105068,031605010100105,2020-08-05T19:11:15Z,2020-08-05T20:14:12Z,Amhara,16,5,1,1,1,Urban,5,68,1,Male,30,Round 4,1,Yes,1,Male,30,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,No,,,,No,Yes,Agriculture,,Casual Worker,,Yes,,,Yes,,,Agriculture,,Casual Worker,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,Yes,Yes,Yes,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,7803.5458984375,3
uuid:aa3c39d5-82c9-4d79-9789-a35fbedd8408,031605010100105104,031605010100105,2020-07-27T22:53:12Z,2020-07-28T16:37:17Z,Amhara,16,5,1,1,1,Urban,5,104,1,Male,30,Round 4,1,Yes,1,Male,30,Head,Yes,Yes,,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,No,,,,,,,,,,,,Yes,Yes,,,No,Yes,Agriculture,,Self-Employed,,Yes,,,Yes,,,Agriculture,,Self-Employed,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,No,No,No,No,No,No,No,No,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,No,Yes,No,3,No,No,Yes,No,No,No,No,No,No,No,No,No,,,,,,No,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,7803.5458984375,3
uuid:20c03154-1a80-4943-bb74-63964ba703c9,031605010100105128,031605010100105,2020-08-02T01:36:55Z,2020-08-02T17:50:49Z,Amhara,16,5,1,1,1,Urban,5,128,1,Female,41,Round 4,6,Yes,1,Female,41,Head,Yes,Yes,,,Yes,,,Yes,,,Not Applicable (did not need to buy maize),,,Yes,,,No,,,,,,,,,,,,Yes,No,,,,,,,,,,,Yes,Yes,,,No,Yes,Construction,,Employee (Parastatal/Public Enterprise),,Yes,,,Yes,,,Construction,,Employee (Parastatal/Public Enterprise),,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,Yes,Increased,No,,No,,,Increased,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,No,No,1,No,Yes,No,No,No,No,No,,120,No,Government,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,,,,,,,,,,,,,,No,No,No,No,Yes,Yes,1,Yes,No,No,No,No,Complete Damage,No,Yes,,,Yes,,,No,Increase in price,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,7803.5458984375,3
uuid:30cd61f5-859d-4c2b-a095-cda2e525ce16,031605010100105140,031605010100105,2020-08-05T20:16:17Z,2020-08-05T20:40:32Z,Amhara,16,5,1,1,1,Urban,5,140,1,Male,58,Round 4,1,Yes,1,Male,58,Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,No,No,Seasonal closure,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Total (100%) loss,0,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,Yes,No,No,No,No,No,No,,,,,,,,,,,,,,,,,,,Yes,Yes,"No, does not have a farm",,,,,,,,,,,,,,,,,,,,No,No,No,No,No,,,,,,,,,,Yes,,,Yes,,,Yes,,,No,,,Amharic,Displayed no problems speaking or understanding the language,Very confident,11133.8828125,3
