household_id,ii4_resp_id,phw2,cs4_sector,cs5_eaid,cs6_hhid,cs7_hhh_id,cs1_region,cs2_zoneid,cs3_woredaid,cs3c_cityid,cs3c_subcityid,cs3b_kebeleid,ea_id,cs_startdate,cs_submissiondate,cs7a_hhh_gender,cs7a_hhh_age,cs12_round,ii1_attempt,ii4_resp_same,ii4_resp_gender,ii4_resp_age,ii4_resp_relhhh,bi_same_hhh,ac1_atb_med,ac2_atb_med_why,ac2_atb_med_why_other,ac1_atb_teff,ac2_atb_teff_why,ac2_atb_teff_why_other,ac1_atb_wheat,ac2_atb_wheat_why,ac2_atb_wheat_why_other,ac1_atb_maize,ac2_atb_maize_why,ac2_atb_maize_why_other,ac1_atb_oil,ac2_atb_oil_why,ac2_atb_oil_why_other,ac3_sch_child,ac4_2_edu,ac5_edu_type,ac5_edu_type_1,ac5_edu_type_2,ac5_edu_type_3,ac5_edu_type_4,ac5_edu_type_5,ac5_edu_type__96,ac5_edu_type__98,ac5_edu_type__99,ac5_edu_type_other,ac6_med,ac7_med_access,ac8_med_access_reas,ac8_med_access_reas_other,ac9_bank,em1_work_cur,em6_work_cur_act,em6_work_cur_act_other,em7_work_cur_status,em7_work_cur_status_other,em8_work_cur_same,em9_work_change_why,em9_work_change_why_other,em2_work_pre,em3_work_no_why,em3_work_no_why_other,em4_work_pre_act,em4_work_pre_act_other,em5_work_pre_status,em5_work_pre_status_other,em12_work_cur_able,em13_work_cur_notable_paid,em14_work_cur_notable_why,em14_work_cur_notable_why_other,em15_bus,em15a_bus_prev,em15b_bus_prev_closed,em15b_bus_prev_closed_other,em15c_bus_new,em16_bus_sector,em16_bus_sector_other,em17_bus_inc,em18_bus_inc_low_amt,em19_bus_inc_low_why,em19_bus_inc_low_why_1,em19_bus_inc_low_why_2,em19_bus_inc_low_why_3,em19_bus_inc_low_why_4,em19_bus_inc_low_why_5,em19_bus_inc_low_why_6,em19_bus_inc_low_why_7,em19_bus_inc_low_why__98,em19_bus_inc_low_why__99,em19_bus_inc_low_why__96,em19_bus_inc_low_why_other,em20_farm,em21_farm_norm,em22_farm_norm_why,em22_farm_norm_why_1,em22_farm_norm_why_2,em22_farm_norm_why_3,em22_farm_norm_why_4,em22_farm_norm_why_5,em22_farm_norm_why_6,em22_farm_norm_why_7,em22_farm_norm_why__98,em22_farm_norm_why__99,em22_farm_norm_why__96,em22_farm_norm_why_other,em23_we,em24_we_layoff,em25_we_layoff_covid,lc1_farm,lc2_farm_chg,lc1_bus,lc2_bus_chg,lc1_we,lc2_we_chg,lc1_rem_dom,lc2_rem_dom_chg,lc1_rem_for,lc2_rem_for_chg,lc1_isp,lc2_isp_chg,lc1_pen,lc2_pen_chg,lc1_gov,lc2_gov_chg,lc1_ngo,lc2_ngo_chg,lc1_other,lc1_other_source,lc2_other_chg,lc3_total_chg,lc4_total_chg_cope,lc4_total_chg_cope_1,lc4_total_chg_cope_2,lc4_total_chg_cope_3,lc4_total_chg_cope_4,lc4_total_chg_cope_5,lc4_total_chg_cope_6,lc4_total_chg_cope_7,lc4_total_chg_cope_8,lc4_total_chg_cope_9,lc4_total_chg_cope_10,lc4_total_chg_cope_11,lc4_total_chg_cope_12,lc4_total_chg_cope_13,lc4_total_chg_cope_14,lc4_total_chg_cope_15,lc4_total_chg_cope_0,lc4_total_chg_cope__98,lc4_total_chg_cope__99,lc4_total_chg_cope__96,lc4_total_chg_cope_other,fi1_enough,fi2_healthy,fi3_fewkinds,fi4_skipmeal,fi5_ateless,fi6_noteatfullday,fi7_outoffood,fi8_hungrynoteat,as1_assist_type,as1_assist_type_1,as1_assist_type_2,as1_assist_type_3,as1_assist_type_0,as1_assist_type__98,as1_assist_type__99,as1_assist_type__96,as1_assist_type_other,as3_food_value,as2_food_psnp,as4_food_source,as4_food_source_other,as3_forwork_value_food,as3_forwork_value_cash,as2_forwork_psnp,as4_forwork_source,as4_forwork_source_other,as3_cash_value,as2_cash_psnp,as4_cash_source,as4_cash_source_other,as3_other_value,as2_other_psnp,as4_other_source,as4_other_source_other,ir1_endearly,ir1_whyendearly,ir1_whyendearly_other,ir_lang,ir_understand,ir_confident,key
010102088801010113,1,5314.6689453125,Rural,10,113,1,Tigray,1,2,8,88,10,010102088801010,2020-05-15T11:09:20Z,2020-05-15T13:24:59Z,Female,37,Round 2,2,1,Female,37,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,Yes,Yes,3,No,No,Yes,No,No,No,No,No,,No,,,,No,Yes,Wholesale and retail trade,,Casual Worker,,,,,,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,Yes,Reduced,No,,No,,No,,No,,No,,Yes,Stayed the same,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,No,No,No,Yes,No,3,No,No,Yes,No,No,No,No,,,,,,,,,,,690,Yes,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:0d874c22-e308-4a7e-b145-9bfe56049253
010102088801010148,1,6297.40673828125,Rural,10,148,1,Tigray,1,2,8,88,10,010102088801010,2020-05-15T10:52:32Z,2020-05-15T13:24:44Z,Male,50,Round 2,2,1,Male,50,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,Yes,4,No,No,No,Yes,No,No,No,No,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,Yes,Reduced,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:a8cbf91a-004d-4014-91ed-1e10a2206b8e
010102088801010173,1,8624.6337890625,Rural,10,173,1,Tigray,1,2,8,88,10,010102088801010,2020-05-16T11:39:57Z,2020-05-16T12:02:33Z,Male,70,Round 2,3,1,Male,70,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,Yes,No,,,,,,,,,,,No,,,,No,Yes,Agriculture,,Casual Worker,,,,,,,,,,,,,,,,Yes,,,,Yes,Agriculture,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,Yes,Reduced,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,No,No,No,Yes,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:a1a96e75-7808-4726-be5a-a46904343d6a
010103088800709056,1,5050.42578125,Rural,9,56,1,Tigray,1,3,8,88,7,010103088800709,2020-05-16T09:07:07Z,2020-05-16T11:59:06Z,Male,44,Round 2,2,1,Male,44,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,Yes,4,No,No,No,Yes,No,No,No,No,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,Yes,Yes,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:21c6ece6-5436-4e14-9b51-cf653b370f09
010103088800709072,1,4277.6806640625,Rural,9,72,1,Tigray,1,3,8,88,7,010103088800709,2020-05-15T10:01:37Z,2020-05-15T13:26:28Z,Male,44,Round 2,2,1,Male,44,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,Yes,Yes,4,No,No,No,Yes,No,No,No,No,,No,,,,"Yes, and successfully received the service",Yes,Construction,,Employee (Private Sector),,,,,,,,,,,,Yes,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,11,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,No,No,No,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:ab139b62-6de1-4b72-82ce-64c401dede03
010104010100101028,1,4289.88427734375,Urban,1,28,1,Tigray,1,4,1,1,1,010104010100101,2020-05-23T09:17:26Z,2020-05-23T17:47:31Z,Female,50,Round 2,5,1,Female,50,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Yes,,,Yes,No,,,,,,,,,,,No,,,,"Yes, and successfully received the service",No,,,,,,,,Yes,Temporarily absent,,Agriculture,,Self-Employed,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,Yes,Reduced,No,,,Total (100%) loss,11,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:55c76593-5e7f-4463-b89f-f0de751304fd
010104010100101044,1,6961.61572265625,Urban,1,44,1,Tigray,1,4,1,1,1,010104010100101,2020-06-01T13:27:18Z,2020-06-01T17:48:43Z,Female,25,Round 2,9,1,Female,25,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,,,,,,,,,,,,,No,,,,No,No,,,,,,,,No,,,,,,,,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Total (100%) loss,3 4,No,No,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:6bc81523-9927-445a-b485-8b2d0ad0fe1d
010104010100101060,1,6001.37548828125,Urban,1,60,1,Tigray,1,4,1,1,1,010104010100101,2020-05-21T10:30:46Z,2020-05-21T15:15:03Z,Male,28,Round 2,3,1,Male,28,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Not Applicable (did not need to buy wheat in any form),,,Not Applicable (did not need to buy maize),,,Not Applicable (did not need to buy edible oil),,,,,,,,,,,,,,,No,,,,No,Yes,"Personal services (beauty salons, hairdressers, barbers, etc.)",,Self-Employed,,,,,,,,,,,,,,,,No,No,Seasonal closure,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,No,No,No,No,No,No,No,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:304534b1-4ec0-4eb1-b35e-b55a8a3eebeb
010104010100101076,1,6961.61572265625,Urban,1,76,1,Tigray,1,4,1,1,1,010104010100101,2020-05-29T09:38:01Z,2020-05-29T18:57:24Z,Female,42,Round 2,1,1,Female,42,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Not Applicable (did not need to buy teff or injera),,,Yes,,,Yes,,,Yes,,,Yes,No,,,,,,,,,,,No,,,,No,Yes,Wholesale and retail trade,,Self-Employed,,Yes,,,,,,,,,,,,,,No,No,No customers,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,Yes,Stayed the same,No,,No,,No,,No,,No,,No,,No,,No,,,Stayed the same,,,,,,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:266e8905-c5a4-49eb-a46d-c23c6213bc3f
010104010100101108,1,3645.832275390625,Urban,1,108,1,Tigray,1,4,1,1,1,010104010100101,2020-05-19T09:59:55Z,2020-05-19T18:13:34Z,Male,20,Round 2,2,1,Male,20,1. Head,Yes,Not Applicable (did not need to buy medicine),,,Yes,,,Not Applicable (did not need to buy wheat in any form),,,Yes,,,Yes,,,Yes,No,,,,,,,,,,,No,,,,No,Yes,"Restaurants, hotels, bars, cafes",,Employee (Private Sector),,,,,,,,,,,,Yes,,,,No,,,,No,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,No,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,Reduced,0,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,,Yes,Yes,No,No,No,No,Yes,No,0,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,,,,,No,,,Tigrinya,Displayed no problems speaking or understanding the language,Very confident,uuid:b2166a58-8fa5-4895-a9be-cefb9ea6cbab
