ea_id,event_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs7q00,cs7q01_a,cs7q01_b,cs7q01_b_os,cs7q02,cs7q03
010501088800902,1,1. RURAL,1. TIGRAY,05,01,8,88,009,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,á‹¨á‹‹áŒ‹ áŒáˆ½á‰ á‰µ,7. Sharp Change in Prices,,2011,100
010502020100102,1,2. URBAN,1. TIGRAY,05,02,2,1,001,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yagerita poletika huneta 11,7. Sharp Change in Prices,,2010,10
010502020100102,2,2. URBAN,1. TIGRAY,05,02,2,1,001,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,Menged gnbata 15,15. New Road,,2010,25
010503088800803,1,1. RURAL,1. TIGRAY,05,03,8,88,008,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,srk ena zeregnnet. yetenesaw gchit agatmo neber,11. Other Bad (Specify),sew sraw lay aywlm betu new miwlew,2011,50
010601010100215,1,2. URBAN,1. TIGRAY,06,01,1,1,002,15,2. EVENTS THAT MADE PEOPLE BETTER OFF,yewaga gishbet,19. PSNP,,2010,15
010601010100215,2,2. URBAN,1. TIGRAY,06,01,1,1,002,15,2. EVENTS THAT MADE PEOPLE BETTER OFF,tru yestetita comotte akakumowal,17. Improved Transportation Services,,2011,10
010602010100216,1,2. URBAN,1. TIGRAY,06,02,1,1,002,16,1. EVENTS THAT MADE PEOPLE WORSE OFF,07,7. Sharp Change in Prices,,2009,75
010602010100216,2,2. URBAN,1. TIGRAY,06,02,1,1,002,16,1. EVENTS THAT MADE PEOPLE WORSE OFF,09,9. Massive Job Lay-offs,,2010,11
010602010100216,3,2. URBAN,1. TIGRAY,06,02,1,1,002,16,1. EVENTS THAT MADE PEOPLE WORSE OFF,10,10. Power Outage(s),,2011,86
010602010100216,4,2. URBAN,1. TIGRAY,06,02,1,1,002,16,2. EVENTS THAT MADE PEOPLE BETTER OFF,13,13. New Employment Oppurtunity,,2009,5
010602010100216,5,2. URBAN,1. TIGRAY,06,02,1,1,002,16,2. EVENTS THAT MADE PEOPLE BETTER OFF,19,19. PSNP,,2011,8
010602010100216,6,2. URBAN,1. TIGRAY,06,02,1,1,002,16,2. EVENTS THAT MADE PEOPLE BETTER OFF,15,15. New Road,,2009,89
010604010100137,1,2. URBAN,1. TIGRAY,06,04,1,1,001,37,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yewaga nret,7. Sharp Change in Prices,,2009,70
010604010100137,2,2. URBAN,1. TIGRAY,06,04,1,1,001,37,1. EVENTS THAT MADE PEOPLE WORSE OFF,bat kiray,11. Other Bad (Specify),bat kiray,2009,80
010604010100137,3,2. URBAN,1. TIGRAY,06,04,1,1,001,37,1. EVENTS THAT MADE PEOPLE WORSE OFF,mebra,10. Power Outage(s),,2011,100
010604010100137,4,2. URBAN,1. TIGRAY,06,04,1,1,001,37,2. EVENTS THAT MADE PEOPLE BETTER OFF,menged,15. New Road,,2009,100
010605010100313,1,2. URBAN,1. TIGRAY,06,05,1,1,003,13,1. EVENTS THAT MADE PEOPLE WORSE OFF,yenuro wdnet,7. Sharp Change in Prices,,2010,75
010605010100313,2,2. URBAN,1. TIGRAY,06,05,1,1,003,13,2. EVENTS THAT MADE PEOPLE BETTER OFF,Transport,15. New Road,,2009,100
010605010100313,3,2. URBAN,1. TIGRAY,06,05,1,1,003,13,2. EVENTS THAT MADE PEOPLE BETTER OFF,electric,18. Improved Electricity,,2010,100
010606010100423,1,2. URBAN,1. TIGRAY,06,06,1,1,004,23,1. EVENTS THAT MADE PEOPLE WORSE OFF,gorf,2. Flood,,2010,45
010606010100423,2,2. URBAN,1. TIGRAY,06,06,1,1,004,23,1. EVENTS THAT MADE PEOPLE WORSE OFF,nuro wdnet,7. Sharp Change in Prices,,2009,95
010606010100423,3,2. URBAN,1. TIGRAY,06,06,1,1,004,23,1. EVENTS THAT MADE PEOPLE WORSE OFF,hayl mekoraret,10. Power Outage(s),,2011,100
010606010100423,4,2. URBAN,1. TIGRAY,06,06,1,1,004,23,1. EVENTS THAT MADE PEOPLE WORSE OFF,bet kiray,11. Other Bad (Specify),bet kiray,2010,50
010606010100423,5,2. URBAN,1. TIGRAY,06,06,1,1,004,23,2. EVENTS THAT MADE PEOPLE BETTER OFF,menged,15. New Road,,2009,25
010606010100423,6,2. URBAN,1. TIGRAY,06,06,1,1,004,23,2. EVENTS THAT MADE PEOPLE BETTER OFF,mebrat,18. Improved Electricity,,2010,100
010701088802004,1,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,dirki/01,1. Drought,,2010,25
010701088802004,2,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,gorfi/02,2. Flood,,2011,5
010701088802004,3,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yesebil beshita/03,3. Crop Disease/Pests,,2010,20
010701088802004,4,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yebet ensisat beshita/04,4. Livestock Disease,,2010,20
010701088802004,5,1. RURAL,1. TIGRAY,07,01,8,88,020,04,2. EVENTS THAT MADE PEOPLE BETTER OFF,yelimat project mezergat/12,12. Development Project,,2010,5
010701088802004,6,1. RURAL,1. TIGRAY,07,01,8,88,020,04,2. EVENTS THAT MADE PEOPLE BETTER OFF,yesefitinet progra/19,19. PSNP,,2010,50
010702088801409,1,1. RURAL,1. TIGRAY,07,02,8,88,014,09,2. EVENTS THAT MADE PEOPLE BETTER OFF,meserete limat zirgata,12. Development Project,,2010,25
010703088801107,1,1. RURAL,1. TIGRAY,07,03,8,88,011,07,1. EVENTS THAT MADE PEOPLE WORSE OFF,2,11. Other Bad (Specify),yemiteta wuha akiribot matat,2010,80
010703088801107,2,1. RURAL,1. TIGRAY,07,03,8,88,011,07,2. EVENTS THAT MADE PEOPLE BETTER OFF,3,16. New School,,2009,80
020101010100104,1,2. URBAN,2. AFAR,01,01,1,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga nret,7. Sharp Change in Prices,,2011,50
020101010100104,2,2. URBAN,2. AFAR,01,01,1,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,electric mekuaret,10. Power Outage(s),,2011,100
020108088800804,1,1. RURAL,2. AFAR,01,08,8,88,008,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,awash gorf yakababiwun yer bet esesat wesdobnal,2. Flood,,2011,20
020201088800301,1,1. RURAL,2. AFAR,02,01,8,88,003,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,derk,1. Drought,,2010,75
020201088800301,2,1. RURAL,2. AFAR,02,01,8,88,003,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yebet Ensesat Besheta,4. Livestock Disease,,2010,95
020201088800301,3,1. RURAL,2. AFAR,02,01,8,88,003,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,Gorf,2. Flood,,2009,25
020202088800202,1,1. RURAL,2. AFAR,02,02,8,88,002,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yteftro Adega,11. Other Bad (Specify),Mebrek,2010,10
020202088800202,2,1. RURAL,2. AFAR,02,02,8,88,002,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,gorfe,2. Flood,,2010,66
020202088800202,3,1. RURAL,2. AFAR,02,02,8,88,002,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,Derke,1. Drought,,2010,66
020202088800202,4,1. RURAL,2. AFAR,02,02,8,88,002,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,Seftnet menor,19. PSNP,,2010,15
020203010100206,1,2. URBAN,2. AFAR,02,03,1,1,002,06,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga gesbet,7. Sharp Change in Prices,,2010,66
020203088800202,1,1. RURAL,2. AFAR,02,03,8,88,002,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,Derk,1. Drought,,2010,33
020203088800202,2,1. RURAL,2. AFAR,02,03,8,88,002,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yegebyawaga Neret,7. Sharp Change in Prices,,2011,50
020203088800905,1,1. RURAL,2. AFAR,02,03,8,88,009,05,1. EVENTS THAT MADE PEOPLE WORSE OFF,yebet ensesat mot,4. Livestock Disease,,2011,20
020203088800905,2,1. RURAL,2. AFAR,02,03,8,88,009,05,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga gishbet,7. Sharp Change in Prices,,2011,100
020205088800207,1,1. RURAL,2. AFAR,02,05,8,88,002,07,1. EVENTS THAT MADE PEOPLE WORSE OFF,Derk,1. Drought,,2010,33
020205088800207,2,1. RURAL,2. AFAR,02,05,8,88,002,07,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yewga gesbet,7. Sharp Change in Prices,,2010,10
020205088800207,3,1. RURAL,2. AFAR,02,05,8,88,002,07,1. EVENTS THAT MADE PEOPLE WORSE OFF,Besheta,4. Livestock Disease,,2010,10
020205088800207,4,1. RURAL,2. AFAR,02,05,8,88,002,07,2. EVENTS THAT MADE PEOPLE BETTER OFF,Seftnet Menor,19. PSNP,,2011,46
020205088800207,5,1. RURAL,2. AFAR,02,05,8,88,002,07,2. EVENTS THAT MADE PEOPLE BETTER OFF,Kedergeterdata magnet,12. Development Project,,2010,25
020205088800715,1,1. RURAL,2. AFAR,02,05,8,88,007,15,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewaga niret,7. Sharp Change in Prices,,2011,100
020206088800113,1,1. RURAL,2. AFAR,02,06,8,88,001,13,1. EVENTS THAT MADE PEOPLE WORSE OFF,Derk,1. Drought,,2010,25
020206088800113,2,1. RURAL,2. AFAR,02,06,8,88,001,13,1. EVENTS THAT MADE PEOPLE WORSE OFF,Gorfe,2. Flood,,2010,33
020206088800113,3,1. RURAL,2. AFAR,02,06,8,88,001,13,2. EVENTS THAT MADE PEOPLE BETTER OFF,ymenged genbata,15. New Road,,2011,100
020301088800303,1,1. RURAL,2. AFAR,03,01,8,88,003,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,01 ; 02 ; 04 ; 05,1. Drought,,2010,30
020301088800303,2,1. RURAL,2. AFAR,03,01,8,88,003,03,2. EVENTS THAT MADE PEOPLE BETTER OFF,16 ; 19 ; 13,16. New School,,2011,80
020303020100103,1,2. URBAN,2. AFAR,03,03,2,1,001,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,Gchit,11. Other Bad (Specify),Gchit,2011,10
020304088800703,1,1. RURAL,2. AFAR,03,04,8,88,007,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,Dirk,1. Drought,,2010,30
020401088800602,1,1. RURAL,2. AFAR,04,01,8,88,006,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,nuro wudinet,7. Sharp Change in Prices,,2010,50
020403010100102,1,2. URBAN,2. AFAR,04,03,1,1,001,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,derk,1. Drought,,2011,66
020403010100102,2,2. URBAN,2. AFAR,04,03,1,1,001,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,Esat Adega,11. Other Bad (Specify),Esat Adega,2011,20
020502088800303,1,1. RURAL,2. AFAR,05,02,8,88,003,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,derke,1. Drought,,2010,85
030106088801805,1,1. RURAL,3. AMHARA,01,06,8,88,018,05,1. EVENTS THAT MADE PEOPLE WORSE OFF,Beredo.  Gorif,2. Flood,,2010,50
030202088802410,1,1. RURAL,3. AMHARA,02,02,8,88,024,10,2. EVENTS THAT MADE PEOPLE BETTER OFF,Mesino Limat,12. Development Project,,2011,50
030202088802410,2,1. RURAL,3. AMHARA,02,02,8,88,024,10,2. EVENTS THAT MADE PEOPLE BETTER OFF,EnsisatMadileb,12. Development Project,,2011,50
030202088802410,3,1. RURAL,3. AMHARA,02,02,8,88,024,10,2. EVENTS THAT MADE PEOPLE BETTER OFF,SebilLimat,12. Development Project,,2011,50
030206088800908,1,1. RURAL,3. AMHARA,02,06,8,88,009,08,1. EVENTS THAT MADE PEOPLE WORSE OFF,wekitun yalitebeke zinab,11. Other Bad (Specify),wikitun yalitebek zinab,2010,95
030206088800908,2,1. RURAL,3. AMHARA,02,06,8,88,009,08,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yewaga  geshebet,7. Sharp Change in Prices,,2009,100
030206088800908,3,1. RURAL,3. AMHARA,02,06,8,88,009,08,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yerse  berse gechet,6. Displacement Related Development Activities,,2010,3
030206088800908,4,1. RURAL,3. AMHARA,02,06,8,88,009,08,2. EVENTS THAT MADE PEOPLE BETTER OFF,Migib Lesira Menor,19. PSNP,,2010,50
030206088800908,5,1. RURAL,3. AMHARA,02,06,8,88,009,08,2. EVENTS THAT MADE PEOPLE BETTER OFF,Madaberia Akirbot Menor,20. Other Good (Specify),Madaberia Akirbot Menor,2010,50
030206088800908,6,1. RURAL,3. AMHARA,02,06,8,88,009,08,2. EVENTS THAT MADE PEOPLE BETTER OFF,Mirt Zer Akirbot Menor,20. Other Good (Specify),Mirt Zer Akirbot Menor,2010,50
030209088803514,1,1. RURAL,3. AMHARA,02,09,8,88,035,14,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yemelkam Astedader Chigir,11. Other Bad (Specify),Yemelkam Asitedader chigir,2010,10
030209088803514,2,1. RURAL,3. AMHARA,02,09,8,88,035,14,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yegebia Alemeregagat,7. Sharp Change in Prices,,2011,10
030209088803514,3,1. RURAL,3. AMHARA,02,09,8,88,035,14,2. EVENTS THAT MADE PEOPLE BETTER OFF,Madaberia Akirbot Menor,20. Other Good (Specify),Yemadaberia Akirbot Menor,2011,85
030209088803514,4,1. RURAL,3. AMHARA,02,09,8,88,035,14,2. EVENTS THAT MADE PEOPLE BETTER OFF,MrtzerAkirbot Menor,20. Other Good (Specify),Mirt Zer Akirbot Menor,2011,50
030214020100104,1,2. URBAN,3. AMHARA,02,14,2,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yesragebermebzat,7. Sharp Change in Prices,,2010,50
030214020100104,2,2. URBAN,3. AMHARA,02,14,2,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yewagamenar,7. Sharp Change in Prices,,2010,50
030214020100104,3,2. URBAN,3. AMHARA,02,14,2,1,001,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,yegebermebzat,7. Sharp Change in Prices,,2010,50
030214020100104,4,2. URBAN,3. AMHARA,02,14,2,1,001,04,2. EVENTS THAT MADE PEOPLE BETTER OFF,Adadis yesraedilmefter,13. New Employment Oppurtunity,,2010,30
030303088800803,1,1. RURAL,3. AMHARA,03,03,8,88,008,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,Gorfe,11. Other Bad (Specify),á‰ áˆ¨á‹¶,2010,15
030303088800803,2,1. RURAL,3. AMHARA,03,03,8,88,008,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,Waga Geshebte,7. Sharp Change in Prices,,2011,100
030303088800803,3,1. RURAL,3. AMHARA,03,03,8,88,008,03,2. EVENTS THAT MADE PEOPLE BETTER OFF,Mengade  Sera,15. New Road,,2011,100
030307088802601,1,1. RURAL,3. AMHARA,03,07,8,88,026,01,2. EVENTS THAT MADE PEOPLE BETTER OFF,Mengde gebata,15. New Road,,2010,25
030309010100310,1,2. URBAN,3. AMHARA,03,09,1,1,003,10,1. EVENTS THAT MADE PEOPLE WORSE OFF,yenuro wudinet,7. Sharp Change in Prices,,2010,80
030401088801512,1,1. RURAL,3. AMHARA,04,01,8,88,015,12,1. EVENTS THAT MADE PEOPLE WORSE OFF,waga gishbet,7. Sharp Change in Prices,,2011,75
030401088801512,2,1. RURAL,3. AMHARA,04,01,8,88,015,12,2. EVENTS THAT MADE PEOPLE BETTER OFF,Psnp,19. PSNP,,2009,20
030404088801907,1,1. RURAL,3. AMHARA,04,04,8,88,019,07,1. EVENTS THAT MADE PEOPLE WORSE OFF,Goref,2. Flood,,2010,75
030404088801907,2,1. RURAL,3. AMHARA,04,04,8,88,019,07,1. EVENTS THAT MADE PEOPLE WORSE OFF,Sebel Belshet,3. Crop Disease/Pests,,2010,75
030404088801907,3,1. RURAL,3. AMHARA,04,04,8,88,019,07,2. EVENTS THAT MADE PEOPLE BETTER OFF,Mengad,15. New Road,,2010,80
030404088801907,4,1. RURAL,3. AMHARA,04,04,8,88,019,07,2. EVENTS THAT MADE PEOPLE BETTER OFF,Seftenat,19. PSNP,,2010,30
030412088800503,1,1. RURAL,3. AMHARA,04,12,8,88,005,03,1. EVENTS THAT MADE PEOPLE WORSE OFF,Beredo,11. Other Bad (Specify),Beredo,2010,15
030412088800503,2,1. RURAL,3. AMHARA,04,12,8,88,005,03,2. EVENTS THAT MADE PEOPLE BETTER OFF,Bihrzaf chiych,19. PSNP,,2009,20
030416088801301,1,1. RURAL,3. AMHARA,04,16,8,88,013,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,Gorf,2. Flood,,2010,8
030416088801301,2,1. RURAL,3. AMHARA,04,16,8,88,013,01,2. EVENTS THAT MADE PEOPLE BETTER OFF,Safety net program,19. PSNP,,2010,1
030421010100402,1,2. URBAN,3. AMHARA,04,21,1,1,004,02,1. EVENTS THAT MADE PEOPLE WORSE OFF,mebrat.   wha,10. Power Outage(s),,2009,100
030505088800505,1,1. RURAL,3. AMHARA,05,05,8,88,005,05,1. EVENTS THAT MADE PEOPLE WORSE OFF,yiwga gishbet,7. Sharp Change in Prices,,2011,60
030505088800505,2,1. RURAL,3. AMHARA,05,05,8,88,005,05,2. EVENTS THAT MADE PEOPLE BETTER OFF,yegeberwoch gebi mechemer,19. PSNP,,2010,33
030519088801304,1,1. RURAL,3. AMHARA,05,19,8,88,013,04,1. EVENTS THAT MADE PEOPLE WORSE OFF,Yiwaga gishbet,7. Sharp Change in Prices,,2010,10
030526010100201,1,2. URBAN,3. AMHARA,05,26,1,1,002,01,1. EVENTS THAT MADE PEOPLE WORSE OFF,yiwaga gishbet,7. Sharp Change in Prices,,2011,100
030606088800202,1,1. RURAL,3. AMHARA,06,06,8,88,002,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,Mengede tegenae,17. Improved Transportation Services,,2010,75
030606088800202,2,1. RURAL,3. AMHARA,06,06,8,88,002,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,Andegna derga school tegena,16. New School,,2010,80
030606088800202,3,1. RURAL,3. AMHARA,06,06,8,88,002,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,Tefetero habte Dene afere malemate,12. Development Project,,2010,95
030606088800202,4,1. RURAL,3. AMHARA,06,06,8,88,002,02,2. EVENTS THAT MADE PEOPLE BETTER OFF,Yegebrena extention sera,12. Development Project,,2010,75
030610010100110,1,2. URBAN,3. AMHARA,06,10,1,1,001,10,1. EVENTS THAT MADE PEOPLE WORSE OFF,03,7. Sharp Change in Prices,,2010,20
030610010100110,2,2. URBAN,3. AMHARA,06,10,1,1,001,10,1. EVENTS THAT MADE PEOPLE WORSE OFF,07,7. Sharp Change in Prices,,2010,80
