ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs3q01,cs3q02,cs3q03,cs3q04a,cs3q04a_os,cs3q04b,cs3q04c,cs3q04c_os,cs3q04d,cs3q04e,cs3q04e_os,cs3q04f,cs3q06,cs3q07,cs3q07_os,cs3q08,cs3q09,cs3q10,cs3q11,cs3q11a,cs3q11b,cs3q12a_1,cs3q12b_1,cs3q12a_2,cs3q12b_2,cs3q12a_3,cs3q12b_3
010209010100218,2. URBAN,1. TIGRAY,02,09,1,1,002,18,1. More moved in,45000,16880,1. Orthodox,,16380,4. Muslim,,500,,,,0,3. Planned Housing,,1. Flat,0,0,2,2. NO,,2. Municipality,65,3. Religious,25,1. Traditional,10
010210088801507,1. RURAL,1. TIGRAY,02,10,8,88,015,07,1. More moved in,5173,923,1. Orthodox,,923,,,,,,,0,2. Farming,,1. Flat,30,50,25,1. YES,12,1. Traditional,90,,,,
010211010100302,2. URBAN,1. TIGRAY,02,11,1,1,003,02,3. About the same of both,9190,2196,1. Orthodox,,1665,4. Muslim,,529,3. Protestant,,2,2,3. Planned Housing,,3. Moderately Sloping,15,0,10,2. NO,,1. Traditional,85,3. Religious,10,2. Municipality,5
010212010100510,2. URBAN,1. TIGRAY,02,12,1,1,005,10,1. More moved in,2441,570,1. Orthodox,,550,4. Muslim,,20,,,,0,3. Planned Housing,,1. Flat,0,0,1,1. YES,2,2. Municipality,75,1. Traditional,15,3. Religious,10
010302088800603,1. RURAL,1. TIGRAY,03,02,8,88,006,03,2. More moved out,5430,3720,2. Catholic,,1740,1. Orthodox,,699,4. Muslim,,20,7,2. Farming,,4. Steeply Sloping,75,0,5,1. YES,16,3. Religious,80,,,,
010303088802005,1. RURAL,1. TIGRAY,03,03,8,88,020,05,2. More moved out,3689,804,1. Orthodox,,804,,,,,,,2,2. Farming,,2. Slightly Sloping,30,0,1,1. YES,14,2. Municipality,80,,,,
010304088801407,1. RURAL,1. TIGRAY,03,04,8,88,014,07,4. Neither arrivals nor departures,4165,868,1. Orthodox,,868,,,,,,,0,2. Farming,,3. Moderately Sloping,25,0,35,2. NO,,1. Traditional,65,3. Religious,35,,
010305088801602,1. RURAL,1. TIGRAY,03,05,8,88,016,02,2. More moved out,3366,761,1. Orthodox,,761,,,,,,,0,2. Farming,,1. Flat,15,0,60,1. YES,1,1. Traditional,80,3. Religious,20,,
010306010100104,2. URBAN,1. TIGRAY,03,06,1,1,001,04,1. More moved in,20300,5000,1. Orthodox,,3500,4. Muslim,,1500,,,,3,3. Planned Housing,,1. Flat,0,0,12,2. NO,,2. Municipality,85,,,,
010306088801803,1. RURAL,1. TIGRAY,03,06,8,88,018,03,2. More moved out,7575,1378,1. Orthodox,,1371,4. Muslim,,7,,,,0,2. Farming,,5. Both Flat & Hilly,35,60,5,1. YES,4,1. Traditional,99,,,,
010307088801303,1. RURAL,1. TIGRAY,03,07,8,88,013,03,1. More moved in,5410,1231,1. Orthodox,,1231,,,,,,,5,2. Farming,,3. Moderately Sloping,0,0,0,1. YES,15,1. Traditional,90,3. Religious,10,,
010308010100402,2. URBAN,1. TIGRAY,03,08,1,1,004,02,1. More moved in,14410,4238,1. Orthodox,,3602,2. Catholic,,423,4. Muslim,,212,0,3. Planned Housing,,1. Flat,0,0,0,2. NO,,2. Municipality,75,,,,
010309010100311,2. URBAN,1. TIGRAY,03,09,1,1,003,11,4. Neither arrivals nor departures,13539,3077,1. Orthodox,,3016,4. Muslim,,61,,,,0,3. Planned Housing,,1. Flat,0,0,0,2. NO,,2. Municipality,99,3. Religious,1,,
010401088800209,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. More moved in,13596,2770,1. Orthodox,,2770,,,,,,,0,2. Farming,,4. Steeply Sloping,2,0,3,1. YES,100,1. Traditional,60,2. Municipality,40,,
010401088801804,1. RURAL,1. TIGRAY,04,01,8,88,018,04,2. More moved out,9545,2200,1. Orthodox,,2150,4. Muslim,,50,,,,0,2. Farming,,2. Slightly Sloping,10,0,8,1. YES,350,1. Traditional,80,3. Religious,20,,
010403088800201,1. RURAL,1. TIGRAY,04,03,8,88,002,01,2. More moved out,7578,1362,1. Orthodox,,1362,,,,,,,0,1. Pasture,,2. Slightly Sloping,30,0,45,1. YES,20,1. Traditional,70,3. Religious,30,,
010403088801801,1. RURAL,1. TIGRAY,04,03,8,88,018,01,2. More moved out,8629,2046,1. Orthodox,,1630,4. Muslim,,401,8. Other (Specify),ayhud,15,0,2. Farming,,1. Flat,15,4,7,1. YES,300,1. Traditional,90,3. Religious,10,,
010405010100123,2. URBAN,1. TIGRAY,04,05,1,1,001,23,1. More moved in,12450,2340,1. Orthodox,,1650,4. Muslim,,690,,,,2,2. Farming,,1. Flat,3,1,2,1. YES,5,3. Religious,75,1. Traditional,10,2. Municipality,15
010405088800102,1. RURAL,1. TIGRAY,04,05,8,88,001,02,2. More moved out,5442,1356,1. Orthodox,,1352,4. Muslim,,4,,,,0,2. Farming,,5. Both Flat & Hilly,22,0,9,1. YES,15,1. Traditional,80,3. Religious,20,,
010408010100204,2. URBAN,1. TIGRAY,04,08,1,1,002,04,1. More moved in,10279,2160,1. Orthodox,,1620,4. Muslim,,540,,,,1,3. Planned Housing,,1. Flat,0,0,0,2. NO,,1. Traditional,80,3. Religious,50,2. Municipality,25
010501088800902,1. RURAL,1. TIGRAY,05,01,8,88,009,02,1. More moved in,698,233,1. Orthodox,,231,4. Muslim,,2,,,,1,2. Farming,,5. Both Flat & Hilly,95,0,1,2. NO,,1. Traditional,100,,,,
010502020100102,2. URBAN,1. TIGRAY,05,02,2,1,001,02,3. About the same of both,6034,1312,1. Orthodox,,1115,4. Muslim,,196,,,,0,3. Planned Housing,,5. Both Flat & Hilly,5,0,0,2. NO,,1. Traditional,86,2. Municipality,14,,
010502088801410,1. RURAL,1. TIGRAY,05,02,8,88,014,10,2. More moved out,3000,1800,1. Orthodox,,1800,,,,,,,1,2. Farming,,2. Slightly Sloping,10,0,1,2. NO,,1. Traditional,1,2. Municipality,99,,
010503088800803,1. RURAL,1. TIGRAY,05,03,8,88,008,03,1. More moved in,1500,500,1. Orthodox,,500,,,,,,,5,2. Farming,,5. Both Flat & Hilly,25,0,0,2. NO,,1. Traditional,5,2. Municipality,95,,
010601010100215,2. URBAN,1. TIGRAY,06,01,1,1,002,15,1. More moved in,27000,5000,1. Orthodox,,3750,4. Muslim,,1000,3. Protestant,,250,2,3. Planned Housing,,1. Flat,0,15,0,1. YES,3,2. Municipality,50,,,,
010602010100216,2. URBAN,1. TIGRAY,06,02,1,1,002,16,3. About the same of both,13123,3216,1. Orthodox,,2572,4. Muslim,,321,2. Catholic,,321,2,3. Planned Housing,,1. Flat,0,0,0,2. NO,,2. Municipality,50,1. Traditional,30,3. Religious,20
010604010100137,2. URBAN,1. TIGRAY,06,04,1,1,001,37,1. More moved in,50000,16000,1. Orthodox,,12800,4. Muslim,,2880,2. Catholic,,320,0,3. Planned Housing,,1. Flat,0,0,0,2. NO,,1. Traditional,30,2. Municipality,50,3. Religious,20
010605010100313,2. URBAN,1. TIGRAY,06,05,1,1,003,13,1. More moved in,20578,4677,1. Orthodox,,4651,4. Muslim,,20,2. Catholic,,2,0,3. Planned Housing,,3. Moderately Sloping,0,0,0,2. NO,,1. Traditional,20,2. Municipality,40,3. Religious,20
010606010100423,2. URBAN,1. TIGRAY,06,06,1,1,004,23,1. More moved in,35000,4000,1. Orthodox,,3500,2. Catholic,,250,3. Protestant,,250,0,3. Planned Housing,,3. Moderately Sloping,0,0,0,2. NO,,1. Traditional,12,2. Municipality,75,3. Religious,13
010701088802004,1. RURAL,1. TIGRAY,07,01,8,88,020,04,3. About the same of both,2500,650,1. Orthodox,,650,,,,,,,5,4. Squatter Settlement,,2. Slightly Sloping,25,0,10,1. YES,25,1. Traditional,95,3. Religious,5,,
010702010100112,2. URBAN,1. TIGRAY,07,02,1,1,001,12,1. More moved in,26331,3480,1. Orthodox,,3100,4. Muslim,,380,,,,0,6. Shops or Trade,,1. Flat,0,0,0,2. NO,,1. Traditional,75,,,,
010702088801409,1. RURAL,1. TIGRAY,07,02,8,88,014,09,3. About the same of both,7425,5412,1. Orthodox,,5412,,,,,,,4,2. Farming,,5. Both Flat & Hilly,20,0,20,1. YES,17,1. Traditional,95,3. Religious,3,,
010703088801107,1. RURAL,1. TIGRAY,07,03,8,88,011,07,1. More moved in,11000,3500,1. Orthodox,,3470,4. Muslim,,3,,,,0,2. Farming,,5. Both Flat & Hilly,50,35,10,1. YES,50,1. Traditional,75,,,,
010704088800402,1. RURAL,1. TIGRAY,07,04,8,88,004,02,4. Neither arrivals nor departures,14000,9320,1. Orthodox,,9320,,,,,,,5,2. Farming,,5. Both Flat & Hilly,20,5,5,1. YES,2,1. Traditional,85,3. Religious,10,,
020101010100104,2. URBAN,2. AFAR,01,01,1,1,001,04,4. Neither arrivals nor departures,63000,10600,4. Muslim,,8000,1. Orthodox,,2200,3. Protestant,,400,40,3. Planned Housing,,1. Flat,0,0,0,2. NO,,3. Religious,50,1. Traditional,30,2. Municipality,20
020101088800704,1. RURAL,2. AFAR,01,01,8,88,007,04,4. Neither arrivals nor departures,8000,1200,4. Muslim,,1200,,,,,,,40,2. Farming,,1. Flat,20,50,20,2. NO,,1. Traditional,100,,,,
020102010100103,2. URBAN,2. AFAR,01,02,1,1,001,03,1. More moved in,2500,1400,4. Muslim,,1200,1. Orthodox,,200,,,,30,3. Planned Housing,,1. Flat,1,0,0,2. NO,,1. Traditional,90,,,,
020103088800401,1. RURAL,2. AFAR,01,03,8,88,004,01,4. Neither arrivals nor departures,7850,1310,4. Muslim,,1310,,,,,,,50,2. Farming,,1. Flat,20,60,20,2. NO,,1. Traditional,100,,,,
020103088801102,1. RURAL,2. AFAR,01,03,8,88,011,02,2. More moved out,4500,920,4. Muslim,,920,,,,,,,13,1. Pasture,,1. Flat,60,0,30,2. NO,,1. Traditional,80,,,,
020106010100102,2. URBAN,2. AFAR,01,06,1,1,001,02,4. Neither arrivals nor departures,14447,5624,4. Muslim,,1083,1. Orthodox,,3612,,,,30,6. Shops or Trade,,1. Flat,0,0,20,2. NO,,1. Traditional,100,,,,
020106088801201,1. RURAL,2. AFAR,01,06,8,88,012,01,4. Neither arrivals nor departures,6765,1127,4. Muslim,,1127,,,,,,,30,1. Pasture,,1. Flat,70,0,30,2. NO,,1. Traditional,100,,,,
020108088800804,1. RURAL,2. AFAR,01,08,8,88,008,04,2. More moved out,5000,2200,4. Muslim,,2200,,,,,,,20,1. Pasture,,1. Flat,60,0,50,2. NO,,1. Traditional,90,,,,
020201088800301,1. RURAL,2. AFAR,02,01,8,88,003,01,3. About the same of both,4000,2000,4. Muslim,,1985,1. Orthodox,,15,,,,75,1. Pasture,,4. Steeply Sloping,0,0,0,2. NO,,1. Traditional,100,,,,
020202020100102,2. URBAN,2. AFAR,02,02,2,1,001,02,2. More moved out,8500,2200,4. Muslim,,1800,1. Orthodox,,400,,,,15,1. Pasture,,2. Slightly Sloping,5,0,0,1. YES,10,1. Traditional,100,,,,
020202088800202,1. RURAL,2. AFAR,02,02,8,88,002,02,1. More moved in,6000,2000,4. Muslim,,5,1. Orthodox,,15,,,,33,4. Squatter Settlement,,4. Steeply Sloping,0,2,0,2. NO,,3. Religious,100,,,,
020203010100206,2. URBAN,2. AFAR,02,03,1,1,002,06,1. More moved in,11000,796,4. Muslim,,775,1. Orthodox,,21,,,,25,3. Planned Housing,,2. Slightly Sloping,0,20,0,2. NO,,3. Religious,100,,,,
020203088800202,1. RURAL,2. AFAR,02,03,8,88,002,02,2. More moved out,6521,425,4. Muslim,,400,1. Orthodox,,25,,,,25,1. Pasture,,3. Moderately Sloping,0,0,0,2. NO,,3. Religious,100,,,,
020203088800905,1. RURAL,2. AFAR,02,03,8,88,009,05,3. About the same of both,6000,2500,4. Muslim,,2500,,,,,,,10,1. Pasture,,1. Flat,25,0,0,2. NO,,1. Traditional,100,,,,
020205088800207,1. RURAL,2. AFAR,02,05,8,88,002,07,2. More moved out,8107,2462,4. Muslim,,4,1. Orthodox,,4,,,,10,4. Squatter Settlement,,4. Steeply Sloping,0,0,5,2. NO,,3. Religious,100,,,,
020205088800715,1. RURAL,2. AFAR,02,05,8,88,007,15,2. More moved out,18000,4500,4. Muslim,,4400,1. Orthodox,,100,,,,5,1. Pasture,,2. Slightly Sloping,30,0,50,2. NO,,1. Traditional,100,,,,
020206088800113,1. RURAL,2. AFAR,02,06,8,88,001,13,2. More moved out,17130,6645,4. Muslim,,6605,1. Orthodox,,40,,,,35,1. Pasture,,4. Steeply Sloping,0,20,0,2. NO,,3. Religious,100,,,,
020206088800803,1. RURAL,2. AFAR,02,06,8,88,008,03,3. About the same of both,7800,2100,4. Muslim,,2100,,,,,,,0,1. Pasture,,1. Flat,20,5,0,2. NO,,1. Traditional,100,,,,
020206088801304,1. RURAL,2. AFAR,02,06,8,88,013,04,4. Neither arrivals nor departures,8600,2800,4. Muslim,,2800,,,,,,,3,1. Pasture,,5. Both Flat & Hilly,25,5,0,2. NO,,1. Traditional,100,,,,
020207010100104,2. URBAN,2. AFAR,02,07,1,1,001,04,1. More moved in,10000,700,4. Muslim,,550,1. Orthodox,,125,3. Protestant,,25,5,6. Shops or Trade,,1. Flat,0,0,0,2. NO,,1. Traditional,100,,,,
020301020100111,2. URBAN,2. AFAR,03,01,2,1,001,11,1. More moved in,15000,8000,4. Muslim,,4000,1. Orthodox,,2500,3. Protestant,,1500,12,2. Farming,,5. Both Flat & Hilly,10,70,20,2. NO,,3. Religious,60,1. Traditional,30,,
020301088800303,1. RURAL,2. AFAR,03,01,8,88,003,03,3. About the same of both,4500,2000,4. Muslim,,1600,1. Orthodox,,400,,,,15,1. Pasture,,5. Both Flat & Hilly,60,30,10,2. NO,,3. Religious,80,1. Traditional,20,,
020302088800306,1. RURAL,2. AFAR,03,02,8,88,003,06,1. More moved in,7500,3000,4. Muslim,,1500,1. Orthodox,,1000,3. Protestant,,500,30,1. Pasture,,1. Flat,30,50,10,1. YES,10,1. Traditional,65,,,,
020303020100103,2. URBAN,2. AFAR,03,03,2,1,001,03,1. More moved in,13000,5000,4. Muslim,,4850,1. Orthodox,,100,3. Protestant,,50,50,6. Shops or Trade,,1. Flat,55,0,0,1. YES,10,3. Religious,80,1. Traditional,20,,
020303088800501,1. RURAL,2. AFAR,03,03,8,88,005,01,4. Neither arrivals nor departures,4824,965,4. Muslim,,965,,,,,,,10,1. Pasture,,1. Flat,60,10,0,1. YES,5,1. Traditional,85,3. Religious,15,,
020304088800703,1. RURAL,2. AFAR,03,04,8,88,007,03,3. About the same of both,2400,660,4. Muslim,,657,3. Protestant,,2,1. Orthodox,,1,8,1. Pasture,,1. Flat,70,0,20,2. NO,,1. Traditional,95,,,,
020305010100306,2. URBAN,2. AFAR,03,05,1,1,003,06,1. More moved in,10000,5000,4. Muslim,,3500,1. Orthodox,,1000,3. Protestant,,500,20,6. Shops or Trade,,1. Flat,0,0,0,2. NO,,3. Religious,50,1. Traditional,35,2. Municipality,15
020305010100601,2. URBAN,2. AFAR,03,05,1,1,006,01,2. More moved out,7224,1032,4. Muslim,,722,1. Orthodox,,207,3. Protestant,,103,5,3. Planned Housing,,1. Flat,10,0,10,2. NO,,3. Religious,80,,,,
020306088800903,1. RURAL,2. AFAR,03,06,8,88,009,03,2. More moved out,2200,400,4. Muslim,,370,1. Orthodox,,30,,,,0,2. Farming,,5. Both Flat & Hilly,20,0,0,1. YES,5,1. Traditional,100,,,,
020401088800602,1. RURAL,2. AFAR,04,01,8,88,006,02,4. Neither arrivals nor departures,12000,2400,4. Muslim,,2400,,,,,,,30,1. Pasture,,1. Flat,50,20,30,2. NO,,1. Traditional,100,,,,
020403010100102,2. URBAN,2. AFAR,04,03,1,1,001,02,1. More moved in,7797,4233,4. Muslim,,3833,1. Orthodox,,400,,,,50,4. Squatter Settlement,,1. Flat,0,0,0,2. NO,,3. Religious,100,,,,
020403088800302,1. RURAL,2. AFAR,04,03,8,88,003,02,2. More moved out,8000,2000,4. Muslim,,800,,,,,,,10,1. Pasture,,1. Flat,5,0,80,2. NO,,1. Traditional,100,,,,
020404088800501,1. RURAL,2. AFAR,04,04,8,88,005,01,2. More moved out,6890,2584,4. Muslim,,2584,,,,,,,2,1. Pasture,,5. Both Flat & Hilly,25,0,10,2. NO,,1. Traditional,100,,,,
020405088800405,1. RURAL,2. AFAR,04,05,8,88,004,05,1. More moved in,11562,3658,4. Muslim,,3645,1. Orthodox,,13,,,,20,1. Pasture,,1. Flat,60,0,10,2. NO,,1. Traditional,90,3. Religious,10,,
020501088800601,1. RURAL,2. AFAR,05,01,8,88,006,01,1. More moved in,3551,710,4. Muslim,,700,1. Orthodox,,10,,,,20,1. Pasture,,5. Both Flat & Hilly,95,0,0,1. YES,70,3. Religious,100,,,,
020502088800303,1. RURAL,2. AFAR,05,02,8,88,003,03,2. More moved out,2300,1050,4. Muslim,,1050,,,,,,,60,1. Pasture,,3. Moderately Sloping,100,0,0,2. NO,,3. Religious,100,,,,
020502088801101,1. RURAL,2. AFAR,05,02,8,88,011,01,1. More moved in,1300,260,4. Muslim,,260,,,,,,,40,1. Pasture,,1. Flat,80,0,0,2. NO,,3. Religious,100,,,,
020503010100101,2. URBAN,2. AFAR,05,03,1,1,001,01,1. More moved in,12606,2010,4. Muslim,,2000,1. Orthodox,,10,,,,10,6. Shops or Trade,,5. Both Flat & Hilly,5,0,0,2. NO,,3. Religious,95,,,,
020504088800505,1. RURAL,2. AFAR,05,04,8,88,005,05,1. More moved in,3666,753,4. Muslim,,750,1. Orthodox,,3,,,,13,1. Pasture,,5. Both Flat & Hilly,100,0,0,2. NO,,3. Religious,100,,,,
020504088801102,1. RURAL,2. AFAR,05,04,8,88,011,02,2. More moved out,4000,803,4. Muslim,,800,1. Orthodox,,3,,,,12,1. Pasture,,1. Flat,100,0,0,2. NO,,3. Religious,100,,,,
020601010100306,2. URBAN,2. AFAR,06,01,1,1,003,06,1. More moved in,55000,13750,4. Muslim,,7500,1. Orthodox,,5850,3. Protestant,,400,10,3. Planned Housing,,1. Flat,0,0,0,2. NO,,1. Traditional,80,3. Religious,20,,
020601010100330,2. URBAN,2. AFAR,06,01,1,1,003,30,1. More moved in,55000,13750,4. Muslim,,7500,1. Orthodox,,5850,3. Protestant,,400,10,3. Planned Housing,,1. Flat,0,0,0,2. NO,,1. Traditional,80,3. Religious,20,,
030103088803101,1. RURAL,3. AMHARA,01,03,8,88,031,01,2. More moved out,4163,963,1. Orthodox,,963,,,,,,,0,2. Farming,,3. Moderately Sloping,12,0,8,1. YES,25,1. Traditional,100,,,,
030106088801805,1. RURAL,3. AMHARA,01,06,8,88,018,05,2. More moved out,5063,1177,1. Orthodox,,1177,,,,,,,1,2. Farming,,3. Moderately Sloping,15,0,15,1. YES,5,1. Traditional,100,,,,
030202088802410,1. RURAL,3. AMHARA,02,02,8,88,024,10,4. Neither arrivals nor departures,4500,1406,1. Orthodox,,1406,,,,,,,0,2. Farming,,1. Flat,10,0,8,1. YES,2,1. Traditional,1,,,,
030206010100105,2. URBAN,3. AMHARA,02,06,1,1,001,05,2. More moved out,5500,1809,1. Orthodox,,1000,4. Muslim,,800,2. Catholic,,9,0,3. Planned Housing,,5. Both Flat & Hilly,0,0,1,2. NO,,1. Traditional,90,,,,
030206088800908,1. RURAL,3. AMHARA,02,06,8,88,009,08,1. More moved in,8655,1984,1. Orthodox,,1914,4. Muslim,,70,,,,0,2. Farming,,2. Slightly Sloping,2,0,4,1. YES,50,1. Traditional,90,,,,
030209088803514,1. RURAL,3. AMHARA,02,09,8,88,035,14,2. More moved out,8400,2980,1. Orthodox,,2980,,,,,,,0,1. Pasture,,4. Steeply Sloping,20,0,25,1. YES,50,1. Traditional,100,,,,
030214020100104,2. URBAN,3. AMHARA,02,14,2,1,001,04,1. More moved in,11050,1848,1. Orthodox,,1568,4. Muslim,,280,,,,0,3. Planned Housing,,5. Both Flat & Hilly,0,0,0,2. NO,,1. Traditional,85,,,,
030303088800803,1. RURAL,3. AMHARA,03,03,8,88,008,03,2. More moved out,8932,1507,1. Orthodox,,1507,,,,,,,0,2. Farming,,4. Steeply Sloping,4,0,5,1. YES,7,1. Traditional,100,,,,
030307088802601,1. RURAL,3. AMHARA,03,07,8,88,026,01,2. More moved out,5075,846,1. Orthodox,,846,,,,,,,0,2. Farming,,4. Steeply Sloping,27,0,8,2. NO,,1. Traditional,100,,,,
030309010100310,2. URBAN,3. AMHARA,03,09,1,1,003,10,1. More moved in,7800,4600,1. Orthodox,,2700,4. Muslim,,1700,3. Protestant,,200,0,3. Planned Housing,,2. Slightly Sloping,0,1,2,1. YES,8,1. Traditional,70,,,,
030312088800504,1. RURAL,3. AMHARA,03,12,8,88,005,04,2. More moved out,5231,1217,1. Orthodox,,1217,,,,,,,0,2. Farming,,5. Both Flat & Hilly,29,0,22,1. YES,5,1. Traditional,100,,,,
030401088801512,1. RURAL,3. AMHARA,04,01,8,88,015,12,2. More moved out,6889,2047,4. Muslim,,1842,1. Orthodox,,205,,,,0,2. Farming,,4. Steeply Sloping,3,0,13,1. YES,314,1. Traditional,90,3. Religious,10,,
030404088801907,1. RURAL,3. AMHARA,04,04,8,88,019,07,2. More moved out,4750,1050,1. Orthodox,,990,4. Muslim,,60,,,,0,2. Farming,,4. Steeply Sloping,5,75,20,1. YES,250,1. Traditional,80,,,,
030409010100102,2. URBAN,3. AMHARA,04,09,1,1,001,02,3. About the same of both,11657,874,4. Muslim,,774,1. Orthodox,,100,,,,4,3. Planned Housing,,1. Flat,0,20,4,2. NO,,3. Religious,100,,,,
030409088800307,1. RURAL,3. AMHARA,04,09,8,88,003,07,3. About the same of both,6687,1400,4. Muslim,,1398,1. Orthodox,,2,,,,0,2. Farming,,1. Flat,25,70,5,1. YES,35,1. Traditional,99,,,,
030412088800503,1. RURAL,3. AMHARA,04,12,8,88,005,03,3. About the same of both,3842,739,1. Orthodox,,443,4. Muslim,,296,,,,0,2. Farming,,5. Both Flat & Hilly,3,0,3,1. YES,26,1. Traditional,99,3. Religious,1,,
030416088801301,1. RURAL,3. AMHARA,04,16,8,88,013,01,3. About the same of both,7646,1337,4. Muslim,,1290,1. Orthodox,,47,,,,1,2. Farming,,1. Flat,10,0,15,1. YES,26,1. Traditional,95,3. Religious,5,,
030421010100402,2. URBAN,3. AMHARA,04,21,1,1,004,02,1. More moved in,12665,5670,4. Muslim,,3800,1. Orthodox,,1800,3. Protestant,,20,5,2. Farming,,1. Flat,3,0,5,1. YES,6,1. Traditional,85,,,,
