ea_id,cs8q00,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs8q01,cs8q02,cs8q03,cs8q00_os,cs8q04,cs8q05a,cs8q05b,cs8q05c,cs8q05d,cs8q05e,cs8q05f,cs8q05g,cs8q05h,cs8q06,cs8q07,cs8q08,cs8q09,cs8q10,cs8q10_os,cs8q11a,cs8q11b,cs8q11c,cs8q11d,cs8q11d_os
010101088800910,11. Other (Specify),1. RURAL,1. TIGRAY,01,01,8,88,009,10,1. YES,2. NO,1. YES,á‹¨áˆˆáˆ,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,1. YES,2. NO,
010102088801010,1. Road/Bridge,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,2. NO,1. YES,,2. NO,,,,,,,,,,,,,,,,,,,
010102088801010,2. Primary School,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,1. Addressed/Being Addressed,90000,90000,1. Voluntary,,1. YES,1. YES,1. YES,2. NO,
010102088801010,3. Secondary School,1. RURAL,1. TIGRAY,01,02,8,88,010,10,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010102088801010,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,2. NO,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,2. NO,1. YES,2. NO,
010102088801010,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,2. To Be Addressed; Response Positive,3000,3000,1. Voluntary,,1. YES,1. YES,1. YES,2. NO,
010102088801010,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,2. NO,2. NO,2. NO,
010102088801010,7. Grain Mill,1. RURAL,1. TIGRAY,01,02,8,88,010,10,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010102088801010,8. Public Transportation,1. RURAL,1. TIGRAY,01,02,8,88,010,10,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010102088801010,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,2. NO,2. NO,2. NO,
010102088801010,10. Law Enforcement,1. RURAL,1. TIGRAY,01,02,8,88,010,10,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,2. NO,2. NO,
010102088801010,11. Other (Specify),1. RURAL,1. TIGRAY,01,02,8,88,010,10,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,1. Road/Bridge,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,2. Primary School,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,3. Secondary School,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,7. Grain Mill,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,8. Public Transportation,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,10. Law Enforcement,1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010103088800709,11. Other (Specify),1. RURAL,1. TIGRAY,01,03,8,88,007,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,1. Road/Bridge,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,2. Primary School,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,3. Secondary School,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,4. Health Center/Clinic/Post,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,5. Piped Water/Boreholes/Wells,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,6. Natural Resource Conservation,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,7. Grain Mill,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,8. Public Transportation,2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104010100101,9. Agricultural/Fishery/Livestock Extension Services,2. URBAN,1. TIGRAY,01,04,1,1,001,01,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,1. Addressed/Being Addressed,150000,0,3. Other (Specify),Yelem,2. NO,2. NO,2. NO,2. NO,
010104010100101,10. Law Enforcement,2. URBAN,1. TIGRAY,01,04,1,1,001,01,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,2. NO,2. NO,
010104010100101,11. Other (Specify),2. URBAN,1. TIGRAY,01,04,1,1,001,01,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,1. Road/Bridge,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,2. Primary School,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,3. Secondary School,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,7. Grain Mill,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,8. Public Transportation,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,10. Law Enforcement,1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010104088800405,11. Other (Specify),1. RURAL,1. TIGRAY,01,04,8,88,004,05,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,1. Road/Bridge,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,2. Primary School,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,3. Secondary School,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,7. Grain Mill,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,8. Public Transportation,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,10. Law Enforcement,1. RURAL,1. TIGRAY,01,05,8,88,007,12,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088800712,11. Other (Specify),1. RURAL,1. TIGRAY,01,05,8,88,007,12,1. YES,2. NO,1. YES,Yesetoch Fth yelem,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,1. YES,4. Not Addressed; Response Negative,,,,,,,,,
010105088802215,1. Road/Bridge,1. RURAL,1. TIGRAY,01,05,8,88,022,15,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088802215,2. Primary School,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,2. NO,2. NO,
010105088802215,3. Secondary School,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,5. Not Addressed; Attempts Failed,,,,,,,,,
010105088802215,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,,2. NO,,,,,,,,,,,,,,,,,,,
010105088802215,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,5000,5000,1. Voluntary,,1. YES,2. NO,2. NO,2. NO,
010105088802215,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,5. Not Addressed; Attempts Failed,,,,,,,,,
010105088802215,7. Grain Mill,1. RURAL,1. TIGRAY,01,05,8,88,022,15,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088802215,8. Public Transportation,1. RURAL,1. TIGRAY,01,05,8,88,022,15,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010105088802215,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,5. Not Addressed; Attempts Failed,,,,,,,,,
010105088802215,10. Law Enforcement,1. RURAL,1. TIGRAY,01,05,8,88,022,15,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,2. NO,2. NO,
010105088802215,11. Other (Specify),1. RURAL,1. TIGRAY,01,05,8,88,022,15,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010106088801204,1. Road/Bridge,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,2. NO,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,2. NO,2. NO,2. NO,
010106088801204,2. Primary School,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. To Be Addressed; Response Positive,0,,,,1. YES,1. YES,1. YES,2. NO,
010106088801204,3. Secondary School,1. RURAL,1. TIGRAY,01,06,8,88,012,04,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010106088801204,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,2. NO,1. YES,2. NO,
010106088801204,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. To Be Addressed; Response Positive,100000,40000,1. Voluntary,,1. YES,2. NO,1. YES,2. NO,
010106088801204,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,2. To Be Addressed; Response Positive,0,,,,1. YES,2. NO,2. NO,2. NO,
010106088801204,7. Grain Mill,1. RURAL,1. TIGRAY,01,06,8,88,012,04,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010106088801204,8. Public Transportation,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,2. NO,2. NO,2. NO,
010106088801204,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,2. NO,2. NO,2. NO,2. NO,
010106088801204,10. Law Enforcement,1. RURAL,1. TIGRAY,01,06,8,88,012,04,1. YES,1. YES,1. YES,,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. To Be Addressed; Response Positive,20000,20000,1. Voluntary,,1. YES,1. YES,1. YES,2. NO,
010106088801204,11. Other (Specify),1. RURAL,1. TIGRAY,01,06,8,88,012,04,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,1. Road/Bridge,2. URBAN,1. TIGRAY,01,07,1,1,002,13,1. YES,1. YES,1. YES,,1. YES,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,2. NO,2. NO,2. NO,2. NO,
010107010100213,2. Primary School,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,3. Secondary School,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,4. Health Center/Clinic/Post,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,5. Piped Water/Boreholes/Wells,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,6. Natural Resource Conservation,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,7. Grain Mill,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,8. Public Transportation,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,9. Agricultural/Fishery/Livestock Extension Services,2. URBAN,1. TIGRAY,01,07,1,1,002,13,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,750000,0,3. Other (Specify),Mewacho yelem,2. NO,2. NO,2. NO,2. NO,
010107010100213,10. Law Enforcement,2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010107010100213,11. Other (Specify),2. URBAN,1. TIGRAY,01,07,1,1,002,13,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,1. Road/Bridge,2. URBAN,1. TIGRAY,01,08,1,1,002,18,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,2. NO,2. NO,2. NO,2. NO,
010108010100218,2. Primary School,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,3. Secondary School,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,4. Health Center/Clinic/Post,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,5. Piped Water/Boreholes/Wells,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,6. Natural Resource Conservation,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,7. Grain Mill,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,8. Public Transportation,2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010108010100218,9. Agricultural/Fishery/Livestock Extension Services,2. URBAN,1. TIGRAY,01,08,1,1,002,18,1. YES,1. YES,1. YES,,1. YES,2. NO,2. NO,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,5000000,500000,1. Voluntary,,2. NO,2. NO,2. NO,2. NO,
010108010100218,10. Law Enforcement,2. URBAN,1. TIGRAY,01,08,1,1,002,18,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,1. YES,2. NO,1. YES,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,100000,10000,1. Voluntary,,1. YES,1. YES,2. NO,2. NO,
010108010100218,11. Other (Specify),2. URBAN,1. TIGRAY,01,08,1,1,002,18,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,1. Road/Bridge,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,2. Primary School,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,3. Secondary School,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,02,01,8,88,018,06,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,1. YES,2. NO,
010201088801806,7. Grain Mill,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,8. Public Transportation,1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010201088801806,9. Agricultural/Fishery/Livestock Extension Services,1. RURAL,1. TIGRAY,02,01,8,88,018,06,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. To Be Addressed; Response Positive,0,,,,1. YES,1. YES,2. NO,2. NO,
010201088801806,10. Law Enforcement,1. RURAL,1. TIGRAY,02,01,8,88,018,06,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. Addressed/Being Addressed,0,,,,1. YES,1. YES,2. NO,2. NO,
010201088801806,11. Other (Specify),1. RURAL,1. TIGRAY,02,01,8,88,018,06,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010202088801509,1. Road/Bridge,1. RURAL,1. TIGRAY,02,02,8,88,015,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010202088801509,2. Primary School,1. RURAL,1. TIGRAY,02,02,8,88,015,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010202088801509,3. Secondary School,1. RURAL,1. TIGRAY,02,02,8,88,015,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010202088801509,4. Health Center/Clinic/Post,1. RURAL,1. TIGRAY,02,02,8,88,015,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010202088801509,5. Piped Water/Boreholes/Wells,1. RURAL,1. TIGRAY,02,02,8,88,015,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
010202088801509,6. Natural Resource Conservation,1. RURAL,1. TIGRAY,02,02,8,88,015,09,1. YES,1. YES,1. YES,,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. To Be Addressed; Response Positive,0,,,,1. YES,1. YES,2. NO,2. NO,
010202088801509,7. Grain Mill,1. RURAL,1. TIGRAY,02,02,8,88,015,09,2. NO,2. NO,2. NO,,,,,,,,,,,,,,,,,,,,,
