ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs4q01,cs4q02,cs4q03,cs4q04__0,cs4q04__1,cs4q04__2,cs4q04__3,cs4q04__4,cs4q04__5,cs4q04__6,cs4q04__7,cs4q04__8,cs4q04__9,cs4q04__10,cs4q04__11,cs4q04__12,cs4q04__13,cs4q05__0,cs4q05__1,cs4q05__2,cs4q05__3,cs4q05__4,cs4q05__5,cs4q05__6,cs4q05__7,cs4q05__8,cs4q05__9,cs4q05__10,cs4q05__11,cs4q05__12,cs4q05__13,cs4q06,cs4q07a,cs4q07b,cs4q08,cs4q09,cs4q10,cs4q11,cs4q12a,cs4q12b,cs4q13,cs4q14,cs4q15,cs4q16,cs4q17,cs4q18,cs4q19,cs4q20,cs4q21,cs4q22,cs4q23,cs4q24,cs4q25,cs4q26,cs4q27,cs4q28,cs4q29,cs4q30,cs4q31,cs4q32,cs4q32_os,cs4q33,cs4q34,cs4q35,cs4q36,cs4q37,cs4q38,cs4q39,cs4q40,cs4q41,cs4q42a,cs4q42b,cs4q42c,cs4q42d,cs4q42e,cs4q42f,cs4q42f_os,cs4q43,cs4q44,cs4q45,cs4q46,cs4q47,cs4q48,cs4q49,cs4q50,cs4q51,cs4q52,cs4q53,cs4q54,cs4q55,cs4q56,cs4q57,cs4q58,cs4q59a,cs4q59b,cs4q60,cs4q61
010201088801806,1. RURAL,1. TIGRAY,02,01,8,88,018,06,4. Dirt Track,20,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,3,3. Day,2. NO,32,15,2. NO,Aksum,20,10,2. NO,20,5,0,0,1. YES,1. YES,20,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,20,1. Government,2. NO,,2. NO,,,,,,,,2. NO,20,2. NO,20,2. NO,,,2. NO,20,2. NO,20,2. NO,20,2. NO,20,1. YES,547,529,0,0
010202088801509,1. RURAL,1. TIGRAY,02,02,8,88,015,09,4. Dirt Track,9,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,7,8,2. Hour,2. NO,18,10,2. NO,Aksum,44,25,2. NO,7,6,0,0,1. YES,2. NO,7,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,2. NO,2. NO,,,7,1. Government,1. YES,0,2. NO,,,,,,,,2. NO,7,2. NO,7,2. NO,,,2. NO,18,2. NO,7,2. NO,7,2. NO,44,1. YES,195,160,0,0
010203020100103,2. URBAN,1. TIGRAY,02,03,2,1,001,03,2. Graded Graveled,18,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1,20,2. Hour,1. YES,,,2. NO,Axum,54,30,1. YES,,4,1,0,1. YES,1. YES,0,1. YES,0,0,0,0,1. YES,,,,,,,,1. YES,1. YES,1. YES,,1. Government,1. YES,80,2. NO,,,,,,2. NO,,1. YES,,1. YES,,1. YES,20,3500,1. YES,,1. YES,,1. YES,,2. NO,54,1. YES,595,769,150,10
010203088800910,1. RURAL,1. TIGRAY,02,03,8,88,009,10,4. Dirt Track,12,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,6,7,3. Day,2. NO,20,20,2. NO,Adewa,43,40,1. YES,,2,0,0,1. YES,2. NO,6,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,2. NO,2. NO,,,43,1. Government,2. NO,,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,,,2. NO,12,2. NO,12,2. NO,,,2. NO,12,1. YES,,2. NO,12,2. NO,12,1. YES,230,170,72,1
010204088800713,1. RURAL,1. TIGRAY,02,04,8,88,007,13,1. Tar/Asphalt,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,4,2. Hour,2. NO,18,6,2. NO,Axum,38,16,2. NO,18,6,0,0,1. YES,1. YES,18,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,18,1. Government,1. YES,0,2. NO,,,,,,,,2. NO,18,2. NO,18,2. NO,,,2. NO,18,1. YES,,2. NO,18,2. NO,18,1. YES,172,345,0,0
010205088801106,1. RURAL,1. TIGRAY,02,05,8,88,011,06,3. Dirt Raod (Maintained),7,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,2. NO,9,50,3. Day,2. NO,7,10,2. NO,Axum,7,10,2. NO,7,9,0,0,1. YES,2. NO,0,2. NO,0,0,0,0,1. YES,,1. YES,,2. Sometimes Available,1. Government Facility,,2. NO,1. YES,2. NO,,,1. Government,1. YES,0,2. NO,,,,,,,,2. NO,8,2. NO,9,2. NO,,,2. NO,7,1. YES,,1. YES,,2. NO,8,1. YES,48,84,30,15
010206088801508,1. RURAL,1. TIGRAY,02,06,8,88,015,08,3. Dirt Raod (Maintained),16,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,10,2,3. Day,2. NO,22,20,2. NO,Axum,43,27,2. NO,22,5,0,0,1. YES,2. NO,0,2. NO,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,9,1. Government,1. YES,0,2. NO,,,,,,,,2. NO,22,2. NO,22,2. NO,,,2. NO,22,1. YES,,2. NO,22,2. NO,43,1. YES,702,798,0,0
010207088802009,1. RURAL,1. TIGRAY,02,07,8,88,020,09,4. Dirt Track,52,2. NO,2. NO,2. NO,2. NO,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,10,4,3. Day,2. NO,18,30,2. NO,Axum,59,57,2. NO,18,7,0,0,1. YES,2. NO,0,2. NO,0,0,0,0,1. YES,,1. YES,,2. Sometimes Available,1. Government Facility,,1. YES,2. NO,,,18,1. Government,2. NO,,2. NO,,,,,,,,2. NO,18,2. NO,18,2. NO,,,2. NO,18,2. NO,18,2. NO,18,2. NO,59,1. YES,522,635,0,0
010208088802007,1. RURAL,1. TIGRAY,02,08,8,88,020,07,2. Graded Graveled,7,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,7,5,2. Hour,2. NO,28,20,2. NO,mekele,122,65,2. NO,7,8,0,0,1. YES,2. NO,7,1. YES,0,0,0,0,2. NO,7,1. YES,,1. Always Available,1. Government Facility,,2. NO,2. NO,,,7,1. Government,2. NO,,2. NO,,,,,,,,2. NO,7,2. NO,7,2. NO,,,2. NO,28,1. YES,,2. NO,28,2. NO,28,1. YES,157,82,118,60
010209010100218,2. URBAN,1. TIGRAY,02,09,1,1,002,18,1. Tar/Asphalt,2,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,3,270,1. Minute,1. YES,,,2. NO,Axum,15,10,1. YES,,3,1,3,1. YES,1. YES,2,1. YES,1,1,1,0,1. YES,,,,,,,,2. NO,,,1,1. Government,1. YES,80,1. YES,2. NO,1. YES,2. NO,1. YES,1. YES,,,2. NO,1,2. NO,1,1. YES,50,4000,2. NO,1,1. YES,,2. NO,1,2. NO,2,2. NO,,,,
010210088801507,1. RURAL,1. TIGRAY,02,10,8,88,015,07,2. Graded Graveled,47,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,15,4,3. Day,2. NO,15,15,2. NO,mekele,55,70,2. NO,15,5,0,0,1. YES,1. YES,15,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,2. NO,2. NO,,,15,1. Government,2. NO,,2. NO,,,,,,,,2. NO,11,2. NO,11,2. NO,,,2. NO,11,1. YES,,2. NO,15,2. NO,15,1. YES,178,210,150,45
010211010100302,2. URBAN,1. TIGRAY,02,11,1,1,003,02,1. Tar/Asphalt,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,60,3. Day,1. YES,,,2. NO,abbi addi,90,50,1. YES,,1,6,0,1. YES,1. YES,2,1. YES,0,0,0,0,1. YES,,,,,,,,1. YES,2. NO,,,1. Government,2. NO,,2. NO,,,,,,2. NO,,1. YES,,1. YES,,1. YES,2000,11000,1. YES,,1. YES,,2. NO,3,2. NO,90,2. NO,,,,
010212010100510,2. URBAN,1. TIGRAY,02,12,1,1,005,10,2. Graded Graveled,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2,250,1. Minute,1. YES,,,1. YES,,,,1. YES,,3,0,0,1. YES,1. YES,2,1. YES,0,0,1,0,2. NO,2,,,,,,,1. YES,1. YES,1. YES,,1. Government,1. YES,50,2. NO,,,,,,,,2. NO,2,2. NO,3,1. YES,3,2000,2. NO,2,2. NO,0,2. NO,3,2. NO,3,2. NO,,,,
010302088800603,1. RURAL,1. TIGRAY,03,02,8,88,006,03,4. Dirt Track,35,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,15,2. Hour,2. NO,20,33,2. NO,Adigerat,35,33,1. YES,,6,0,0,1. YES,1. YES,9,1. YES,1,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,0,1. Government,1. YES,0,1. YES,1. YES,2. NO,1. YES,1. YES,1. YES,,,2. NO,15,2. NO,15,2. NO,,,2. NO,15,1. YES,,2. NO,15,2. NO,35,1. YES,1208,1251,23,2
010303088802005,1. RURAL,1. TIGRAY,03,03,8,88,020,05,4. Dirt Track,8,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,8,6,3. Day,2. NO,8,10,2. NO,Adigerate,30,27,1. YES,,2,0,0,1. YES,2. NO,8,1. YES,0,0,0,0,2. NO,0,1. YES,,1. Always Available,1. Government Facility,,2. NO,2. NO,,,8,1. Government,2. NO,,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,,,2. NO,8,2. NO,8,2. NO,,,2. NO,8,1. YES,,2. NO,8,1. YES,,1. YES,578,546,36,1
010304088801407,1. RURAL,1. TIGRAY,03,04,8,88,014,07,4. Dirt Track,24,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,6,5,2. Hour,2. NO,35,15,2. NO,Adigrat,35,15,2. NO,6,7,0,0,1. YES,1. YES,35,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,2. NO,2. NO,,,6,1. Government,1. YES,0,2. NO,,,,,,,,2. NO,24,2. NO,24,2. NO,,,2. NO,35,2. NO,35,2. NO,6,2. NO,35,1. YES,307,193,0,0
010305088801602,1. RURAL,1. TIGRAY,03,05,8,88,016,02,3. Dirt Raod (Maintained),0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,9,50,3. Day,2. NO,9,10,2. NO,Adigrat,69,35,1. YES,,9,0,0,1. YES,1. YES,0,1. YES,0,0,0,0,1. YES,,1. YES,,1. Always Available,1. Government Facility,,1. YES,1. YES,1. YES,2. NO,,1. Government,2. NO,,2. NO,,,,,,,,2. NO,9,1. YES,,2. NO,,,2. NO,9,1. YES,,1. YES,,2. NO,69,1. YES,261,280,2,0
010306010100104,2. URBAN,1. TIGRAY,03,06,1,1,001,04,1. Tar/Asphalt,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,20,2. Hour,2. NO,12,5,1. YES,,,,1. YES,,3,5,0,1. YES,1. YES,0,1. YES,0,0,0,0,1. YES,,,,,,,,1. YES,1. YES,1. YES,,1. Government,1. YES,0,1. YES,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,1. YES,,1. YES,,1. YES,250,800,1. YES,,1. YES,,1. YES,,2. NO,12,1. YES,2414,5200,250,3
010306088801803,1. RURAL,1. TIGRAY,03,06,8,88,018,03,2. Graded Graveled,5,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,22,5,3. Day,2. NO,27,20,2. NO,mekele,37,30,2. NO,18,12,0,5,1. YES,1. YES,18,1. YES,0,0,0,0,2. NO,22,1. YES,,1. Always Available,1. Government Facility,,1. YES,2. NO,,,18,1. Government,2. NO,,2. NO,,,,,,2. NO,,1. YES,,2. NO,18,2. NO,,,2. NO,22,2. NO,18,2. NO,18,2. NO,18,1. YES,200,315,150,50
010307088801303,1. RURAL,1. TIGRAY,03,07,8,88,013,03,3. Dirt Raod (Maintained),4,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,0,42,3. Day,2. NO,35,14,2. NO,Wukro,15,1,1. YES,,9,0,5,1. YES,2. NO,10,2. NO,2,0,0,0,2. NO,0,1. YES,,1. Always Available,1. Government Facility,,2. NO,2. NO,,,10,1. Government,2. NO,,1. YES,1. YES,2. NO,1. YES,1. YES,2. NO,,,2. NO,15,2. NO,10,1. YES,60,2000,2. NO,0,2. NO,11,2. NO,15,1. YES,,1. YES,130,125,150,55
010308010100402,2. URBAN,1. TIGRAY,03,08,1,1,004,02,1. Tar/Asphalt,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2,200,2. Hour,1. YES,,,1. YES,,,,1. YES,,1,0,0,1. YES,1. YES,0,1. YES,1,0,1,0,1. YES,,,,,,,,1. YES,1. YES,1. YES,,1. Government,2. NO,,2. NO,,,,,,2. NO,,1. YES,,1. YES,,1. YES,10,1500,1. YES,,1. YES,,1. YES,,1. YES,,2. NO,,,,
010309010100311,2. URBAN,1. TIGRAY,03,09,1,1,003,11,1. Tar/Asphalt,0,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,2. NO,1. YES,2,150,2. Hour,1. YES,,,2. NO,Mekele,40,20,1. YES,,1,0,2,1. YES,1. YES,1,1. YES,0,0,0,0,1. YES,,,,,,,,2. NO,,,1,1. Government,2. NO,,1. YES,1. YES,1. YES,1. YES,1. YES,2. NO,,,1. YES,,1. YES,,1. YES,500,1400,1. YES,,2. NO,2,1. YES,,2. NO,2,2. NO,,,,
