ea_id,cs2q01,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs2q02,cs2q03,cs2q04,cs2q05_1,cs2q05_2,cs2q05_oth,cs2q06,cs2q07,cs2q07_oth
010201088801806,5,1. RURAL,1. TIGRAY,02,01,8,88,018,06,**CONFIDENTIAL**,1. Male,30,2. Representative,,,30,3. Primary school completed,
010202088801509,1,1. RURAL,1. TIGRAY,02,02,8,88,015,09,**CONFIDENTIAL**,1. Male,40,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010202088801509,2,1. RURAL,1. TIGRAY,02,02,8,88,015,09,**CONFIDENTIAL**,1. Male,36,5. School Teacher,,,5,6. Above Secondary school,
010202088801509,3,1. RURAL,1. TIGRAY,02,02,8,88,015,09,**CONFIDENTIAL**,2. Female,25,2. Representative,,,25,5. Secondary school completed,
010202088801509,4,1. RURAL,1. TIGRAY,02,02,8,88,015,09,**CONFIDENTIAL**,1. Male,53,3. Elderly,,,53,1. None/ illitrate,
010202088801509,5,1. RURAL,1. TIGRAY,02,02,8,88,015,09,**CONFIDENTIAL**,2. Female,27,5. School Teacher,,,4,6. Above Secondary school,
010203020100103,1,2. URBAN,1. TIGRAY,02,03,2,1,001,03,**CONFIDENTIAL**,2. Female,42,1. Chairman/woman,,,42,3. Primary school completed,
010203020100103,2,2. URBAN,1. TIGRAY,02,03,2,1,001,03,**CONFIDENTIAL**,1. Male,28,10. Police,,,28,4. Incomplete secondary school,
010203020100103,3,2. URBAN,1. TIGRAY,02,03,2,1,001,03,**CONFIDENTIAL**,1. Male,33,11. Other (Specify),,Kebele Manager,2,5. Secondary school completed,
010203020100103,4,2. URBAN,1. TIGRAY,02,03,2,1,001,03,**CONFIDENTIAL**,1. Male,36,2. Representative,,,7,5. Secondary school completed,
010203020100103,5,2. URBAN,1. TIGRAY,02,03,2,1,001,03,**CONFIDENTIAL**,2. Female,23,11. Other (Specify),,Governance and services,23,6. Above Secondary school,
010203088800910,1,1. RURAL,1. TIGRAY,02,03,8,88,009,10,**CONFIDENTIAL**,1. Male,30,2. Representative,,,30,4. Incomplete secondary school,
010203088800910,2,1. RURAL,1. TIGRAY,02,03,8,88,009,10,**CONFIDENTIAL**,1. Male,45,3. Elderly,,,45,2. Incomplete primary school,
010203088800910,3,1. RURAL,1. TIGRAY,02,03,8,88,009,10,**CONFIDENTIAL**,2. Female,28,2. Representative,,,28,5. Secondary school completed,
010204088800713,1,1. RURAL,1. TIGRAY,02,04,8,88,007,13,**CONFIDENTIAL**,1. Male,29,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010204088800713,2,1. RURAL,1. TIGRAY,02,04,8,88,007,13,**CONFIDENTIAL**,2. Female,28,6. Agricultural Extension/Development Officier,,,1,6. Above Secondary school,
010204088800713,3,1. RURAL,1. TIGRAY,02,04,8,88,007,13,**CONFIDENTIAL**,1. Male,55,3. Elderly,,,55,1. None/ illitrate,
010204088800713,4,1. RURAL,1. TIGRAY,02,04,8,88,007,13,**CONFIDENTIAL**,1. Male,35,5. School Teacher,,,8,6. Above Secondary school,
010204088800713,5,1. RURAL,1. TIGRAY,02,04,8,88,007,13,**CONFIDENTIAL**,2. Female,23,7. Health Worker,,,2,6. Above Secondary school,
010205088801106,1,1. RURAL,1. TIGRAY,02,05,8,88,011,06,**CONFIDENTIAL**,1. Male,25,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010205088801106,2,1. RURAL,1. TIGRAY,02,05,8,88,011,06,**CONFIDENTIAL**,1. Male,57,3. Elderly,,,57,2. Incomplete primary school,
010205088801106,3,1. RURAL,1. TIGRAY,02,05,8,88,011,06,**CONFIDENTIAL**,1. Male,48,3. Elderly,,,48,2. Incomplete primary school,
010205088801106,4,1. RURAL,1. TIGRAY,02,05,8,88,011,06,**CONFIDENTIAL**,1. Male,36,2. Representative,,,36,2. Incomplete primary school,
010205088801106,5,1. RURAL,1. TIGRAY,02,05,8,88,011,06,**CONFIDENTIAL**,1. Male,40,11. Other (Specify),,Development Team leader,40,2. Incomplete primary school,
010206088801508,1,1. RURAL,1. TIGRAY,02,06,8,88,015,08,**CONFIDENTIAL**,1. Male,36,2. Representative,,,20,6. Above Secondary school,
010206088801508,2,1. RURAL,1. TIGRAY,02,06,8,88,015,08,**CONFIDENTIAL**,1. Male,32,8. Business Man/Woman,,,32,2. Incomplete primary school,
010206088801508,3,1. RURAL,1. TIGRAY,02,06,8,88,015,08,**CONFIDENTIAL**,1. Male,43,3. Elderly,,,43,2. Incomplete primary school,
010206088801508,4,1. RURAL,1. TIGRAY,02,06,8,88,015,08,**CONFIDENTIAL**,1. Male,40,10. Police,,,40,2. Incomplete primary school,
010206088801508,5,1. RURAL,1. TIGRAY,02,06,8,88,015,08,**CONFIDENTIAL**,1. Male,23,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010207088802009,1,1. RURAL,1. TIGRAY,02,07,8,88,020,09,**CONFIDENTIAL**,1. Male,55,1. Chairman/woman,,,55,2. Incomplete primary school,
010207088802009,2,1. RURAL,1. TIGRAY,02,07,8,88,020,09,**CONFIDENTIAL**,1. Male,24,6. Agricultural Extension/Development Officier,,,24,2. Incomplete primary school,
010207088802009,3,1. RURAL,1. TIGRAY,02,07,8,88,020,09,**CONFIDENTIAL**,2. Female,49,2. Representative,,,49,2. Incomplete primary school,
010207088802009,4,1. RURAL,1. TIGRAY,02,07,8,88,020,09,**CONFIDENTIAL**,2. Female,30,7. Health Worker,,,30,6. Above Secondary school,
010207088802009,5,1. RURAL,1. TIGRAY,02,07,8,88,020,09,**CONFIDENTIAL**,1. Male,29,5. School Teacher,,,2,6. Above Secondary school,
010207088802009,6,1. RURAL,1. TIGRAY,02,07,8,88,020,09,**CONFIDENTIAL**,1. Male,34,10. Police,,,1,5. Secondary school completed,
010208088802007,1,1. RURAL,1. TIGRAY,02,08,8,88,020,07,**CONFIDENTIAL**,1. Male,32,1. Chairman/woman,,,32,3. Primary school completed,
010208088802007,2,1. RURAL,1. TIGRAY,02,08,8,88,020,07,**CONFIDENTIAL**,1. Male,52,11. Other (Specify),,House Speaker,52,2. Incomplete primary school,
010208088802007,3,1. RURAL,1. TIGRAY,02,08,8,88,020,07,**CONFIDENTIAL**,1. Male,26,5. School Teacher,,,3,6. Above Secondary school,
010208088802007,4,1. RURAL,1. TIGRAY,02,08,8,88,020,07,**CONFIDENTIAL**,1. Male,27,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010208088802007,5,1. RURAL,1. TIGRAY,02,08,8,88,020,07,**CONFIDENTIAL**,2. Female,24,7. Health Worker,,,1,6. Above Secondary school,
010209010100218,1,2. URBAN,1. TIGRAY,02,09,1,1,002,18,**CONFIDENTIAL**,1. Male,32,1. Chairman/woman,,,1,6. Above Secondary school,
010209010100218,2,2. URBAN,1. TIGRAY,02,09,1,1,002,18,**CONFIDENTIAL**,1. Male,31,2. Representative,,,31,6. Above Secondary school,
010209010100218,3,2. URBAN,1. TIGRAY,02,09,1,1,002,18,**CONFIDENTIAL**,1. Male,30,2. Representative,,,30,4. Incomplete secondary school,
010209010100218,4,2. URBAN,1. TIGRAY,02,09,1,1,002,18,**CONFIDENTIAL**,1. Male,60,3. Elderly,,,15,2. Incomplete primary school,
010209010100218,5,2. URBAN,1. TIGRAY,02,09,1,1,002,18,**CONFIDENTIAL**,1. Male,58,9. Religious Leader,,,11,2. Incomplete primary school,
010210088801507,1,1. RURAL,1. TIGRAY,02,10,8,88,015,07,**CONFIDENTIAL**,2. Female,24,5. School Teacher,,,2,6. Above Secondary school,
010210088801507,2,1. RURAL,1. TIGRAY,02,10,8,88,015,07,**CONFIDENTIAL**,2. Female,25,11. Other (Specify),,Economy Section Officer,1,6. Above Secondary school,
010210088801507,3,1. RURAL,1. TIGRAY,02,10,8,88,015,07,**CONFIDENTIAL**,1. Male,35,2. Representative,,,30,2. Incomplete primary school,
010210088801507,4,1. RURAL,1. TIGRAY,02,10,8,88,015,07,**CONFIDENTIAL**,1. Male,33,1. Chairman/woman,11. Other (Specify),Deputy Chairperson,30,6. Above Secondary school,
010210088801507,5,1. RURAL,1. TIGRAY,02,10,8,88,015,07,**CONFIDENTIAL**,2. Female,24,7. Health Worker,,,6,6. Above Secondary school,
010210088801507,6,1. RURAL,1. TIGRAY,02,10,8,88,015,07,**CONFIDENTIAL**,1. Male,62,3. Elderly,,,62,2. Incomplete primary school,
010211010100302,1,2. URBAN,1. TIGRAY,02,11,1,1,003,02,**CONFIDENTIAL**,1. Male,37,2. Representative,,,2,6. Above Secondary school,
010211010100302,2,2. URBAN,1. TIGRAY,02,11,1,1,003,02,**CONFIDENTIAL**,1. Male,48,1. Chairman/woman,,,3,5. Secondary school completed,
010211010100302,3,2. URBAN,1. TIGRAY,02,11,1,1,003,02,**CONFIDENTIAL**,2. Female,41,2. Representative,,,10,2. Incomplete primary school,
010211010100302,4,2. URBAN,1. TIGRAY,02,11,1,1,003,02,**CONFIDENTIAL**,1. Male,38,10. Police,,,6,6. Above Secondary school,
010211010100302,5,2. URBAN,1. TIGRAY,02,11,1,1,003,02,**CONFIDENTIAL**,1. Male,32,11. Other (Specify),,Kebele Manager,6,7. Other (Specify),Above Secondary school
010212010100510,1,2. URBAN,1. TIGRAY,02,12,1,1,005,10,**CONFIDENTIAL**,1. Male,43,1. Chairman/woman,,,43,2. Incomplete primary school,
010212010100510,2,2. URBAN,1. TIGRAY,02,12,1,1,005,10,**CONFIDENTIAL**,1. Male,53,3. Elderly,,,53,2. Incomplete primary school,
010212010100510,3,2. URBAN,1. TIGRAY,02,12,1,1,005,10,**CONFIDENTIAL**,2. Female,33,7. Health Worker,,,33,5. Secondary school completed,
010212010100510,4,2. URBAN,1. TIGRAY,02,12,1,1,005,10,**CONFIDENTIAL**,1. Male,50,3. Elderly,,,20,3. Primary school completed,
010212010100510,5,2. URBAN,1. TIGRAY,02,12,1,1,005,10,**CONFIDENTIAL**,1. Male,32,10. Police,,,32,4. Incomplete secondary school,
010212010100510,6,2. URBAN,1. TIGRAY,02,12,1,1,005,10,**CONFIDENTIAL**,1. Male,48,4. School Headmaster,,,5,6. Above Secondary school,
010302088800603,1,1. RURAL,1. TIGRAY,03,02,8,88,006,03,**CONFIDENTIAL**,1. Male,38,1. Chairman/woman,,,16,6. Above Secondary school,
010302088800603,2,1. RURAL,1. TIGRAY,03,02,8,88,006,03,**CONFIDENTIAL**,2. Female,22,6. Agricultural Extension/Development Officier,,,1,6. Above Secondary school,
010302088800603,3,1. RURAL,1. TIGRAY,03,02,8,88,006,03,**CONFIDENTIAL**,1. Male,48,3. Elderly,,,48,2. Incomplete primary school,
010302088800603,4,1. RURAL,1. TIGRAY,03,02,8,88,006,03,**CONFIDENTIAL**,2. Female,23,6. Agricultural Extension/Development Officier,,,1,6. Above Secondary school,
010302088800603,5,1. RURAL,1. TIGRAY,03,02,8,88,006,03,**CONFIDENTIAL**,1. Male,38,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010303088802005,1,1. RURAL,1. TIGRAY,03,03,8,88,020,05,**CONFIDENTIAL**,1. Male,30,1. Chairman/woman,,,8,1. None/ illitrate,
010303088802005,2,1. RURAL,1. TIGRAY,03,03,8,88,020,05,**CONFIDENTIAL**,1. Male,40,3. Elderly,,,40,5. Secondary school completed,
010303088802005,3,1. RURAL,1. TIGRAY,03,03,8,88,020,05,**CONFIDENTIAL**,2. Female,28,2. Representative,,,28,6. Above Secondary school,
010303088802005,4,1. RURAL,1. TIGRAY,03,03,8,88,020,05,**CONFIDENTIAL**,1. Male,30,2. Representative,,,1,6. Above Secondary school,
010303088802005,5,1. RURAL,1. TIGRAY,03,03,8,88,020,05,**CONFIDENTIAL**,1. Male,29,11. Other (Specify),,Economy Section Officer,29,6. Above Secondary school,
010304088801407,1,1. RURAL,1. TIGRAY,03,04,8,88,014,07,**CONFIDENTIAL**,1. Male,38,2. Representative,,,38,5. Secondary school completed,
010304088801407,2,1. RURAL,1. TIGRAY,03,04,8,88,014,07,**CONFIDENTIAL**,1. Male,42,5. School Teacher,,,5,6. Above Secondary school,
010304088801407,3,1. RURAL,1. TIGRAY,03,04,8,88,014,07,**CONFIDENTIAL**,2. Female,32,2. Representative,,,32,3. Primary school completed,
010304088801407,4,1. RURAL,1. TIGRAY,03,04,8,88,014,07,**CONFIDENTIAL**,1. Male,61,3. Elderly,,,61,1. None/ illitrate,
010304088801407,5,1. RURAL,1. TIGRAY,03,04,8,88,014,07,**CONFIDENTIAL**,1. Male,26,6. Agricultural Extension/Development Officier,,,4,6. Above Secondary school,
010304088801407,6,1. RURAL,1. TIGRAY,03,04,8,88,014,07,**CONFIDENTIAL**,1. Male,35,5. School Teacher,,,2,6. Above Secondary school,
010305088801602,1,1. RURAL,1. TIGRAY,03,05,8,88,016,02,**CONFIDENTIAL**,1. Male,45,1. Chairman/woman,,,45,5. Secondary school completed,
010305088801602,2,1. RURAL,1. TIGRAY,03,05,8,88,016,02,**CONFIDENTIAL**,2. Female,31,11. Other (Specify),,Kebele Manager,10,6. Above Secondary school,
010305088801602,3,1. RURAL,1. TIGRAY,03,05,8,88,016,02,**CONFIDENTIAL**,1. Male,44,10. Police,,,44,4. Incomplete secondary school,
010305088801602,4,1. RURAL,1. TIGRAY,03,05,8,88,016,02,**CONFIDENTIAL**,1. Male,75,3. Elderly,,,75,1. None/ illitrate,
010305088801602,5,1. RURAL,1. TIGRAY,03,05,8,88,016,02,**CONFIDENTIAL**,1. Male,24,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010306010100104,1,2. URBAN,1. TIGRAY,03,06,1,1,001,04,**CONFIDENTIAL**,1. Male,31,1. Chairman/woman,,,1,6. Above Secondary school,
010306010100104,2,2. URBAN,1. TIGRAY,03,06,1,1,001,04,**CONFIDENTIAL**,1. Male,24,2. Representative,,,24,6. Above Secondary school,
010306010100104,3,2. URBAN,1. TIGRAY,03,06,1,1,001,04,**CONFIDENTIAL**,2. Female,40,2. Representative,,,23,2. Incomplete primary school,
010306010100104,4,2. URBAN,1. TIGRAY,03,06,1,1,001,04,**CONFIDENTIAL**,2. Female,35,2. Representative,,,35,2. Incomplete primary school,
010306088801803,1,1. RURAL,1. TIGRAY,03,06,8,88,018,03,**CONFIDENTIAL**,1. Male,28,2. Representative,,,3,6. Above Secondary school,
010306088801803,2,1. RURAL,1. TIGRAY,03,06,8,88,018,03,**CONFIDENTIAL**,1. Male,24,2. Representative,,,2,6. Above Secondary school,
010306088801803,3,1. RURAL,1. TIGRAY,03,06,8,88,018,03,**CONFIDENTIAL**,1. Male,36,3. Elderly,,,26,4. Incomplete secondary school,
010306088801803,4,1. RURAL,1. TIGRAY,03,06,8,88,018,03,**CONFIDENTIAL**,2. Female,26,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010306088801803,5,1. RURAL,1. TIGRAY,03,06,8,88,018,03,**CONFIDENTIAL**,2. Female,25,4. School Headmaster,,,25,6. Above Secondary school,
010307088801303,1,1. RURAL,1. TIGRAY,03,07,8,88,013,03,**CONFIDENTIAL**,1. Male,47,1. Chairman/woman,,,5,2. Incomplete primary school,
010307088801303,2,1. RURAL,1. TIGRAY,03,07,8,88,013,03,**CONFIDENTIAL**,1. Male,28,6. Agricultural Extension/Development Officier,,,1,7. Other (Specify),Above Secondary school
010307088801303,3,1. RURAL,1. TIGRAY,03,07,8,88,013,03,**CONFIDENTIAL**,2. Female,25,7. Health Worker,,,25,6. Above Secondary school,
010307088801303,4,1. RURAL,1. TIGRAY,03,07,8,88,013,03,**CONFIDENTIAL**,1. Male,42,4. School Headmaster,,,5,6. Above Secondary school,
010307088801303,5,1. RURAL,1. TIGRAY,03,07,8,88,013,03,**CONFIDENTIAL**,2. Female,34,8. Business Man/Woman,,,12,4. Incomplete secondary school,
010308010100402,1,2. URBAN,1. TIGRAY,03,08,1,1,004,02,**CONFIDENTIAL**,1. Male,32,1. Chairman/woman,,,6,6. Above Secondary school,
010308010100402,2,2. URBAN,1. TIGRAY,03,08,1,1,004,02,**CONFIDENTIAL**,1. Male,30,8. Business Man/Woman,,,30,4. Incomplete secondary school,
010308010100402,3,2. URBAN,1. TIGRAY,03,08,1,1,004,02,**CONFIDENTIAL**,1. Male,40,5. School Teacher,,,20,6. Above Secondary school,
010308010100402,4,2. URBAN,1. TIGRAY,03,08,1,1,004,02,**CONFIDENTIAL**,2. Female,35,7. Health Worker,,,15,6. Above Secondary school,
010308010100402,5,2. URBAN,1. TIGRAY,03,08,1,1,004,02,**CONFIDENTIAL**,1. Male,30,4. School Headmaster,,,11,6. Above Secondary school,
010309010100311,1,2. URBAN,1. TIGRAY,03,09,1,1,003,11,**CONFIDENTIAL**,1. Male,31,1. Chairman/woman,,,25,6. Above Secondary school,
010309010100311,2,2. URBAN,1. TIGRAY,03,09,1,1,003,11,**CONFIDENTIAL**,1. Male,36,5. School Teacher,,,7,6. Above Secondary school,
010309010100311,3,2. URBAN,1. TIGRAY,03,09,1,1,003,11,**CONFIDENTIAL**,2. Female,40,2. Representative,,,40,2. Incomplete primary school,
010309010100311,4,2. URBAN,1. TIGRAY,03,09,1,1,003,11,**CONFIDENTIAL**,1. Male,30,6. Agricultural Extension/Development Officier,,,2,6. Above Secondary school,
010309010100311,5,2. URBAN,1. TIGRAY,03,09,1,1,003,11,**CONFIDENTIAL**,1. Male,51,8. Business Man/Woman,,,10,2. Incomplete primary school,
010401088800209,1,1. RURAL,1. TIGRAY,04,01,8,88,002,09,**CONFIDENTIAL**,1. Male,22,2. Representative,,,22,6. Above Secondary school,
010401088800209,2,1. RURAL,1. TIGRAY,04,01,8,88,002,09,**CONFIDENTIAL**,2. Female,27,2. Representative,,,27,6. Above Secondary school,
010401088800209,3,1. RURAL,1. TIGRAY,04,01,8,88,002,09,**CONFIDENTIAL**,1. Male,35,2. Representative,,,35,6. Above Secondary school,
010401088800209,4,1. RURAL,1. TIGRAY,04,01,8,88,002,09,**CONFIDENTIAL**,1. Male,58,10. Police,,,58,1. None/ illitrate,
010401088800209,5,1. RURAL,1. TIGRAY,04,01,8,88,002,09,**CONFIDENTIAL**,1. Male,35,2. Representative,,,35,5. Secondary school completed,
010401088800209,6,1. RURAL,1. TIGRAY,04,01,8,88,002,09,**CONFIDENTIAL**,2. Female,31,11. Other (Specify),,Micro Finance expert,3,6. Above Secondary school,
010401088801804,1,1. RURAL,1. TIGRAY,04,01,8,88,018,04,**CONFIDENTIAL**,2. Female,42,2. Representative,,,42,2. Incomplete primary school,
010401088801804,2,1. RURAL,1. TIGRAY,04,01,8,88,018,04,**CONFIDENTIAL**,1. Male,46,1. Chairman/woman,,,1,6. Above Secondary school,
010401088801804,3,1. RURAL,1. TIGRAY,04,01,8,88,018,04,**CONFIDENTIAL**,1. Male,27,2. Representative,,,27,6. Above Secondary school,
010401088801804,4,1. RURAL,1. TIGRAY,04,01,8,88,018,04,**CONFIDENTIAL**,1. Male,33,6. Agricultural Extension/Development Officier,,,33,6. Above Secondary school,
010401088801804,5,1. RURAL,1. TIGRAY,04,01,8,88,018,04,**CONFIDENTIAL**,1. Male,52,3. Elderly,,,52,2. Incomplete primary school,
010403088800201,1,1. RURAL,1. TIGRAY,04,03,8,88,002,01,**CONFIDENTIAL**,1. Male,33,1. Chairman/woman,,,2,6. Above Secondary school,
