household_id,enterprise_id,ea_id,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq14,s12bq01a,s12bq01b,s12bq01c,s12bq02,s12bq02_os,s12bq03_1,s12bq03_2,s12bq04,s12bq05,s12bq06_1,s12bq06_2,s12bq07_1,s12bq07_2,s12bq07_os,s12bq08a,s12bq08b,s12bq09_1,s12bq09_2,s12bq09_os,s12bq10,s12bq11_1,s12bq11_2,s12bq11_3,s12bq12,s12bq13,s12bq14,s12bq15a1,s12bq15a2_1,s12bq15a2_2,s12bq15a2_3,s12bq15b1,s12bq15b2_1,s12bq15b2_2,s12bq15b2_3,s12bq16,s12bq17a,s12bq17b,s12bq17c,s12bq17d,s12bq17e,s12bq17f,s12bq18,s12bq19,s12bq20,s12bq21,s12bq22,s12bq23,s12bq24,s12bq25_1,s12bq25_2,s12bq25_3,s12bq25_os
010105088800712049,1,010105088800712,707.451149068323,1. TIGRAY,01,05,8,88,007,12,49,1. RURAL,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,5. ROADSIDE,,2,1,1. YES,,2,1,1. AGRICULTURAL INCOME,,,10. JUNE,2005,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,2. OCTOBER,3. NOVEMBER,4. DECEMBER,12,30,0,2. NO,,,,2. NO,,,,11680,0. NONE,10000,0. NONE,160,20,0. NONE,2. NO,,2. NO,,2. NO,,50,84. MARKETS - ACCESS TO INPUT MARKETS (DISTANCE AND COST),63. TRANSPORT - COST,,
010105088800712049,2,010105088800712,707.451149068323,1. TIGRAY,01,05,8,88,007,12,49,1. RURAL,Cartman,49. LAND TRANSPORT AND TRANSPORT VIA PIPELINES,,6. MOBILE,,1,2,1. YES,,1,2,1. AGRICULTURAL INCOME,,,6. FEBRUARY,2010,2. MARKET,1. LOCAL CONSUMERS OR PASSERS-BY,,2. NO,,,,4,25,3,2. NO,,,,2. NO,,,,2500,800,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,1. YES,300,2. NO,,2. NO,,25,62. TRANSPORT ROAD - QUALITY,140. OTHER (SPECIFY),,yemiketeru serategnoch taming alemehon
010105088800712054,1,010105088800712,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,1. RURAL,Bar,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"1. HOME, INSIDE RESIDENCE",,2,1,1. YES,,2,1,2. NON-FARM SELF-EMPLOYMENT INCOME,1. AGRICULTURAL INCOME,,6. FEBRUARY,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,8. APRIL,7. MARCH,13. PAGUME,5,8,1,2. NO,,,,2. NO,,,,3000,950,1400,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,1. YES,933,10,12. ELECTRICITY - QUALITY,11. ELECTRICITY - ACCESS,33. WATER - COST,
010105088800712054,2,010105088800712,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,1. RURAL,Transport service,49. LAND TRANSPORT AND TRANSPORT VIA PIPELINES,,6. MOBILE,,1,2,1. YES,,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,7. MARCH,2006,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,11. JULY,13. PAGUME,1. SEPTEMBER,12,30,1,1. YES,3,,,2. NO,,,,10000,2100,0. NONE,900,0. NONE,300,0. NONE,1. YES,350,2. NO,,1. YES,1300,50,62. TRANSPORT ROAD - QUALITY,63. TRANSPORT - COST,,
010105088800712054,3,010105088800712,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,1. RURAL,Bilyardo and pool table game house,93. SPORTS ACTIVITIES AND AMUSEMENT AND RECREATION ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,5,2,1. YES,,5,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,,,5. JANUARY,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,6. FEBRUARY,7. MARCH,6,25,0,2. NO,,,,1. YES,6,,,8750,0. NONE,0. NONE,650,0. NONE,0. NONE,0. NONE,1. YES,320,2. NO,,1. YES,933,25,140. OTHER (SPECIFY),,,yetegelgay tsebay mekten
010105088800712121,1,010105088800712,14542.05139751553,1. TIGRAY,01,05,8,88,007,12,121,1. RURAL,Producing and selling local beer,11. MANUFACTURE OF BEVERAGES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,10. JUNE,2010,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,9. MAY,,,9,4,0,2. NO,,,,1. YES,2,,,500,0. NONE,448,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,25,33. WATER - COST,86. MARKETS - DIFFICULTY TO OBTAIN INPUTS,,
010105088800712121,2,010105088800712,14542.05139751553,1. TIGRAY,01,05,8,88,007,12,121,1. RURAL,Gold mining,7. MINING OF METAL ORES,,7. RIVER/LAKES/PONDS,,1,2,1. YES,,1,,10. OTHER (SPECIFY),,minch yelewm.  ye chants guday new,10. JUNE,1995,3. TRADERS,,,1. YES,11. JULY,12. AUGUST,13. PAGUME,4,10,0,2. NO,,,,1. YES,2,,,1000,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,75,61. TRANSPORT ROAD - ACCESS,,,
010105088802215025,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,25,1. RURAL,Mason,96. OTHER PERSONAL SERVICE ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,2,1. YES,,1,2,1. AGRICULTURAL INCOME,,,5. JANUARY,2007,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,6. FEBRUARY,7. MARCH,5. JANUARY,1,18,7,2. NO,,,,2. NO,,,,0,490,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,35,141. NONE,,,
010105088802215055,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,55,1. RURAL,Teacher,78. EMPLOYMENT ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,1. SEPTEMBER,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,10,20,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,1. YES,500,100,141. NONE,,,
010105088802215070,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,70,1. RURAL,Transport service,49. LAND TRANSPORT AND TRANSPORT VIA PIPELINES,,6. MOBILE,,1,2,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,5. JANUARY,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,1. YES,4,,,0,2000,0. NONE,350,0. NONE,0. NONE,0. NONE,1. YES,102,1. YES,4500,1. YES,2500,100,131. TAXATION - HIGH TAXES,64. TRANSPORT - FACILITIES TO TRANSPORT GOODS,,
010105088802215086,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,86,1. RURAL,Health service,86. HUMAN HEALTH ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,1. AGRICULTURAL INCOME,,,5. JANUARY,1981,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,10,30,0,2. NO,,,,2. NO,,,,0,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,1. YES,1000,2. NO,,100,141. NONE,,,
010105088802215091,1,010105088802215,4079.433406593407,1. TIGRAY,01,05,8,88,022,15,91,1. RURAL,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,1. AGRICULTURAL INCOME,5. SALE OF ASSETS,,11. JULY,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,28,0,2. NO,,,,1. YES,1,,,300,100,1000,0. NONE,20,120,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,141. NONE,,,
010105088802215104,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,104,1. RURAL,Guard,80. SECURITY AND INVESTIGATION ACTIVITIES,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,2. NON-FARM SELF-EMPLOYMENT INCOME,,,2. OCTOBER,2001,6. GOVERNMENT,,,2. NO,,,,8,8,0,2. NO,,,,2. NO,,,,1881,500,0. NONE,0. NONE,230,0. NONE,0. NONE,2. NO,,1. YES,1500,1. YES,1500,80,141. NONE,,,
010105088802215120,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,120,1. RURAL,Restaurant,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,2,1,1. YES,,1,2,1. AGRICULTURAL INCOME,2. NON-FARM SELF-EMPLOYMENT INCOME,,9. MAY,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,9. MAY,10. JUNE,11. JULY,3,20,0,2. NO,,,,1. YES,1,,,240,0. NONE,200,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,20,141. NONE,,,
010105088802215146,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,146,1. RURAL,Selling local drinks,11. MANUFACTURE OF BEVERAGES,,"1. HOME, INSIDE RESIDENCE",,1,2,1. YES,,1,,1. AGRICULTURAL INCOME,,,6. FEBRUARY,1995,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,6. FEBRUARY,7. MARCH,8,4,0,2. NO,,,,1. YES,1,2,,350,0. NONE,100,120,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,25,71. FINANCIAL SERVICES - POSSIBILITY TO BORROW FROM FAMILY,72. FINANCIAL SERVICES - POSSIBILITY TO BORROW FROM FORMAL FINANCIAL INSTITUTIONS,73. FINANCIAL SERVICES - INTEREST RATES,
010105088802215162,1,010105088802215,4079.433406593407,1. TIGRAY,01,05,8,88,022,15,162,1. RURAL,Selling local drinks,11. MANUFACTURE OF BEVERAGES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,,,9. MAY,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,7. MARCH,8. APRIL,9. MAY,12,4,0,2. NO,,,,1. YES,1,,,560,0. NONE,0. NONE,440,0. NONE,120,0. NONE,2. NO,,2. NO,,2. NO,,30,141. NONE,,,
010105088802215167,1,010105088802215,3111.083052503052,1. TIGRAY,01,05,8,88,022,15,167,1. RURAL,,41. CONSTRUCTION OF BUILDINGS,,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,1. AGRICULTURAL INCOME,,,5. JANUARY,2008,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,6. FEBRUARY,7. MARCH,1,12,0,2. NO,,,,1. YES,4,3,5,2500,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,20,141. NONE,,,
010107010100213002,1,010107010100213,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,2,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"1. HOME, INSIDE RESIDENCE",,2,,1. YES,,1,2,3. WAGE OR SALARY INCOME,,,3. NOVEMBER,2005,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,1. YES,2,,,2000,0. NONE,15000,0. NONE,0. NONE,1000,0. NONE,1. YES,300,2. NO,,2. NO,,50,11. ELECTRICITY - ACCESS,131. TAXATION - HIGH TAXES,,
010107010100213010,1,010107010100213,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,10,2. URBAN,Selling Enjera,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,,,1. SEPTEMBER,2000,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,2. NO,,,,1440,0. NONE,0. NONE,1000,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,141. NONE,,,
010107010100213018,1,010107010100213,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,18,2. URBAN,Selling beverages,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,7. FAMILY OR FRIENDS LOCATED IN THIS COMMUNITY,,,2. OCTOBER,2002,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,,,12,20,0,2. NO,,,,2. NO,,,,3000,0. NONE,5000,500,25,0. NONE,50,1. YES,250,1. YES,500,2. NO,,50,12. ELECTRICITY - QUALITY,,,
010107010100213058,1,010107010100213,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,58,2. URBAN,Metal works,"25. MANUFACTURE OF FABRICATED METAL PRODUCTS, EXCEPT MACHINERY AND EQUIPMENTS",,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,1. SEPTEMBER,1989,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,3. NOVEMBER,,,12,26,0,2. NO,,,,2. NO,,,,5000,0. NONE,0. NONE,1200,0. NONE,0. NONE,0. NONE,1. YES,120,2. NO,,2. NO,,100,12. ELECTRICITY - QUALITY,13. ELECTRICITY - COST,,
010107010100213066,1,010107010100213,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,66,2. URBAN,Coffee house,56. FOOD AND BEVERAGE SERVICE ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,1. YES,,1,,9. CREADIT AND SAVING ASSOCIATION,,,1. SEPTEMBER,2009,1. LOCAL CONSUMERS OR PASSERS-BY,,,2. NO,,,,12,30,0,2. NO,,,,2. NO,,,,2000,3000,1000,500,50,3000,15,1. YES,150,2. NO,,2. NO,,33,12. ELECTRICITY - QUALITY,31. WATER - ACCESS,,
010107010100213074,1,010107010100213,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,74,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,5. ROADSIDE,,1,,1. YES,,1,,3. WAGE OR SALARY INCOME,,,8. APRIL,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,8. APRIL,,,2,2,0,2. NO,,,,1. YES,1,,,600,150,0. NONE,400,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,100,75. FINANCIAL SERVICES - FEAR OF NOT BEING ABLE TO PAY LOAN INSTALLMENTS,,,
010107010100213114,1,010107010100213,1490.528251663642,1. TIGRAY,01,07,1,1,002,13,114,2. URBAN,Renting house,77. RENTAL AND LEASING ACTIVITIES,,"1. HOME, INSIDE RESIDENCE",,1,,2. NO,1,1,,8. PRIVATE MONEYLENDERS,,,2. OCTOBER,2002,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,,,12,12,0,2. NO,,,,2. NO,,,,1800,1200,150,200,50,800,60,1. YES,2500,1. YES,180,1. YES,120,60,12. ELECTRICITY - QUALITY,,,
010108010100218059,1,010108010100218,1330.009824561403,1. TIGRAY,01,08,1,1,002,18,59,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,3. TRADITIONAL MARKET,,2,,1. YES,,2,,1. AGRICULTURAL INCOME,,,2. OCTOBER,2010,1. LOCAL CONSUMERS OR PASSERS-BY,2. MARKET,,2. NO,,,,1,3,0,2. NO,,,,1. YES,2,,,2000,0. NONE,500,100,0. NONE,25,0. NONE,2. NO,,2. NO,,2. NO,,25,141. NONE,,,
010201088801806023,1,010201088801806,3070.07102425876,1. TIGRAY,02,01,8,88,018,06,23,1. RURAL,labourer,96. OTHER PERSONAL SERVICE ACTIVITIES,,7. RIVER/LAKES/PONDS,,1,,1. YES,,1,,10. OTHER (SPECIFY),,gulbetu,11. JULY,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,3. NOVEMBER,2. OCTOBER,,4,10,0,2. NO,,,,2. NO,,,,2000,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,30,61. TRANSPORT ROAD - ACCESS,63. TRANSPORT - COST,62. TRANSPORT ROAD - QUALITY,
010201088801806046,1,010201088801806,1751.077547169811,1. TIGRAY,02,01,8,88,018,06,46,1. RURAL,labourer,96. OTHER PERSONAL SERVICE ACTIVITIES,,7. RIVER/LAKES/PONDS,,1,,1. YES,,1,,10. OTHER (SPECIFY),,begulbetu,11. JULY,2011,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,12. AUGUST,1. SEPTEMBER,,4,10,0,2. NO,,,,2. NO,,,,400,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,0. NONE,31. WATER - ACCESS,62. TRANSPORT ROAD - QUALITY,61. TRANSPORT ROAD - ACCESS,
010203020100103027,1,010203020100103,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,27,2. URBAN,Crop trader,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,3. TRADITIONAL MARKET,,2,,1. YES,,2,,1. AGRICULTURAL INCOME,2. NON-FARM SELF-EMPLOYMENT INCOME,,5. JANUARY,2005,2. MARKET,1. LOCAL CONSUMERS OR PASSERS-BY,,2. NO,,,,12,4,0,2. NO,,,,2. NO,,,,200,400,2000,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,30,141. NONE,,,
010203020100103038,1,010203020100103,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,38,2. URBAN,Retailer,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,3. TRADITIONAL MARKET,,1,,1. YES,,1,,2. NON-FARM SELF-EMPLOYMENT INCOME,,,9. MAY,2011,2. MARKET,,,2. NO,,,,1,4,0,2. NO,,,,2. NO,,,,80,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,0. NONE,2. NO,,2. NO,,2. NO,,10,75. FINANCIAL SERVICES - FEAR OF NOT BEING ABLE TO PAY LOAN INSTALLMENTS,71. FINANCIAL SERVICES - POSSIBILITY TO BORROW FROM FAMILY,,
010203020100103060,1,010203020100103,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,60,2. URBAN,Crop trader,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,4. SHOP IN COMMERCIAL AREA,,1,2,1. YES,,1,2,2. NON-FARM SELF-EMPLOYMENT INCOME,,,4. DECEMBER,1992,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,5. JANUARY,7. MARCH,8. APRIL,12,15,0,2. NO,,,,1. YES,4,,,5000,0. NONE,70000,0. NONE,2500,800,1000,1. YES,300,2. NO,,2. NO,,90,86. MARKETS - DIFFICULTY TO OBTAIN INPUTS,,,
010203020100103071,1,010203020100103,1338.407676650189,1. TIGRAY,02,03,2,1,001,03,71,2. URBAN,Crop trader,"47. RETAIL TRADE, EXCEPT OF MOTOR VEHICLES AND MOTORCYCLES",,"2. HOME, OUTSIDE RESIDENCE",,1,,1. YES,,1,2,2. NON-FARM SELF-EMPLOYMENT INCOME,,,5. JANUARY,1994,1. LOCAL CONSUMERS OR PASSERS-BY,,,1. YES,6. FEBRUARY,7. MARCH,8. APRIL,12,16,0,2. NO,,,,1. YES,2,,,30000,0. NONE,29400,0. NONE,0. NONE,0. NONE,0. NONE,1. YES,200,2. NO,,1. YES,1300,100,61. TRANSPORT ROAD - ACCESS,84. MARKETS - ACCESS TO INPUT MARKETS (DISTANCE AND COST),,
