holder_id,household_id,seed_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s5q0A,s5q0B,s5q01a,s5q01b,s5q02,s5q03_1,s5q03_2,s5q04,s5q05,s5q06,s5q07,s5q08,s5q09,s5q10,s5q11_1,s5q11_2,s5q12,s5q13,s5q14_1,s5q14_2,s5q15,s5q16,s5q17
01010108880091003801,010101088800910038,6,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,áˆ›áŠ•áŒŽ,46. MANGOS,1. TRADITIONAL,,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,,0,2. MOTER TRANSPORT,40,50,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091003801,010101088800910038,7,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á“á“á‹«,48. PAPAYA,1. TRADITIONAL,,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,,0,2. MOTER TRANSPORT,40,30,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091003801,010101088800910038,8,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,38,1,3. Both livestock and crop production,á‰¡áŠ“,72. COFFEE,1. TRADITIONAL,,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,,0,2. MOTER TRANSPORT,40,20,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091005401,010101088800910054,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,5
01010108880091005401,010101088800910054,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.5
01010108880091006201,010101088800910062,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,17.5
01010108880091006201,010101088800910062,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,8
01010108880091006201,010101088800910062,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,10
01010108880091006201,010101088800910062,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.75
01010108880091006201,010101088800910062,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,1. YES,7. RELATIVE,8. FRIEND/NEIGHBOR,0,1. ON FOOT,0,110,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091007001,010101088800910070,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,5
01010108880091007001,010101088800910070,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,4
01010108880091007001,010101088800910070,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,2
01010108880091007001,010101088800910070,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.5
01010108880091007001,010101088800910070,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,1. YES,7. RELATIVE,8. FRIEND/NEIGHBOR,0,1. ON FOOT,0,120,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091008201,010101088800910082,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,1. YES,7. RELATIVE,8. FRIEND/NEIGHBOR,0,1. ON FOOT,0,80,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091008201,010101088800910082,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,4
01010108880091008201,010101088800910082,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,20
01010108880091008201,010101088800910082,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,4
01010108880091009301,010101088800910093,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,5
01010108880091009301,010101088800910093,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,5
01010108880091009301,010101088800910093,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,1. YES,7. RELATIVE,8. FRIEND/NEIGHBOR,0,1. ON FOOT,0,80,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010108880091009301,010101088800910093,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,1
01010208880101003501,010102088801010035,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,35,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,1. YES,7. RELATIVE,,1.5,1. ON FOOT,0,12,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010208880101004801,010102088801010048,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,48,1,1. crop production only,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,1. YES,1.48,7. RELATIVE,,0,2. NO,
01010208880101006801,010102088801010068,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,22.2
01010208880101006801,010102088801010068,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,10.66
01010208880101006801,010102088801010068,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,áŒ¤á,7. TEFF,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,72
01010208880101006801,010102088801010068,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,áŒ¤á,7. TEFF,2. IMPROVED,1. IMPROVED NEW,1. YES,1. AGRICULTURAL COOPERATIVE ,,7.2,1. ON FOOT,0,233,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010208880101006801,010102088801010068,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,áŠáŒ,25. NUEG,1. TRADITIONAL,,1. YES,5. LOCAL MARKET,,3.1,1. ON FOOT,0,70,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010208880101006801,010102088801010068,6,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,á‰°áˆá‰£,23. LINESEED,1. TRADITIONAL,,1. YES,5. LOCAL MARKET,,14.26,1. ON FOOT,0,250,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010208880101006801,010102088801010068,7,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,á‹˜á‹­á‰±áˆáŠ•,65. GUAVA,1. TRADITIONAL,,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,6. MAIN MARKET,0,1. ON FOOT,0,25,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010208880101006801,010102088801010068,8,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,áˆŽáˆšáŠ•,44. LEMONS,1. TRADITIONAL,,2. NO,,,,,,,,,,,,1. YES,0,8. FRIEND/NEIGHBOR,,0,2. NO,
01010208880101009001,010102088801010090,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,90,1,1. crop production only,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,1. YES,1,8. FRIEND/NEIGHBOR,,0,2. NO,
01010208880101013601,010102088801010136,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,136,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,7.4
01010208880101014801,010102088801010148,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,,10,1. ON FOOT,0,100,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,1. YES,9
01010208880101014801,010102088801010148,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,2. IMPROVED,1. IMPROVED NEW,1. YES,1. AGRICULTURAL COOPERATIVE ,,10,1. ON FOOT,0,140,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010208880101014801,010102088801010148,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,57.4
01010208880101014801,010102088801010148,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,áŠ‘áŒ,25. NUEG,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,3.72
01010208880101014801,010102088801010148,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‰£á‰„áˆ‹,13. HORSE BEANS,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,2.3
01010208880101014801,010102088801010148,6,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.2
01010208880101014801,010102088801010148,7,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,áŒ¤áˆ,7. TEFF,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,41.6
01010208880101014801,010102088801010148,8,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,áˆŽáˆšáŠ•,44. LEMONS,1. TRADITIONAL,,1. YES,5. LOCAL MARKET,,0,1. ON FOOT,0,5,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010208880101014801,010102088801010148,9,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,áŒŒáˆ¾,75. GESHO,1. TRADITIONAL,,2. NO,,,,,,,,,,,,1. YES,0,7. RELATIVE,,0,2. NO,
01010208880101016101,010102088801010161,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,11.84
01010208880101016101,010102088801010161,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.1
01010208880101016101,010102088801010161,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,9.84
01010208880101016101,010102088801010161,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,áŒ¤á,7. TEFF,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,5
01010208880101017301,010102088801010173,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,20
01010208880101017301,010102088801010173,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,12
01010208880101017301,010102088801010173,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,áŠáŒ­ áˆ½áŠ•áŒ‰áˆ­á‰µ,55. GARLIC,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,1
01010208880101017301,010102088801010173,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.2
01010208880101017301,010102088801010173,6,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,áŒ¤á,7. TEFF,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,10
01010308880070900801,010103088800709008,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,bekolo,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,13.68
01010308880070900801,010103088800709008,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,tef,7. TEFF,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,12.4
01010308880070900801,010103088800709008,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,bakela,13. HORSE BEANS,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,5.76
01010308880070901601,010103088800709016,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,bekolo,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,7.8
01010308880070901601,010103088800709016,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,tef,7. TEFF,2. IMPROVED,1. IMPROVED NEW,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,,3,1. ON FOOT,6,210,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010308880070901601,010103088800709016,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,gesho,75. GESHO,1. TRADITIONAL,,1. YES,5. LOCAL MARKET,,0,1. ON FOOT,0,10,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010308880070902401,010103088800709024,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,bekolo,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,4.56
01010308880070902401,010103088800709024,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,tef,7. TEFF,1. TRADITIONAL,,1. YES,1. AGRICULTURAL COOPERATIVE ,,5.6,1. ON FOOT,0,170,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,1. YES,5.6
01010308880070902401,010103088800709024,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,berbere,38. RED PEPPER,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.02
01010308880070902401,010103088800709024,4,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,gesho,75. GESHO,1. TRADITIONAL,,1. YES,2. FARMER-BASED CLUB/ORGANIZATION,,0,1. ON FOOT,0,16,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010308880070902401,010103088800709024,5,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,gesho,75. GESHO,2. IMPROVED,1. IMPROVED NEW,1. YES,6. MAIN MARKET,,0,1. ON FOOT,0,10,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010308880070903201,010103088800709032,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,bekolo,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,15.7
01010308880070903201,010103088800709032,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,bakela,13. HORSE BEANS,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,2.16
01010308880070903201,010103088800709032,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,berbere,38. RED PEPPER,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,0.12
01010308880070903201,010103088800709032,4,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,tef,7. TEFF,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,2. NO,
01010308880070903202,010103088800709032,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,2,1. crop production only,tef,7. TEFF,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,3.16
01010308880070903202,010103088800709032,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,2,1. crop production only,dagusa,3. MILLET,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,12.75
01010308880070904001,010103088800709040,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,1,3. Both livestock and crop production,bekolo,2. MAIZE,1. TRADITIONAL,,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,6.84
01010308880070904001,010103088800709040,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,1,3. Both livestock and crop production,bakela,13. HORSE BEANS,1. TRADITIONAL,,1. YES,5. LOCAL MARKET,,7.8,1. ON FOOT,10,192,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
01010308880070904001,010103088800709040,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,1,3. Both livestock and crop production,tef,7. TEFF,2. IMPROVED,3. IMPROVED/ SAVED FROM PREVIOUS YEAR,1. YES,1. AGRICULTURAL COOPERATIVE ,,50,1. ON FOOT,15,1200,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,1. YES,44.46
01010308880070904001,010103088800709040,4,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,1,3. Both livestock and crop production,dagusa,3. MILLET,2. IMPROVED,2. IMPROVED/ RECYCLED,2. NO,,,,,,,,,,,,2. NO,,,,,1. YES,2.25
01010308880070904001,010103088800709040,5,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,1,3. Both livestock and crop production,guaya,16. VETCH,1. TRADITIONAL,,1. YES,5. LOCAL MARKET,,23.7,1. ON FOOT,10,400,"1. PAID IN FULL,WITH OWN SAVINGS",,,,,2. NO,,,,,2. NO,
