ea_id,saq14,saq01,saq02,saq03,saq04,saq05,saq06,saq07,cs6q01,cs6q02,cs6q03_1,cs6q03_2,cs6q03_3,cs6q04_1,cs6q04_2,cs6q04_3,cs6q05,cs6q06,cs6q07,cs6q08,cs6q09,cs6q10,cs6q11,cs6q12,cs6q12_os,cs6q13,cs6q13_os,cs6q14,cs6q14_os,cs6q14a,cs6q14b,cs6q14c,cs6q15,cs6q15_os,cs6q16a,cs6q16a_os,cs6q16b,cs6q16b_os,cs6q16c,cs6q16c_os,cs6q16d,cs6q16d_os,cs6q17a,cs6q17a_os,cs6q17b,cs6q17b_os,cs6q17c,cs6q17c_os,cs6q17d,cs6q17d_os,cs6q18a,cs6q18a_os,cs6q18b,cs6q18b_os,cs6q18c,cs6q18c_os,cs6q18d,cs6q18d_os,cs6q18e,cs6q18e_os,cs6q18f,cs6q18f_os,cs6q18g,cs6q18g_os,cs6q18h,cs6q18h_os
010206088801508,1. RURAL,1. TIGRAY,02,06,8,88,015,08,1. YES,"bekolo, mashila, dagusa",9,10,,3,2,4,3. Too Late,3. Too Late,3. Too Late,1. YES,,1. YES,57,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,1. More,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,2. Worse,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,2. Worse,
010207088802009,1. RURAL,1. TIGRAY,02,07,8,88,020,09,1. YES,"teff, mashila, beqolo",10,9,11,3,2,4,2. The Right Amount,1. Very early,1. Very early,1. YES,,2. NO,,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,1. More,,3. About the Same Number,,4. Better,,4. Better,,3. About the Same,,5. Much Better,,4. Better,,2. Worse,,2. Worse,,4. Better,,4. Better,,2. Worse,,3. About the Same,,2. Worse,
010208088802007,1. RURAL,1. TIGRAY,02,08,8,88,020,07,1. YES,06 02 07,9,10,11,2,3,,2. The Right Amount,1. Very early,1. Very early,1. YES,,1. YES,15,3. Union,,2. Private,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,1. More,,3. About the Same Number,,"9. Not Applicable, explain",beakababiw yemirekeb yelen,1. More,,5. Much Better,,5. Much Better,,4. Better,,4. Better,,4. Better,,4. Better,,2. Worse,,2. Worse,,3. About the Same,,2. Worse,,4. Better,,4. Better,
010209010100218,2. URBAN,1. TIGRAY,02,09,1,1,002,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010210088801507,1. RURAL,1. TIGRAY,02,10,8,88,015,07,1. YES,06 27 07,9,10,11,3,4,2,1. Too Much,1. Very early,1. Very early,1. YES,,1. YES,6,3. Union,,1. Government,,1. Government,,1. YES,1. YES,2. NO,1. Traditional,,2. Less,,3. About the Same Number,,"9. Not Applicable, explain",yemirekb yelem,3. About the Same Number,,4. Better,,3. About the Same,,5. Much Better,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,5. Much Better,,2. Worse,,3. About the Same,,4. Better,
010211010100302,2. URBAN,1. TIGRAY,02,11,1,1,003,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010212010100510,2. URBAN,1. TIGRAY,02,12,1,1,005,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010302088800603,1. RURAL,1. TIGRAY,03,02,8,88,006,03,1. YES,0;02;06,8,9,10,1,2,3,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,132,3. Union,,2. Private,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,
010303088802005,1. RURAL,1. TIGRAY,03,03,8,88,020,05,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010304088801407,1. RURAL,1. TIGRAY,03,04,8,88,014,07,1. YES,"Zengada,snde,gebs",9,10,,3,2,,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,52,3. Union,,3. Union,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,1. More,,1. More,,1. More,,1. More,,4. Better,,4. Better,,5. Much Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,
010305088801602,1. RURAL,1. TIGRAY,03,05,8,88,016,02,1. YES,"snde,teff,dagusa",10,11,9,2,3,4,2. The Right Amount,2. Right time,1. Very early,1. YES,,1. YES,120,3. Union,,3. Union,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,
010306010100104,2. URBAN,1. TIGRAY,03,06,1,1,001,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010306088801803,1. RURAL,1. TIGRAY,03,06,8,88,018,03,1. YES,08 01 07,10,11,12,2,3,4,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,180,3. Union,,2. Private,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,2. Less,,3. About the Same,,5. Much Better,,5. Much Better,,3. About the Same,,4. Better,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,4. Better,
010307088801303,1. RURAL,1. TIGRAY,03,07,8,88,013,03,1. YES,sindye,10,11,,3,4,,2. The Right Amount,2. Right time,1. Very early,1. YES,,1. YES,21,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,1. More,,3. About the Same Number,,1. More,,1. More,,4. Better,,5. Much Better,,5. Much Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,3. About the Same,
010308010100402,2. URBAN,1. TIGRAY,03,08,1,1,004,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010309010100311,2. URBAN,1. TIGRAY,03,09,1,1,003,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010401088800209,1. RURAL,1. TIGRAY,04,01,8,88,002,09,1. YES,"Sndie, gebs, teff",11,10,,3,4,,1. Too Much,2. Right time,2. Right time,1. YES,,1. YES,600,1. Government,,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,2. Worse,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,
010401088801804,1. RURAL,1. TIGRAY,04,01,8,88,018,04,1. YES,"snde, gebs, teff",10,11,,2,3,,1. Too Much,2. Right time,2. Right time,1. YES,,2. NO,,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,3. About the Same,,4. Better,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,2. Worse,,2. Worse,,3. About the Same,,3. About the Same,,3. About the Same,
010403088800201,1. RURAL,1. TIGRAY,04,03,8,88,002,01,1. YES,"mashla, teff",9,12,,3,4,,1. Too Much,2. Right time,2. Right time,1. YES,,2. NO,,1. Government,,1. Government,,1. Government,,2. NO,1. YES,2. NO,1. Traditional,,2. Less,,3. About the Same Number,,2. Less,,3. About the Same Number,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,4. Better,,4. Better,,3. About the Same,,3. About the Same,,2. Worse,,3. About the Same,,3. About the Same,,3. About the Same,
010403088801801,1. RURAL,1. TIGRAY,04,03,8,88,018,01,1. YES,"Mashla, teff",8,11,12,3,4,2,1. Too Much,2. Right time,2. Right time,1. YES,,2. NO,,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,3. About the Same,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,3. About the Same,,3. About the Same,,3. About the Same,
010405010100123,2. URBAN,1. TIGRAY,04,05,1,1,001,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010405088800102,1. RURAL,1. TIGRAY,04,05,8,88,001,02,1. YES,"01gebs, 13bakiela, 07mashla",10,8,9,2,3,4,1. Too Much,2. Right time,2. Right time,1. YES,,1. YES,200,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,1. More,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same,,3. About the Same,,2. Worse,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,2. Worse,,4. Better,,3. About the Same,
010408010100204,2. URBAN,1. TIGRAY,04,08,1,1,002,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010501088800902,1. RURAL,1. TIGRAY,05,01,8,88,009,02,2. NO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010502020100102,2. URBAN,1. TIGRAY,05,02,2,1,001,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010502088801410,1. RURAL,1. TIGRAY,05,02,8,88,014,10,1. YES,Bekolo Mashila Dagusa Teff Nug,10,9,11,3,4,2,1. Too Much,3. Too Late,3. Too Late,1. YES,,2. NO,,1. Government,,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,2. Worse,,2. Worse,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,
010503088800803,1. RURAL,1. TIGRAY,05,03,8,88,008,03,1. YES,Selit Mashila Bekolo,10,11,9,3,2,4,1. Too Much,3. Too Late,1. Very early,1. YES,,1. YES,14,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,2. Less,,3. About the Same Number,,1. More,,2. Less,,1. Much Worse,,1. Much Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,4. Better,,2. Worse,,2. Worse,,3. About the Same,
010601010100215,2. URBAN,1. TIGRAY,06,01,1,1,002,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010602010100216,2. URBAN,1. TIGRAY,06,02,1,1,002,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010604010100137,2. URBAN,1. TIGRAY,06,04,1,1,001,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010605010100313,2. URBAN,1. TIGRAY,06,05,1,1,003,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010606010100423,2. URBAN,1. TIGRAY,06,06,1,1,004,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010701088802004,1. RURAL,1. TIGRAY,07,01,8,88,020,04,1. YES,"TEF,. mashila , bekolo",10,11,,2,3,,2. The Right Amount,2. Right time,1. Very early,1. YES,,2. NO,,3. Union,,3. Union,,1. Government,,2. NO,1. YES,2. NO,1. Traditional,,3. About the Same Number,,1. More,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,,4. Better,,3. About the Same,,4. Better,,3. About the Same,
010702010100112,2. URBAN,1. TIGRAY,07,02,1,1,001,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
010702088801409,1. RURAL,1. TIGRAY,07,02,8,88,014,09,1. YES,"sindiye, gebs",11,10,,2,3,4,2. The Right Amount,2. Right time,2. Right time,1. YES,,1. YES,667,3. Union,,3. Union,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,3. About the Same Number,,1. More,,1. More,,1. More,,4. Better,,4. Better,,4. Better,,5. Much Better,,4. Better,,4. Better,,5. Much Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,
010703088801107,1. RURAL,1. TIGRAY,07,03,8,88,011,07,1. YES,segem :sirnay: tef,11,10,,3,4,5,1. Too Much,2. Right time,1. Very early,1. YES,,1. YES,25,3. Union,,1. Government,,3. Union,,1. YES,1. YES,1. YES,1. Traditional,,2. Less,,2. Less,,"9. Not Applicable, explain",yemirekebu yelum gebeya wesdew yishetalu,2. Less,,4. Better,,5. Much Better,,3. About the Same,,3. About the Same,,4. Better,,4. Better,,5. Much Better,,4. Better,,3. About the Same,,2. Worse,,5. Much Better,,4. Better,
010704088800402,1. RURAL,1. TIGRAY,07,04,8,88,004,02,1. YES,kosta,10,11,,2,3,4,1. Too Much,2. Right time,2. Right time,1. YES,,1. YES,1500,3. Union,,3. Union,,3. Union,,2. NO,2. NO,2. NO,1. Traditional,,1. More,,1. More,,1. More,,1. More,,3. About the Same,,3. About the Same,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,4. Better,,3. About the Same,
020101010100104,2. URBAN,2. AFAR,01,01,1,1,001,04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020101088800704,1. RURAL,2. AFAR,01,01,8,88,007,04,1. YES,"bokolo ;boloke, ashila",2,3,,6,5,,3. Too Late,3. Too Late,1. Very early,1. YES,,1. YES,100,1. Government,,1. Government,,1. Government,,2. NO,2. NO,2. NO,1. Traditional,,2. Less,,2. Less,,2. Less,,2. Less,,2. Worse,,2. Worse,,2. Worse,,1. Much Worse,,1. Much Worse,,1. Much Worse,,1. Much Worse,,1. Much Worse,,1. Much Worse,,2. Worse,,1. Much Worse,,1. Much Worse,
020102010100103,2. URBAN,2. AFAR,01,02,1,1,001,03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020103088800401,1. RURAL,2. AFAR,01,03,8,88,004,01,1. YES,bokolo,2,3,,6,5,,3. Too Late,3. Too Late,1. Very early,1. YES,,1. YES,100,1. Government,,2. Private,,3. Union,,1. YES,2. NO,2. NO,1. Traditional,,2. Less,,2. Less,,2. Less,,2. Less,,2. Worse,,2. Worse,,3. About the Same,,3. About the Same,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,,2. Worse,
020103088801102,1. RURAL,2. AFAR,01,03,8,88,011,02,1. YES,02,12,,,3,,,3. Too Late,3. Too Late,1. Very early,2. NO,52,1. YES,100,4. Other (Specify),ayagegnum,4. Other (Specify),yelem,4. Other (Specify),yelem,2. NO,2. NO,2. NO,3. Other (Specify),ayakemachum,"9. Not Applicable, explain",manageria  yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,2. Worse,,2. Worse,,9. Not Applicable,yelem,1. Much Worse,,3. About the Same,,1. Much Worse,,2. Worse,,2. Worse,
020106010100102,2. URBAN,2. AFAR,01,06,1,1,001,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020106088801201,1. RURAL,2. AFAR,01,06,8,88,012,01,1. YES,sebl ayzerum,,,,,,,3. Too Late,3. Too Late,1. Very early,1. YES,,2. NO,,4. Other (Specify),madaberia aytekemum sebl slemayzeru,1. Government,,4. Other (Specify),mrtzeratekemum,2. NO,2. NO,2. NO,3. Other (Specify),sebl ayzerum,"9. Not Applicable, explain",##N/A##,"9. Not Applicable, explain",##N/A##,"9. Not Applicable, explain",##N/A##,"9. Not Applicable, explain",##N/A##,"9. Not Applicable, explain",##N/A##,3. About the Same,,3. About the Same,,3. About the Same,,9. Not Applicable,sebl ayzerum,9. Not Applicable,sebl ayzrum,2. Worse,,2. Worse,,4. Better,,2. Worse,,2. Worse,,2. Worse,
020108088800804,1. RURAL,2. AFAR,01,08,8,88,008,04,1. YES,0,1,,,12,7,,3. Too Late,3. Too Late,3. Too Late,1. YES,,2. NO,,4. Other (Specify),antekemem,4. Other (Specify),yelem,4. Other (Specify),yelem,2. NO,2. NO,2. NO,3. Other (Specify),ayizeram,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,"9. Not Applicable, explain",yelem,9. Not Applicable,yelem,9. Not Applicable,yelem,9. Not Applicable,yelem,9. Not Applicable,yelem,9. Not Applicable,yelem,9. Not Applicable,yelem,9. Not Applicable,yelem,9. Not Applicable,yelem
020201088800301,1. RURAL,2. AFAR,02,01,8,88,003,01,1. YES,Yelem,,,,,,,3. Too Late,3. Too Late,1. Very early,1. YES,,2. NO,,4. Other (Specify),Madaberya Ayagegume,2. Private,,4. Other (Specify),Akababi Yelem,2. NO,2. NO,2. NO,3. Other (Specify),Sebele Ayamertem,"9. Not Applicable, explain",Sebel Ayamertem,"9. Not Applicable, explain",Sebel Ayamertem,"9. Not Applicable, explain",Sebel Ayamertem,3. About the Same Number,,1. Much Worse,,3. About the Same,,3. About the Same,,3. About the Same,,1. Much Worse,,1. Much Worse,,2. Worse,,3. About the Same,,4. Better,,2. Worse,,1. Much Worse,,3. About the Same,
020202020100102,2. URBAN,2. AFAR,02,02,2,1,001,02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
020202088800202,1. RURAL,2. AFAR,02,02,8,88,002,02,1. YES,Bekolo Gebse Shenkurt,10,11,9,2,3,4,3. Too Late,3. Too Late,3. Too Late,1. YES,,1. YES,30,4. Other (Specify),Yelem,1. Government,,1. Government,,1. YES,2. NO,2. NO,1. Traditional,,"9. Not Applicable, explain",Madaberya Yelem,3. About the Same Number,,3. About the Same Number,,3. About the Same Number,,4. Better,,4. Better,,3. About the Same,,4. Better,,4. Better,,5. Much Better,,3. About the Same,,3. About the Same,,4. Better,,3. About the Same,,2. Worse,,4. Better,
020203010100206,2. URBAN,2. AFAR,02,03,1,1,002,06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
