holder_id,household_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s7q01,s7q02,s7q03,s7q03_os,s7q04,s7q05,s7q05_os,s7q06,s7q07,s7q07_os,s7q08,s7q08_os,s7q09,s7q10,s7q10_os,s7q11_1,s7q11_2,s7q11_os,s7q12,s7q13,s7q13_os,s7q14,s7q15,s7q15_os,s7q16,s7q16_os,s7q17,s7q18,s7q18_os,s7q19,s7q20,s7q21,s7q22,s7q23,s7q24,s7q25,s7q26,s7q27,s7q28_1,s7q28_2,s7q28_os,s7q29,s7q30,s7q31_1,s7q31_2,s7q31_3,s7q31_os,s7q32a_1,s7q32a_2,s7q32b_1,s7q32b_2,s7q32c_1,s7q32c_2
01010108880091008301,010101088800910083,010101088800910,1. RURAL,2892.689142857143,1. TIGRAY,01,01,8,88,009,10,83,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010108880091009301,010101088800910093,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,1. YES,2. NO,3. LACK OF MONEY,,2. NO,2. LACK OF MONEY,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,6. NEVER USED FERTILIZER,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,1. YES,40,1. TERRACING,3. CONSERVATION ACTIVITIES,,,0,,0,,0,
01010208880101001201,010102088801010012,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,12,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010208880101003401,010102088801010034,010102088801010,1. RURAL,4968.359214830971,1. TIGRAY,01,02,8,88,010,10,34,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010208880101003501,010102088801010035,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,35,1,3. Both livestock and crop production,2. NO,1. YES,,,1. YES,,,2. NO,,,1. NON-AVAILABILITY OF THE SERVICE,,2. NO,1. NON-AVAILABILITY OF THE SERVICE,,3. MERCHANTS,,,0,1. BY RENTING OX,,0,1. Traditional plough (Maresha),,1. By beating with stick/ separate with hand,,2. NO,,,0,1650,780,0,0,870,780,,,5. OTHER (SPECIFY),,There is no Difference,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010208880101004801,010102088801010048,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,48,1,1. crop production only,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,6. NEVER USED FERTILIZER,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,1. By beating with stick/ separate with hand,,2. NO,,,1,1,0,0,0,1,,,,,,,2. NO,,,,,,0,,0,,0,
01010208880101006801,010102088801010068,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,3. INADEQUATE SERVICE PROVIDED,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,200,125,75,0,0,125,75,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010208880101009001,010102088801010090,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,90,1,1. crop production only,2. NO,2. NO,1. IGNORANCE,,2. NO,1. IGNORANCE,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,1. NON-AVAILABILITY OF THE SERVICE,,6. NEVER USED FERTILIZER,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,1. By beating with stick/ separate with hand,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
01010208880101010401,010102088801010104,010102088801010,1. RURAL,4968.359214830971,1. TIGRAY,01,02,8,88,010,10,104,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010208880101011301,010102088801010113,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,113,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010208880101013601,010102088801010136,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,136,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,34,17,17,0,0,0,17,,,5. OTHER (SPECIFY),,There is no Difference,2. NO,,,,,,0,,0,,0,
01010208880101014801,010102088801010148,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,1. YES,2. PRIVATE ,,,,1. YES,,,4. COOPERATIVE,,,1,4. USING HORSE OR COW,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,193,103,90,0,0,193,90,,,5. OTHER (SPECIFY),,There is no Difference,2. NO,,,,,,0,,0,,0,
01010208880101014802,010102088801010148,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,2,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010208880101016101,010102088801010161,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),Because loan requires group collateral,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,75,50,25,0,0,0,25,,,5. OTHER (SPECIFY),,There is no Difference,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010208880101017301,010102088801010173,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,120,60,55,0,0,60,55,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010308880070900801,010103088800709008,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,4. IGNORANCE,,1. YES,,,4. COOPERATIVE,,,0,8. OTHERS(SPECIFY),BY PAIRING MINE W/SOMEONE'S OX,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,53,26,27,0,0,26,27,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010308880070901601,010103088800709016,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,4. IGNORANCE,,1. YES,,,4. COOPERATIVE,,,0,8. OTHERS(SPECIFY),BY PAIRING MINE W/SOMEONE'S OX,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,61,26,35,0,0,26,35,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010308880070902401,010103088800709024,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,24,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,0,8. OTHERS(SPECIFY),BY PAIRING MINE W/SOMEONE'S OX,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,20,9,11,0,0,9,11,,,,,,2. NO,,,,,,0,,0,,0,
01010308880070903201,010103088800709032,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,35,18,17,0,0,18,17,,,,,,2. NO,,,,,,0,,0,,0,
01010308880070903202,010103088800709032,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,32,2,1. crop production only,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,65,33,32,0,0,33,32,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010308880070904001,010103088800709040,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,4. IGNORANCE,,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,1. YES,1. á‰ á‰£áˆˆá‹­á‹žá‰³á‹‰ áˆµáˆ­ á‹¨áŠá‰ áˆ¨ áŒáŒ¦áˆ½/áŒ á áˆ˜áˆ¬á‰µ/á‹°áŠ•,,155,70,85,0,0,70,85,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,1,3. LITER,0,,0,
01010308880070904002,010103088800709040,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,40,2,1. crop production only,1. YES,2. NO,1. IGNORANCE,,2. NO,3. SKEPTICAL OF THE OUTCOME,,2. NO,,,4. IGNORANCE,,1. YES,,,4. COOPERATIVE,,,0,8. OTHERS(SPECIFY),USED RELATIVES/ PARENTS/ SON OR DAUGHTER OXEN,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
01010308880070904801,010103088800709048,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,48,1,1. crop production only,1. YES,2. NO,3. LACK OF MONEY,,2. NO,2. LACK OF MONEY,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,3. IGNORANCE,,4. COOPERATIVE,,,0,1. BY RENTING OX,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
01010308880070905601,010103088800709056,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,56,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),I don't Need credit / I have adequate money,1. YES,,,4. COOPERATIVE,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,1. YES,4. á‹¨áˆŒáˆ‹ á‰£áˆˆá‹­á‹žá‰³ áŒáŒ¦áˆ½/áŒ á áˆ˜áˆ¬á‰µ/á‹°áŠ•,,102,49,53,0,0,49,53,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,1,3. LITER,0,,0,
01010308880070906401,010103088800709064,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,64,1,3. Both livestock and crop production,1. YES,2. NO,3. LACK OF MONEY,,2. NO,2. LACK OF MONEY,,2. NO,,,2. UNABLE TO PAY THE LOAN,,2. NO,3. IGNORANCE,,4. COOPERATIVE,,,0,1. BY RENTING OX,,0,1. Traditional plough (Maresha),,1. By beating with stick/ separate with hand,,2. NO,,,0,0,0,0,0,,,,,,,,2. NO,,,,,,0,,0,,0,
01010308880070907201,010103088800709072,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,72,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,5. DOES NOT YIELD ANY RESULTS,,1. YES,,,4. COOPERATIVE,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,50,50,0,0,50,50,,,,,,1. YES,20,1. TERRACING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,0,
01010308880070908001,010103088800709080,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,80,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,4. COOPERATIVE,,,0,1. BY RENTING OX,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,23,11,12,0,0,11,12,,,,,,2. NO,,,,,,0.125,3. LITER,0,,0,
01010408880040501001,010104088800405010,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,10,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010408880040501901,010104088800405019,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,19,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,1,2. BY PAIRING MINE W/SOMEONE'S OX,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,61,30,31,0,0,30,31,,,,,,1. YES,10,1. TERRACING,3. CONSERVATION ACTIVITIES,11. STONE TERRACING,,0,,0,,0,
01010408880040502801,010104088800405028,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,28,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,1. YES,1. GOVERNMENT,,,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,2,,,2,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,1. YES,5. áˆŒáˆ‹ (á‹­áŒˆáˆˆá…),Another holderâ€™s land / Grazing land/ Forest land/ Wet land,100,50,50,0,0,50,50,,,,,,1. YES,5,1. TERRACING,3. CONSERVATION ACTIVITIES,11. STONE TERRACING,,0,,0,,0,
01010408880040503000,010104088800405030,010104088800405,1. RURAL,5014.698331595412,1. TIGRAY,01,04,8,88,004,05,30,0,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010408880040504301,010104088800405043,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,43,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010408880040505601,010104088800405056,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,56,1,1. crop production only,2. NO,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,0,5. DIGGING,,0,6. Four-wheel Tractor with ploughs,,1. By beating with stick/ separate with hand,,2. NO,,,2,2,0,0,0,2,,,,,,,1. YES,6,1. TERRACING,3. CONSERVATION ACTIVITIES,11. STONE TERRACING,,0,,0,,0,
01010408880040506901,010104088800405069,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,69,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010408880040508001,010104088800405080,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,80,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010408880040509101,010104088800405091,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,91,1,3. Both livestock and crop production,2. NO,1. YES,,,1. YES,,,1. YES,1. GOVERNMENT,,,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,0,5. DIGGING,,0,7. OTHERS(SPECIFY),NONE,1. By beating with stick/ separate with hand,,2. NO,,,2,1,1,0,0,1,1,,,,,,1. YES,5,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,11. STONE TERRACING,,0,,0,,0,
01010408880040509800,010104088800405098,010104088800405,1. RURAL,5014.698331595412,1. TIGRAY,01,04,8,88,004,05,98,0,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010408880040510601,010104088800405106,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,106,1,1. crop production only,2. NO,1. YES,,,1. YES,,,2. NO,,,2. UNABLE TO PAY THE LOAN,,1. YES,,,3. MERCHANTS,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,1. By beating with stick/ separate with hand,,2. NO,,,2,1,1,0,0,1,1,,,,,,1. YES,18,3. CONSERVATION ACTIVITIES,7. PREPARING HOLES FOR TREE PLANTATION,9. WIRE MESH (GABIYON),,0,,0,,0,
01010408880040513301,010104088800405133,010104088800405,1. RURAL,1548.398081334724,1. TIGRAY,01,04,8,88,004,05,133,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,6. OTHERS(SPECIFY),Religious Reason,1. YES,,,1. GOVERNMENT ORGANIZATION,,,0,6. USING BORROWED OXEN,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,100,50,50,0,0,50,50,,,,,,1. YES,13,1. TERRACING,3. CONSERVATION ACTIVITIES,11. STONE TERRACING,,0,,0,,0,
01010508880071201801,010105088800712018,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,18,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010508880071204501,010105088800712045,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,45,1,1. crop production only,1. YES,1. YES,,,1. YES,,,2. NO,,,4. IGNORANCE,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,0,8. OTHERS(SPECIFY),USING CAMEL,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,1. YES,1. á‰ á‰£áˆˆá‹­á‹žá‰³á‹‰ áˆµáˆ­ á‹¨áŠá‰ áˆ¨ áŒáŒ¦áˆ½/áŒ á áˆ˜áˆ¬á‰µ/á‹°áŠ•,,75,50,25,0,0,50,25,,,,,,1. YES,2,2. TREE PLANTING,11. STONE TERRACING,,,0,,0,,0,
01010508880071204901,010105088800712049,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,49,1,3. Both livestock and crop production,1. YES,1. YES,,,1. YES,,,2. NO,,,3. INADEQUATE SERVICE PROVIDED,,1. YES,,,1. GOVERNMENT ORGANIZATION,,,0,4. USING HORSE OR COW,,0,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,1. YES,5. áˆŒáˆ‹ (á‹­áŒˆáˆˆá…),Another holderâ€™s land / Grazing land/ Forest land/ Wet land,105,100,50,0,0,80,25,,,2. TO USE FOR BELG SEASON,,,1. YES,4,2. TREE PLANTING,4. PREPARING WATER HARVESTING  PITS,,,0,,0,,0,
01010508880071205000,010105088800712050,010105088800712,1. RURAL,14542.05139751553,1. TIGRAY,01,05,8,88,007,12,50,0,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010508880071205001,010105088800712050,010105088800712,1. RURAL,14542.05139751553,1. TIGRAY,01,05,8,88,007,12,50,1,4. none ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010508880071205401,010105088800712054,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,54,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01010508880071206101,010105088800712061,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,61,1,3. Both livestock and crop production,1. YES,2. NO,2. HIGH PRICE,,2. NO,1. IGNORANCE,,2. NO,,,5. DOES NOT YIELD ANY RESULTS,,1. YES,,,6. NEVER USED FERTILIZER,,,2,,,1,1. Traditional plough (Maresha),,2. Use livestock to thresh the crop,,2. NO,,,0,0,0,0,0,,,,,,,,1. YES,6,2. TREE PLANTING,3. CONSERVATION ACTIVITIES,4. PREPARING WATER HARVESTING  PITS,,0,,0,,1.5,3. LITER
01010508880071207201,010105088800712072,010105088800712,1. RURAL,707.451149068323,1. TIGRAY,01,05,8,88,007,12,72,1,2. livestock only ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
