holder_id,household_id,harvestedcrop_id,ea_id,saq14,pw_w4,saq01,saq02,saq03,saq04,saq05,saq06,saq07,saq08,saq09,saq15,s11q00a,s11q01,s11q02a1,s11q02a2,s11q02b1,s11q02b2,s11q03a1,s11q03a2,s11q03a2_os,s11q04,s11q07,s11q08_1,s11q08_2,s11q09_1,s11q09_2,s11q10,s11q10_os,s11q11a,s11q11b,s11q11b_os,s11q12,s11q13_1,s11q13_2,s11q14a,s11q14b,s11q15,s11q16,s11q16_os,s11q17,s11q18a1,s11q18a2,s11q18a2_os,s11q19a1,s11q19a2,s11q19a2_os,s11q20a1,s11q20a2,s11q20a2_os,s11q21a1,s11q21a2,s11q21a2_os,s11q21a3,s11q22_1,s11q22_2,s11q22_os,s11q23,s11q24,s11q24_os,s11q25,s11q25a,s11q25a_os,s11q26_1,s11q26_2,s11q26_os,s11q27a,s11q27b,s11q27c,s11q27d,s11q27e
01010108880091005401,010101088800910054,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,,,,,6,123. Madaberia/Nuse/Shera/Cheret Large,,,2. NO,,,,,,,,,,,,,,,,,,,1,123. Madaberia/Nuse/Shera/Cheret Large,,3,123. Madaberia/Nuse/Shera/Cheret Large,,0,,,0,,,,,,,1. YES,3. Bags in House,,2,123. Madaberia/Nuse/Shera/Cheret Large,,4. DID NOTHING,,,0,97,0,3,100
01010108880091005401,010101088800910054,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,54,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,,,,,12,1. Kilogram,,,1. YES,1,,1,,6. RELATIVE,,4,1. Kilogram,,120,1,,3. November,2011,1,1. On Foot,,0,0,,,6,1. Kilogram,,0,,,0,,,,,,,1. YES,3. Bags in House,,2,1. Kilogram,,4. DID NOTHING,,,0,0,0,100,100
01010108880091006201,010101088800910062,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,áˆ›áˆ¸áˆ‹,6. SORGHUM,,,,,11,123. Madaberia/Nuse/Shera/Cheret Large,,,2. NO,,,,,,,,,,,,,,,,,,,2,123. Madaberia/Nuse/Shera/Cheret Large,,40,1. Kilogram,,10,1. Kilogram,,0,,,,,,,1. YES,3. Bags in House,,850,1. Kilogram,,4. DID NOTHING,5. ELEVATION,,0,90,0,10,100
01010108880091006201,010101088800910062,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,,,,,320,1. Kilogram,,,1. YES,1,,1,,4. LOCAL MARKET,,200,1. Kilogram,,8500,1,,3. November,2011,1,2. TRANSPORT,,140,0,,,20,1. Kilogram,,0,,,0,,,,,,,1. YES,3. Bags in House,,1,123. Madaberia/Nuse/Shera/Cheret Large,,4. DID NOTHING,,,50,50,0,0,100
01010108880091006201,010101088800910062,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,2,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,50,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,150,1. Kilogram,,4. DID NOTHING,,,0,97,0,3,100
01010108880091006201,010101088800910062,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,50,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,35,1. Kilogram,,0,,,5,1. Kilogram,,0,,,,,,,1. YES,3. Bags in House,,10,1. Kilogram,,4. DID NOTHING,,,0,0,0,100,100
01010108880091006201,010101088800910062,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,62,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,,,,,14,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,5,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,9,1. Kilogram,,4. DID NOTHING,,,0,100,0,0,100
01010108880091007001,010101088800910070,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,,,,,400,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,100,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,300,1. Kilogram,,4. DID NOTHING,,,0,95,0,5,100
01010108880091007001,010101088800910070,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,150,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,30,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,120,1. Kilogram,,5. ELEVATION,,,0,97,0,3,100
01010108880091007001,010101088800910070,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,,,,,15,1. Kilogram,,,1. YES,1,,1,,9. ROADSIDE,,15,1. Kilogram,,850,1,,3. November,2011,1,1. On Foot,,0,0,,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010108880091007001,010101088800910070,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,35,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,20,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,15,1. Kilogram,,4. DID NOTHING,5. ELEVATION,,0,0,0,100,100
01010108880091007001,010101088800910070,5,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,70,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,,,,,12,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,5,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,7,1. Kilogram,,4. DID NOTHING,,,0,100,0,0,100
01010108880091008201,010101088800910082,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,,,,,16000,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,1,3. Quintal,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,15,3. Quintal,,4. DID NOTHING,,,25,70,0,5,100
01010108880091008201,010101088800910082,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,áˆ°áˆŠáŒ¥,27. SESAME,,,,,50,1. Kilogram,,,1. YES,1,2,1,2,4. LOCAL MARKET,,25,1. Kilogram,,1000,1,2,3. November,2011,1,2. TRANSPORT,,60,0,,,0,,,0,,,40,1. Kilogram,,,3. RODENTS/PESTS,,,1. YES,3. Bags in House,,25,1. Kilogram,,4. DID NOTHING,,,95,0,0,5,100
01010108880091008201,010101088800910082,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,120,182. Tasa/Tanika/Shember/Selemon Medium,,,2. NO,,,,,,,,,,,,,,,,,,,20,1. Kilogram,,60,1. Kilogram,,0,,,0,,,,,,,1. YES,3. Bags in House,,20,1. Kilogram,,4. DID NOTHING,,,0,95,0,5,100
01010108880091008201,010101088800910082,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,82,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,,,,,15,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,6,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,9,1. Kilogram,,4. DID NOTHING,,,0,100,0,0,100
01010108880091009301,010101088800910093,1,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,áˆ›áˆ½áˆ‹,6. SORGHUM,,,,,3,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,97,1. Kilogram,,0,,,5,182. Tasa/Tanika/Shember/Selemon Medium,,0,,,,,,,1. YES,3. Bags in House,,200,1. Kilogram,,4. DID NOTHING,,,0,90,0,10,100
01010108880091009301,010101088800910093,2,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,1,123. Madaberia/Nuse/Shera/Cheret Large,,,2. NO,,,,,,,,,,,,,,,,,,,30,1. Kilogram,,0,,,5,1. Kilogram,,0,,,,,,,1. YES,3. Bags in House,,40,1. Kilogram,,4. DID NOTHING,,,0,95,0,5,100
01010108880091009301,010101088800910093,3,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,á‰ áˆ­á‰ áˆ¬,38. RED PEPPER,,,,,11,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,3,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,1. Unprotected Pile,,8,1. Kilogram,,4. DID NOTHING,,,0,100,0,0,100
01010108880091009301,010101088800910093,4,010101088800910,1. RURAL,1658.475108571429,1. TIGRAY,01,01,8,88,009,10,93,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,30,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,12,1. Kilogram,,0,,,3,1. Kilogram,,0,,,,,,,1. YES,3. Bags in House,,15,1. Kilogram,,4. DID NOTHING,,,0,0,0,100,100
01010208880101003501,010102088801010035,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,35,1,3. Both livestock and crop production,á‰¦á‰†áˆŽ,2. MAIZE,,,,,2,152. Sahin Medium,,,2. NO,,,,,,,,,,,,,,,,,,,2,152. Sahin Medium,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101004801,010102088801010048,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,48,1,1. Crop production only,á‰¦á‰†áˆŽ,2. MAIZE,,,,,40,152. Sahin Medium,,,2. NO,,,,,,,,,,,,,,,,,,,40,152. Sahin Medium,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101006801,010102088801010068,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,6,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,1,3. Quintal,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,5,3. Quintal,,4. DID NOTHING,,,0,100,0,0,100
01010208880101006801,010102088801010068,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,4,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,1,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,3,122. Madaberia/Nuse/Shera/Cheret Medium,,4. DID NOTHING,,,0,100,0,0,100
01010208880101006801,010102088801010068,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,áŒ¤á,7. TEFF,,,,,4,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,3. Quintal,,1,3. Quintal,,0,,,0,,,,,,,1. YES,5. Gotera,,2.5,3. Quintal,,4. DID NOTHING,,,0,100,0,0,100
01010208880101006801,010102088801010068,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,áŠ‘áŒ,25. NUEG,,,,,1,3. Quintal,,,1. YES,1,2,1,,5. MAIN MARKET,,0.75,3. Quintal,,1000,1,2,4. December,2011,1,3. Drapht Animals,,0,5,152. Sahin Medium,,25,152. Sahin Medium,,0,,,0,,,,,,,1. YES,3. Bags in House,,5,152. Sahin Medium,,4. DID NOTHING,,,0,0,0,100,100
01010208880101006801,010102088801010068,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,68,1,3. Both livestock and crop production,á‰°áˆá‰£,23. LINESEED,,,,,1.5,3. Quintal,,,1. YES,1,2,1,2,5. MAIN MARKET,,1,3. Quintal,,2200,1,2,4. December,2011,1,3. Drapht Animals,,0,0,,,30,152. Sahin Medium,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101009001,010102088801010090,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,90,1,1. Crop production only,á‰ á‰†áˆŽ,2. MAIZE,,,,,5,151. Sahin Small,,,2. NO,,,,,,,,,,,,,,,,,,,5,151. Sahin Small,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101013601,010102088801010136,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,136,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,4.5,52. Chinet Medium,,,2. NO,,,,,,,,,,,,,,,,,,,4,52. Chinet Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,4,52. Chinet Medium,,4. DID NOTHING,,,0,100,0,0,100
01010208880101014801,010102088801010148,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,6,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,0.5,3. Quintal,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,5,3. Quintal,,4. DID NOTHING,,,0,100,0,0,100
01010208880101014801,010102088801010148,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‰£á‰„áˆ‹,13. HORSE BEANS,,,,,20,152. Sahin Medium,,,2. NO,,,,,,,,,,,,,,,,,,,20,152. Sahin Medium,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101014801,010102088801010148,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,áŒ¤á,7. TEFF,,,,,2,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,50,152. Sahin Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,1.5,3. Quintal,,4. DID NOTHING,,,0,100,0,0,100
01010208880101014801,010102088801010148,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,4,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,3,8. Jog,,1,3. Quintal,,0,,,0,,,,,,,1. YES,5. Gotera,,2.5,3. Quintal,,4. DID NOTHING,,,0,75,25,0,100
01010208880101014801,010102088801010148,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,áŠ‘áŒ,25. NUEG,,,,,1,122. Madaberia/Nuse/Shera/Cheret Medium,,,1. YES,1,2,1,,5. MAIN MARKET,,1,122. Madaberia/Nuse/Shera/Cheret Medium,,500,1,2,5. January,2011,1,3. Drapht Animals,,10,0,,,10,152. Sahin Medium,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101014801,010102088801010148,6,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,148,1,3. Both livestock and crop production,áˆŽáˆšáŠ•,44. LEMONS,2. 2011,1. September,2. 2011,6. February,1,3. Quintal,,1,1. YES,1,2,2,,5. MAIN MARKET,,1,3. Quintal,,1000,1,2,2. October,2011,5,1. On Foot,,50,0,,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101016101,010102088801010161,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,3,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,3,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,2,122. Madaberia/Nuse/Shera/Cheret Medium,,4. DID NOTHING,,,0,100,0,0,100
01010208880101016101,010102088801010161,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,120,153. Sahin Large,,,2. NO,,,,,,,,,,,,,,,,,,,120,152. Sahin Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,100,152. Sahin Medium,,4. DID NOTHING,,,0,100,0,0,100
01010208880101016101,010102088801010161,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,161,1,3. Both livestock and crop production,áŒ¤á,7. TEFF,,,,,2,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,2,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,100,122. Madaberia/Nuse/Shera/Cheret Medium,,4. DID NOTHING,,,0,100,0,0,100
01010208880101017301,010102088801010173,1,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,á‰ á‰†áˆŽ,2. MAIZE,,,,,8,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,6,3. Quintal,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,6,3. Quintal,,4. DID NOTHING,,,0,100,0,0,100
01010208880101017301,010102088801010173,2,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,á‰ áˆ¨á‰ áˆ¬,38. RED PEPPER,,,,,1,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,1,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010208880101017301,010102088801010173,3,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,áŒ¤áˆ,7. TEFF,,,,,3,123. Madaberia/Nuse/Shera/Cheret Large,,,2. NO,,,,,,,,,,,,,,,,,,,3,123. Madaberia/Nuse/Shera/Cheret Large,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,2,123. Madaberia/Nuse/Shera/Cheret Large,,4. DID NOTHING,,,0,100,0,0,100
01010208880101017301,010102088801010173,4,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,á‹³áŒ‰áˆ³,3. MILLET,,,,,3,123. Madaberia/Nuse/Shera/Cheret Large,,,2. NO,,,,,,,,,,,,,,,,,,,3,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,2,122. Madaberia/Nuse/Shera/Cheret Medium,,4. DID NOTHING,,,0,100,0,0,100
01010208880101017301,010102088801010173,5,010102088801010,1. RURAL,2821.537331879317,1. TIGRAY,01,02,8,88,010,10,173,1,3. Both livestock and crop production,áŠáŒ­ áˆ½áŒ‰áˆ­á‰µ,55. GARLIC,,,,,10,62. Esir Medium,,,2. NO,,,,,,,,,,,,,,,,,,,10,62. Esir Medium,,0,,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
01010308880070900801,010103088800709008,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,bekolo,2. MAIZE,,,,,4,3. Quintal,,,2. NO,,,,,,,,,,,,,,,,,,,4,3. Quintal,,0,,,0,,,0,,,,,,,1. YES,5. Gotera,,4,3. Quintal,,1. SPRAYING,,,25,70,0,5,100
01010308880070900801,010103088800709008,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,tef,7. TEFF,,,,,3,122. Madaberia/Nuse/Shera/Cheret Medium,,,2. NO,,,,,,,,,,,,,,,,,,,3,122. Madaberia/Nuse/Shera/Cheret Medium,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,3,122. Madaberia/Nuse/Shera/Cheret Medium,,4. DID NOTHING,,,0,95,0,5,100
01010308880070900801,010103088800709008,3,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,8,1,3. Both livestock and crop production,bakela,13. HORSE BEANS,,,,,15,1. Kilogram,,,2. NO,,,,,,,,,,,,,,,,,,,15,1. Kilogram,,0,,,0,,,0,,,,,,,1. YES,3. Bags in House,,7,1. Kilogram,,4. DID NOTHING,,,0,100,0,0,100
01010308880070901601,010103088800709016,1,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,bekolo,2. MAIZE,,,,,2,52. Chinet Medium,,,2. NO,,,,,,,,,,,,,,,,,,,2,52. Chinet Medium,,0,,,10,1. Kilogram,,0,,,,,,,1. YES,3. Bags in House,,1,52. Chinet Medium,,4. DID NOTHING,,,0,90,0,10,100
01010308880070901601,010103088800709016,2,010103088800709,1. RURAL,1916.604145199063,1. TIGRAY,01,03,8,88,007,09,16,1,3. Both livestock and crop production,gesho,75. GESHO,2. 2011,3. November,2. 2011,4. December,30,1. Kilogram,,15,1. YES,1,2,1,2,5. MAIN MARKET,,20,1. Kilogram,,800,1,2,10. June,2010,2,1. On Foot,,0,1,1. Kilogram,,9,1. Kilogram,,0,,,0,,,,,,,2. NO,,,,,,,,,,,,,
